#MJD	g	gerr	r	rerr	i	ierr	z	zerr
56425.2	nan	nan	20.27	0.54	nan	nan	nan	nan
56429.2	nan	nan	19.72	0.17	nan	nan	nan	nan
56442.2	nan	nan	19.16	0.23	nan	nan	nan	nan
56444.2	nan	nan	19.18	0.03	nan	nan	nan	nan
56449.2	nan	nan	19.11	0.17	nan	nan	nan	nan
56456.0	19.26	0.03	19.31	0.06	19.50	0.07	19.60	0.07
56456.2	nan	nan	19.33	0.05	nan	nan	nan	nan	
56456.9	19.36	0.03	19.31	0.06	19.56	0.10	nan	nan
56457.9	19.26	0.07	19.36	0.04	19.39	0.08	19.40	0.17
56459.1	19.41	0.03	19.36	0.07	nan	nan	nan	nan	
56459.3	nan	nan	nan	nan	19.47	0.08	19.44	0.22
56459.9	19.42	0.10	19.39	0.05	19.56	0.10	19.69	0.15
56460.1	19.48	0.06	19.34	0.05	nan	nan	nan	nan
56463.4	nan	nan	19.52	0.17	nan	nan	nan	nan
56464.1	19.57	0.05	19.55	0.05	19.68	0.12	nan	nan
56465.9	19.68	0.10	19.52	0.09	19.71	0.13	19.62	0.20
56468.0	19.81	0.05	19.54	0.05	19.61	0.05	nan	nan
56473.0	20.03	0.03	19.74	0.03	20.04	0.22	19.74	0.19
56475.0	20.20	0.03	19.81	0.04	19.93	0.06	nan	nan
56475.3	20.25	0.17	19.80	0.14	19.84	0.08	19.92	0.18
56476.0	20.26	0.04	19.87	0.04	20.02	0.08	nan	nan
56483.8	20.71	0.08	20.23	0.08	20.27	0.11	nan	nan
56487.0	20.95	0.07	20.23	0.06	20.24	0.11	nan	nan
56502.0	21.48	0.23	20.82	0.39	20.88	0.22	20.52	0.30
56508.0	22.23	0.05	21.21	0.04	20.95	0.06	20.79	0.10
56519.0	nan	nan	21.88	0.07	nan	nan	nan	nan	
56520.0	nan	nan	nan	nan	21.62	0.16	nan	nan
56520.5	nan	nan	nan	nan	nan	nan	20.91	0.30	
56688.3	nan	nan	25.21	0.411	24.68	0.28	nan	nan
56696.3	nan	nan	25.48	0.36	25.21	0.36	nan	nan
56770.0	nan	nan	>25.63	nan	>25.06	nan	nan	nan
