#mjd		B	err	V	err	R	err	I	err	

57074.21	16.99	0.09	16.82	0.05	16.91	0.09	16.71	0.05
57079.34	16.99	0.08	16.85	0.08	16.86	0.06	16.75	0.04
57080.33	16.94	0.05	16.75	0.07	16.80	0.08	16.72	0.02	
57081.33	16.93	0.06	16.81	0.06	16.83	0.07	16.77	0.07	
57082.24	17.05	0.17	16.76	0.10	16.81	0.08	16.67	0.04	
57084.24	17.07	0.12	16.81	0.09	16.81	0.06	16.60	0.04	
57085.26	17.00	0.14	16.77	0.15	16.75	0.05	16.68	0.12	
57094.29	16.81	0.04	16.62	0.06	16.71	0.06	16.55	0.03	
57095.27	16.85	0.05	n	n	16.71	0.07	n	n
57097.21	16.76	0.08	16.61	0.09	16.64	0.09	16.57	0.11	
57098.21	16.80	0.07	16.56	0.06	16.65	0.10	16.50	0.04	
57099.25	16.81	0.05	16.61	0.08	16.64	0.07	16.53	0.04	
57101.31	16.80	0.05	16.58	0.07	16.69	0.07	16.50	0.05	
57104.18	16.77	0.08	16.67	0.09	16.68	0.08	16.51	0.05	
57110.21	16.87	0.07	16.66	0.08	16.71	0.08	16.51	0.08	
57113.29	16.85	0.10	16.72	0.16	16.72	0.12	16.52	0.06	
57117.25	16.96	0.12	16.65	0.08	16.85	0.09	n	n	
57118.21	17.14	0.16	16.81	0.16	n	n	16.49	0.07	
57120.21	17.02	0.18	16.78	0.07	16.84	0.09	16.62	0.05	
57126.18	17.28	0.07	16.88	0.04	16.93	0.07	16.69	0.07	
57128.16	17.33	0.06	17.03	0.07	16.97	0.07	16.82	0.04	
57134.24	17.57	0.07	17.21	0.08	17.10	0.08	16.89	0.13	
57137.21	17.66	0.07	17.24	0.09	17.15	0.07	16.95	0.09	
57139.21	17.86	0.07	17.34	0.07	17.16	0.08	17.00	0.06	
57141.17	17.88	0.13	17.48	0.09	17.27	0.07	17.05	0.09	
57152.16	17.76	0.07	17.41	0.08	17.24	0.08	17.05	0.09	
57155.15	17.89	0.06	17.43	0.08	17.22	0.07	17.03	0.12	
57160.05	17.92	0.07	17.59	0.09	17.38	0.06	nan	nan	
57161.01	18.03	0.06	n	n	17.44	0.09	17.15	0.07	
57175.02	18.60	0.22	17.96	0.09	17.53	0.05	17.33	0.05	
57178.11	nan	0.16	18.01	0.09	17.79	0.08	17.44	0.07	
57182.12	nan	0.20	17.99	0.15	17.72	0.05	17.54	0.15	
57183.02	18.55	0.08	17.96	0.08	17.83	0.08	17.56	0.10	
57184.03	18.65	0.08	18.01	0.10	17.88	0.07	17.53	0.07	
57185.02	18.56	0.07	18.06	0.05	17.78	0.07	17.61	0.09	
57199.06	18.77	0.16	18.39	0.15	17.96	0.12	n	n	
57210.04	18.76	0.20	18.48	0.11	18.10	0.11	17.85	0.16	
57221.00	18.66	0.20	18.38	0.20	18.38	0.09	n	n
