#mjd		UVw2		UVm2		UVw1		U		B		V

57072.394	17.383	0.050	16.853	0.043	16.570	0.049	15.933	0.038	16.914	0.040	16.862	0.058
57074.169	17.340	0.053	16.916	0.054	16.535	0.045	15.937	0.033	n	n	n	n
57076.167	17.401	0.072	16.908	0.122	16.564	0.082	16.001	0.037	n	n	n	n
57078.322	17.371	0.069	17.087	0.075	16.488	0.054	15.968	0.037	n	n	n	n
57080.517	17.425	0.069	17.046	0.073	16.499	0.055	15.940	0.037	n	n	n	n
57084.342	17.364	0.069	16.873	0.070	16.515	0.054	15.947	0.037	n	n	n	n
57089.976	17.372	0.069	16.733	0.058	16.362	0.059	15.959	0.055	16.727	0.057	16.529	0.088
57090.476	n	n	n	n	n	n	15.814	0.031	n	n	n	n
57093.764	17.181	0.060	16.715	0.055	16.380	0.056	15.728	0.048	16.644	0.051	16.547	0.082
57098.987	17.232	0.069	16.775	0.087	16.356	0.065	15.737	0.050	16.576	0.052	16.609	0.090
57100.984	n	n	n	n	n	n	15.689	0.060	n	n	n	n
57106.872	17.380	0.059	16.784	0.068	16.395	0.055	15.775	0.043	16.633	0.044	16.592	0.067
57111.503	17.340	0.051	17.083	0.100	16.527	0.047	15.847	0.037	16.724	0.037	16.513	0.092
57110.699	n	n	n	n	n	n	15.891	0.036	n	n	n	n
57118.422	17.667	0.062	17.327	0.079	16.785	0.059	16.087	0.045	16.860	0.045	16.802	0.071
57122.075	17.917	0.097	17.406	0.133	16.917	0.086	16.263	0.063	16.985	0.065	16.885	0.111
57122.785	n	n	n	n	n	n	16.282	0.032	n	n	n	n
57166.353	n	n	n	n	n	n	17.650	0.038	n	n	n	n
57185.212	n	n	n	n	n	n	18.137	0.042	n	n	n	n
57206.833	n	n	n	n	n	n	18.325	0.047	n	n	n	n
57330.722	n	n	n	n	n	n	19.916	0.237	n	n	n	n
57335.787	n	n	n	n	n	n	19.726	0.214	n	n	n	n
57120.816	17.879	0.072	17.411	0.089	16.966	0.068	16.180	0.048	17.023	0.051	16.735	0.074
57128.629	18.266	0.079	17.955	0.072	17.325	0.068	16.616	0.057	17.190	0.056	16.932	0.084
57131.527	n	n	18.182	0.101	n	n	16.743	0.045	n	n	n	n
57136.314	18.617	0.125	18.581	0.353	17.793	0.122	16.891	0.077	17.550	0.080	17.058	0.113
57144.468	19.126	0.114	18.656	0.093	18.137	0.093	17.089	0.068	17.660	0.068	17.259	0.100
57151.187	19.164	0.100	19.020	0.134	18.144	0.089	17.241	0.058	17.735	0.056	17.474	0.088
57160.630	19.236	0.126	18.953	0.109	18.204	0.105	17.394	0.084	17.920	0.084	17.445	0.115
57172.407	20.101	0.240	19.491	0.164	18.562	0.147	18.110	0.152	18.594	0.154	17.780	0.170
57232.370	20.062	0.234	20.316	0.249	19.267	0.236	18.399	0.320	18.896	0.249	18.327	0.345
	
