#
# Photometry of SN 1998bu (1999ApJS..125...73J)
#
#JD-2450000	J     Jerr	H     Herr	K     Kerr
945.60	11.76 0.06	11.88 0.06	11.81 0.05 
948.60	11.59 0.06	11.77 0.06	11.59 0.05 
951.88	11.66 0.04	11.84 0.04	11.60 0.03 
970.70	13.32 0.06	11.94 0.05	11.95 0.05 
974.91	13.23 0.06	11.68 0.06	11.89 0.05 
975.97	13.12 0.04	11.79 0.03	11.77 0.03 
976.88	13.08 0.06	11.65 0.06	11.77 0.05 
978.65	12.81 0.06	11.73 0.06	11.74 0.05 
978.87	99.99 9.99	11.67 0.10	11.77 0.10 
984.76	12.68 0.05	12.00 0.03	12.05 0.04 
