Name,Telescope,Filter,JD,Magnitude,Magnitude Error 
PTF09ge,P48,g,2454910.954,>22.0011,3sigma non-detection limit
PTF09ge,P48,g,2454917.759,>21.3492,3sigma non-detection limit
PTF09ge,P48,g,2454918.904,>21.5973,3sigma non-detection limit
PTF09ge,P48,g,2454921.74,>21.3838,3sigma non-detection limit
PTF09ge,P48,g,2454921.817,>21.5319,3sigma non-detection limit
PTF09ge,P48,g,2454975.742,17.8332,0.0081624 
PTF09ge,P48,g,2454975.803,17.8518,0.011277 
PTF09ge,P48,g,2454975.857,17.8549,0.013672 
PTF09ge,P48,g,2454975.9,17.8297,0.011027 
PTF09ge,P48,g,2454975.935,17.8034,0.016976 
PTF09ge,P48,g,2454975.962,17.811,0.014093 
PTF09ge,P48,g,2454975.984,17.7862,0.023136 
PTF09ge,P60,g,2454970.676,18.0932,0.011551 
PTF09ge,P60,g,2454971.951,18.0691,0.012183 
PTF09ge,P60,g,2454972.957,18.0448,0.010585 
PTF09ge,P60,g,2454978.96,17.7875,0.0075662 
PTF09ge,P60,g,2454983.699,17.6087,0.0081351 
PTF09ge,P60,g,2454986.727,17.6327,0.011617 
PTF09ge,P60,g,2454997.893,17.6724,0.010738 
PTF09ge,P60,g,2454998.96,17.7004,0.01651 
PTF09ge,P60,g,2455006.853,17.7383,0.011292 
PTF09ge,P60,g,2455010.802,17.9205,0.0074242 
PTF09ge,P60,g,2455011.901,17.957,0.010384 
PTF09ge,P60,g,2455014.867,18.0029,0.010621 
PTF09ge,P60,g,2455016.867,18.005,0.014296 
PTF09ge,P60,g,2455020.845,18.037,0.028964 
PTF09ge,P60,g,2455022.852,18.233,0.019625 
PTF09ge,P60,g,2455024.853,18.2342,0.013235 
PTF09ge,P60,g,2455043.812,18.5744,0.024988 
PTF09ge,P48,r,2454958.675,19.1773,0.048395 
PTF09ge,P48,r,2454958.731,19.2245,0.05189 
PTF09ge,P48,r,2454958.809,19.248,0.050447 
PTF09ge,P48,r,2454958.869,19.1125,0.049466 
PTF09ge,P48,r,2454958.915,19.1886,0.043521 
PTF09ge,P48,r,2454958.962,19.1771,0.057738 
PTF09ge,P48,r,2454966.705,18.6424,0.025428 
PTF09ge,P48,r,2454966.847,18.6565,0.033151 
PTF09ge,P48,r,2454966.952,18.5758,0.031563 
PTF09ge,P48,r,2454968.729,18.5051,0.040042 
PTF09ge,P48,r,2454968.883,18.5684,0.041154 
PTF09ge,P48,r,2454972.812,18.2513,0.023306 
PTF09ge,P48,r,2454977.766,18.0977,0.015189 
PTF09ge,P48,r,2454977.82,18.0719,0.010053 
PTF09ge,P48,r,2454977.868,18.0899,0.016561 
PTF09ge,P48,r,2454977.908,18.0262,0.013326 
PTF09ge,P48,r,2454977.936,18.0111,0.014686 
PTF09ge,P48,r,2454977.971,18.0269,0.021975 
PTF09ge,P48,r,2454984.695,17.8895,0.013845 
PTF09ge,P48,r,2454984.754,17.8652,0.012959 
PTF09ge,P48,r,2454984.813,17.8815,0.014476 
PTF09ge,P48,r,2454984.872,17.8689,0.013414 
PTF09ge,P48,r,2454984.924,18.0184,0.035866 
PTF09ge,P48,r,2454984.946,17.8886,0.014522 
PTF09ge,P48,r,2455003.852,17.9039,0.016799 
PTF09ge,P48,r,2455003.94,17.8639,0.02134 
PTF09ge,P48,r,2455005.793,17.9204,0.021314 
PTF09ge,P48,r,2455012.782,18.0463,0.015937 
PTF09ge,P48,r,2455012.876,18.0781,0.016939 
PTF09ge,P48,r,2455016.727,18.1637,0.030188 
PTF09ge,P48,r,2455016.867,18.1095,0.018191 
PTF09ge,P48,r,2455020.701,18.221,0.017483 
PTF09ge,P48,r,2455020.747,18.2494,0.026252 
PTF09ge,P48,r,2455020.801,18.2272,0.037621 
PTF09ge,P48,r,2455020.842,18.2161,0.040532 
PTF09ge,P48,r,2455024.704,18.2964,0.015337 
PTF09ge,P48,r,2455024.802,18.3107,0.025053 
PTF09ge,P48,r,2455026.725,18.3505,0.01853 
PTF09ge,P48,r,2455026.845,18.345,0.035974 
PTF09ge,P48,r,2455029.729,18.6117,0.016432 
PTF09ge,P48,r,2455030.677,18.4819,0.021468 
PTF09ge,P48,r,2455031.742,18.3967,0.023698 
PTF09ge,P48,r,2455031.83,18.3683,0.036986 
PTF09ge,P48,r,2455033.704,18.4569,0.028165 
PTF09ge,P48,r,2455033.805,18.4231,0.027825 
PTF09ge,P48,r,2455040.69,18.645,0.021439 
PTF09ge,P48,r,2455040.796,18.6392,0.038227 
PTF09ge,P48,r,2455041.719,18.5308,0.044733 
PTF09ge,P48,r,2455041.825,18.6243,0.03887 
PTF09ge,P48,r,2455042.717,18.6378,0.045589 
PTF09ge,P48,r,2455042.851,18.6037,0.029912 
PTF09ge,P48,r,2455045.698,18.6371,0.020303 
PTF09ge,P48,r,2455045.812,18.6771,0.029817 
PTF09ge,P48,r,2455050.674,18.7837,0.053776 
PTF09ge,P48,r,2455050.779,18.7217,0.060652 
PTF09ge,P48,r,2455053.821,18.6907,0.068683 
PTF09ge,P48,r,2455054.766,18.7395,0.060091 
PTF09ge,P48,r,2455056.805,18.7699,0.057363 
PTF09ge,P48,r,2455056.812,18.8593,0.041463 
PTF09ge,P48,r,2455058.663,18.7784,0.034687 
PTF09ge,P48,r,2455059.709,18.8907,0.027318 
PTF09ge,P48,r,2455061.72,18.7941,0.03457 
PTF09ge,P48,r,2455061.796,18.6594,0.051661 
PTF09ge,P48,r,2455062.735,18.9056,0.060099 
PTF09ge,P48,r,2455063.699,18.8983,0.030627 
PTF09ge,P48,r,2455064.712,19.0058,0.037672 
PTF09ge,P48,r,2455064.756,18.839,0.025633 
PTF09ge,P48,r,2455066.694,18.9958,0.031664 
PTF09ge,P48,r,2455066.745,19.0007,0.030984 
PTF09ge,P48,r,2455069.694,18.9448,0.042125 
PTF09ge,P48,r,2455069.7,19.0977,0.032906 
PTF09ge,P48,r,2455069.74,18.9252,0.034593 
PTF09ge,P48,r,2455069.749,19.0736,0.041201 
PTF09ge,P48,r,2455081.658,19.2054,0.084098 
PTF09ge,P48,r,2455081.735,19.0749,0.063491 
PTF09ge,P48,r,2455088.633,19.2553,0.044459 
PTF09ge,P48,r,2455088.678,19.287,0.034621 
PTF09ge,P48,r,2455203.988,20.453,0.10787 
PTF09ge,P48,r,2455244.987,>22.2328,3sigma non-detection limit
PTF09ge,P48,r,2455245.031,>22.2248,3sigma non-detection limit
PTF09ge,P48,r,2455251.987,>21.8549,3sigma non-detection limit
PTF09ge,P48,r,2455252.032,>21.4099,3sigma non-detection limit
PTF09ge,P48,r,2455280.725,>19.9665,3sigma non-detection limit
PTF09ge,P48,r,2455280.768,>20.354,3sigma non-detection limit
PTF09ge,P48,r,2455290.942,>21.3106,3sigma non-detection limit
PTF09ge,P48,r,2455290.957,>21.3071,3sigma non-detection limit
PTF09ge,P48,r,2455295.997,>21.9946,3sigma non-detection limit
PTF09ge,P48,r,2455295.998,>21.7235,3sigma non-detection limit
PTF09ge,P48,r,2455301.9,>21.1883,3sigma non-detection limit
PTF09ge,P48,r,2455310.992,>21.3709,3sigma non-detection limit
PTF09ge,P48,r,2455316.898,>21.0373,3sigma non-detection limit
PTF09ge,P48,r,2455316.954,>20.9156,3sigma non-detection limit
PTF09ge,P48,r,2455322.872,>21.4883,3sigma non-detection limit
PTF09ge,P48,r,2455337.939,>21.3838,3sigma non-detection limit
PTF09ge,P48,r,2455337.985,>20.9349,3sigma non-detection limit
PTF09ge,P48,r,2455345.895,>20.7688,3sigma non-detection limit
PTF09ge,P48,r,2455345.938,>20.3504,3sigma non-detection limit
PTF09ge,P48,r,2455350.89,>21.6456,3sigma non-detection limit
PTF09ge,P48,r,2455350.933,>21.5619,3sigma non-detection limit
PTF09ge,P48,r,2455355.892,>21.4484,3sigma non-detection limit
PTF09ge,P48,r,2455355.946,>21.2732,3sigma non-detection limit
PTF09ge,P60,r,2454970.677,18.2139,0.014616 
PTF09ge,P60,r,2454971.952,18.1925,0.01852 
PTF09ge,P60,r,2454972.958,18.1721,0.012052 
PTF09ge,P60,r,2454978.961,17.8725,0.012007 
PTF09ge,P60,r,2454983.701,17.7455,0.0086787 
PTF09ge,P60,r,2454986.729,17.7299,0.014244 
PTF09ge,P60,r,2454997.894,17.7715,0.0135 
PTF09ge,P60,r,2454998.961,17.6881,0.024715 
PTF09ge,P60,r,2455010.804,18.0129,0.008151 
PTF09ge,P60,r,2455011.903,18.0016,0.013488 
PTF09ge,P60,r,2455014.869,18.055,0.014651 
PTF09ge,P60,r,2455016.869,18.1537,0.015255 
PTF09ge,P60,r,2455020.846,18.1417,0.021055 
PTF09ge,P60,r,2455024.855,18.173,0.018145 
PTF09ge,P60,r,2455043.813,18.5518,0.022128 
PTF09ge,P60,i,2454970.679,18.3914,0.022164 
PTF09ge,P60,i,2454971.954,18.0858,0.023467 
PTF09ge,P60,i,2454972.96,18.3187,0.018864 
PTF09ge,P60,i,2454978.963,18.2135,0.013804 
PTF09ge,P60,i,2454983.702,17.9057,0.014446 
PTF09ge,P60,i,2454986.73,17.8908,0.018772 
PTF09ge,P60,i,2454997.896,17.8137,0.019152 
PTF09ge,P60,i,2454998.963,17.8393,0.036312 
PTF09ge,P60,i,2455010.805,18.027,0.01171 
PTF09ge,P60,i,2455011.904,18.0282,0.018129 
PTF09ge,P60,i,2455014.87,18.0767,0.017628 
PTF09ge,P60,i,2455016.87,18.2697,0.019176 
PTF09ge,P60,i,2455020.848,18.1837,0.025592 
PTF09ge,P60,i,2455024.857,18.3432,0.025002 
PTF09ge,P60,i,2455043.815,18.6351,0.036447 
PTF09axc,P48,r,2454974.781,>21.8323,3sigma non-detection limit
PTF09axc,P48,r,2455002.772,20.8325,0.1215 
