SURVEY:  PS1MD
SNID:  PSc510175
IAUC:    UNKNOWN
RA:        240.2414292  deg
DECL:       54.7716889  deg
MWEBV: 0.0089 +- 0.0004 MW E(B-V)
REDSHIFT_FINAL:  0.3599 +- 0.0010  (CMB)
HOSTGAL_LOGMASS: 9.9440 +- 0.3725
SEARCH_PEAKMJD: 56417.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: PSc510175.0x1613.dougpv3.phot1
# CNTRD_FLUX_OFFSET: 0.0001
# HOSTNAME: dsp056

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 349
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR

OBS: 54979.5 g NULL  7.647 18.000 -7.209 2.556
OBS: 54982.4 g NULL  -12.713 13.924 nan -1.189
OBS: 54996.4 g NULL  -13.599 25.230 nan -2.014
OBS: 54999.4 g NULL  -17.185 14.740 nan -0.931
OBS: 55002.4 g NULL  56.626 26.232 -9.383 0.503
OBS: 55011.4 g NULL  -15.942 19.264 nan -1.312
OBS: 55014.3 g NULL  -41.468 24.199 nan -0.634
OBS: 55089.2 g NULL  -13.314 15.065 nan -1.229
OBS: 55296.6 g NULL  97.298 56.909 -9.970 0.635
OBS: 55302.6 g NULL  -19.240 18.082 nan -1.020
OBS: 55305.6 g NULL  4.870 33.149 -6.719 7.390
OBS: 55326.5 g NULL  6.711 14.508 -7.067 2.347
OBS: 55329.5 g NULL  -27.980 15.864 nan -0.616
OBS: 55335.4 g NULL  11.960 21.382 -7.694 1.941
OBS: 55338.4 g NULL  42.009 37.973 -9.058 0.981
OBS: 55347.4 g NULL  -17.931 29.882 nan -1.809
OBS: 55350.5 g NULL  3.531 18.174 -6.370 5.588
OBS: 55353.4 g NULL  0.329 14.655 -3.791 48.437
OBS: 55362.4 g NULL  -5.607 18.506 nan -3.583
OBS: 55365.3 g NULL  13.535 19.278 -7.829 1.546
OBS: 55368.4 g NULL  9.407 23.568 -7.434 2.720
OBS: 55377.4 g NULL  -16.320 17.604 nan -1.171
OBS: 55389.3 g NULL  23.685 15.714 -8.436 0.720
OBS: 55407.3 g NULL  -21.127 17.131 nan -0.880
OBS: 55413.3 g NULL  -2.791 18.145 nan -7.058
OBS: 55416.3 g NULL  1.032 14.493 -5.034 15.244
OBS: 55425.3 g NULL  -4.773 26.579 nan -6.046
OBS: 55437.3 g NULL  18.137 15.924 -8.146 0.953
OBS: 55440.3 g NULL  -18.368 14.438 nan -0.853
OBS: 55443.3 g NULL  5.531 12.094 -6.857 2.374
OBS: 55446.3 g NULL  -11.342 13.716 nan -1.313
OBS: 55449.2 g NULL  1.075 28.201 -5.079 28.480
OBS: 55452.3 g NULL  3.523 19.823 -6.367 6.110
OBS: 55602.6 g NULL  1.583 12.990 -5.498 8.913
OBS: 55674.5 g NULL  10.274 16.716 -7.529 1.767
OBS: 55677.6 g NULL  -8.420 13.924 nan -1.795
OBS: 55701.6 g NULL  33.715 26.845 -8.820 0.864
OBS: 55710.5 g NULL  6.179 12.210 -6.977 2.145
OBS: 55722.4 g NULL  -109.109 94.310 nan -0.938
OBS: 55737.4 g NULL  12.634 14.356 -7.754 1.234
OBS: 55740.4 g NULL  16.170 70.393 -8.022 4.726
OBS: 55743.3 g NULL  48.600 17.673 -9.217 0.395
