SURVEY:  PS1MD
SNID:  PSc360701
IAUC:    UNKNOWN
RA:        161.2843625  deg
DECL:       57.7779944  deg
MWEBV: 0.0056 +- 0.0006 MW E(B-V)
REDSHIFT_FINAL:  0.4269 +- 0.0010  (CMB)
HOSTGAL_LOGMASS: 10.7390 +- 0.2755
SEARCH_PEAKMJD: 55983.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: PSc360701.0x1613.dougpv3.phot1
# CNTRD_FLUX_OFFSET: 0.0002
# HOSTNAME: dsp058

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 365
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR

OBS: 55161.6 g NULL  -10.803 18.643 nan -1.874
OBS: 55182.6 g NULL  4.670 10.480 -6.673 2.436
OBS: 55188.6 g NULL  -0.459 8.465 nan -20.023
OBS: 55203.5 g NULL  -5.182 9.325 nan -1.954
OBS: 55209.6 g NULL  -13.839 8.033 nan -0.630
OBS: 55212.6 g NULL  4.180 4.524 -6.553 1.175
OBS: 55215.5 g NULL  6.279 5.267 -6.995 0.911
OBS: 55221.5 g NULL  -7.841 9.282 nan -1.285
OBS: 55230.5 g NULL  9.482 27.652 -7.442 3.166
OBS: 55233.5 g NULL  5.647 10.115 -6.880 1.945
OBS: 55236.6 g NULL  -10.007 7.054 nan -0.765
OBS: 55239.5 g NULL  5.389 4.851 -6.829 0.977
OBS: 55242.5 g NULL  1.461 4.851 -5.412 3.604
OBS: 55248.5 g NULL  -5.526 7.824 nan -1.537
OBS: 55251.4 g NULL  -14.798 16.669 nan -1.223
OBS: 55266.5 g NULL  -9.512 11.508 nan -1.314
OBS: 55275.4 g NULL  -3.186 8.179 nan -2.787
OBS: 55281.3 g NULL  -37.856 20.532 nan -0.589
OBS: 55293.4 g NULL  5.050 14.022 -6.758 3.015
OBS: 55302.4 g NULL  4.079 18.402 -6.526 4.899
OBS: 55305.3 g NULL  -28.040 16.694 nan -0.646
OBS: 55320.4 g NULL  -6.977 8.266 nan -1.286
OBS: 55326.3 g NULL  5.231 7.128 -6.797 1.479
OBS: 55329.3 g NULL  -20.041 7.927 nan -0.429
OBS: 55332.3 g NULL  5.387 7.741 -6.828 1.560
OBS: 55338.3 g NULL  35.639 33.479 -8.880 1.020
OBS: 55350.3 g NULL  4.347 4.596 -6.596 1.148
OBS: 55353.3 g NULL  -6.736 7.826 nan -1.261
OBS: 55563.6 g NULL  1.412 10.690 -5.374 8.223
OBS: 55572.6 g NULL  4.319 14.695 -6.588 3.694
OBS: 55584.6 g NULL  -0.018 15.308 nan -903.279
OBS: 55590.6 g NULL  4.423 6.381 -6.614 1.566
OBS: 55593.6 g NULL  -1.650 7.418 nan -4.880
OBS: 55596.5 g NULL  8.572 11.264 -7.333 1.427
OBS: 55602.4 g NULL  13.045 18.199 -7.789 1.515
OBS: 55629.4 g NULL  4.801 6.740 -6.703 1.524
OBS: 55632.5 g NULL  3.825 9.222 -6.457 2.617
OBS: 55635.3 g NULL  10.403 12.481 -7.543 1.303
OBS: 55650.5 g NULL  -2.430 11.515 nan -5.146
OBS: 55653.5 g NULL  7.744 8.576 -7.222 1.202
OBS: 55662.3 g NULL  -0.984 11.759 nan -12.979
OBS: 55665.3 g NULL  2.945 15.343 -6.173 5.656
OBS: 55674.3 g NULL  4.798 5.228 -6.703 1.183
OBS: 55677.4 g NULL  4.473 5.288 -6.626 1.284
OBS: 55680.3 g NULL  8.675 8.708 -7.346 1.090
OBS: 55692.3 g NULL  3.811 14.639 -6.453 4.171
OBS: 55710.3 g NULL  -2.668 5.685 nan -2.313
OBS: 55719.3 g NULL  17.723 8.855 -8.121 0.543
OBS: 55722.3 g NULL  -21.945 27.580 nan -1.365
OBS: 55911.6 g NULL  -11.669 12.859 nan -1.196
OBS: 55928.6 g NULL  -4.468 7.545 nan -1.833
OBS: 55947.6 g NULL  -10.909 12.532 nan -1.247
