SURVEY:  PS1MD
SNID:  PSc370589
IAUC:    UNKNOWN
RA:        149.1082083  deg
DECL:       3.4547500  deg
MWEBV: 0.0218 +- 0.0012 MW E(B-V)
REDSHIFT_FINAL:  0.3050 +- 0.0010  (CMB)
HOSTGAL_LOGMASS: 9.9880 +- 0.2490
SEARCH_PEAKMJD: 56013.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: PSc370589.0x1613.dougpv3.phot1
# CNTRD_FLUX_OFFSET: 0.0007

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 68
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR

OBS: 55242.4 g NULL  8.995 21.346 -7.385 2.577
OBS: 55593.5 g NULL  -22.094 22.518 nan -1.107
OBS: 55635.3 g NULL  17.279 24.268 -8.094 1.525
OBS: 55674.3 g NULL  19.400 19.699 -8.220 1.102
OBS: 55947.6 g NULL  45.264 22.261 -9.139 0.534
OBS: 55949.6 g NULL  28.821 33.381 -8.649 1.258
OBS: 55952.6 g NULL  -21.882 20.222 nan -1.003
OBS: 56014.3 g NULL  119.377 23.654 -10.192 0.215
OBS: 56040.3 g NULL  20.466 23.424 -8.278 1.243
OBS: 56360.3 g NULL  -0.538 24.821 nan -50.064
OBS: 56384.3 g NULL  11.836 31.530 -7.683 2.892
OBS: 56657.6 g NULL  -11.044 21.880 nan -2.151
OBS: 56666.6 g NULL  -27.049 28.111 nan -1.128
OBS: 56682.5 g NULL  -22.752 21.004 nan -1.002
OBS: 56709.3 g NULL  -13.611 27.524 nan -2.196
OBS: 55179.6 r NULL  -28.277 16.540 nan -0.635
OBS: 55242.4 r NULL  4.361 17.195 -6.599 4.281
OBS: 55941.6 r NULL  11.673 27.159 -7.668 2.526
OBS: 55947.6 r NULL  28.902 19.813 -8.652 0.744
OBS: 55948.4 r NULL  35.155 26.905 -8.865 0.831
OBS: 55973.5 r NULL  6.998 19.077 -7.112 2.960
OBS: 55984.3 r NULL  198.965 18.583 -10.747 0.101
OBS: 56328.5 r NULL  -29.932 26.138 nan -0.948
OBS: 56336.5 r NULL  23.543 18.355 -8.430 0.846
OBS: 56354.5 r NULL  -15.774 19.767 nan -1.361
OBS: 56384.3 r NULL  -11.537 26.981 nan -2.539
OBS: 56395.3 r NULL  10.827 24.201 -7.586 2.427
OBS: 56636.6 r NULL  5.425 20.970 -6.836 4.197
OBS: 56666.6 r NULL  4.835 24.634 -6.711 5.531
OBS: 56682.6 r NULL  -0.513 19.113 nan -40.436
OBS: 55237.5 i NULL  -20.663 27.719 nan -1.456
OBS: 55675.3 i NULL  1.893 26.505 -5.693 15.200
OBS: 55945.5 i NULL  0.803 24.953 -4.762 33.735
OBS: 55948.5 i NULL  74.452 36.313 -9.680 0.530
OBS: 55960.5 i NULL  17.190 26.849 -8.088 1.696
OBS: 55998.3 i NULL  86.589 1739.504 -9.844 21.812
OBS: 56007.3 i NULL  355.566 30.769 -11.377 0.094
OBS: 56030.3 i NULL  209.820 24.834 -10.805 0.129
OBS: 56033.3 i NULL  166.001 26.232 -10.550 0.172
OBS: 56038.3 i NULL  163.861 25.853 -10.536 0.171
OBS: 56041.3 i NULL  128.340 25.303 -10.271 0.214
OBS: 56044.3 i NULL  150.651 25.079 -10.445 0.181
OBS: 56326.5 i NULL  -41.768 25.343 nan -0.659
OBS: 56337.5 i NULL  -20.114 25.331 nan -1.367
OBS: 56393.4 i NULL  6.096 28.786 -6.963 5.127
OBS: 56656.6 i NULL  19.787 25.361 -8.241 1.392
OBS: 56661.6 i NULL  11.431 24.149 -7.645 2.294
OBS: 55595.5 z NULL  170.112 23.842 -10.577 0.152
OBS: 55676.3 z NULL  -5.251 127.858 nan -26.438
OBS: 55946.6 z NULL  27.907 26.997 -8.614 1.050
OBS: 55949.6 z NULL  76.729 36.892 -9.712 0.522
OBS: 55957.5 z NULL  -11.908 21.865 nan -1.994
OBS: 55961.3 z NULL  -24.143 23.722 nan -1.067
OBS: 56002.3 z NULL  310.796 37.916 -11.231 0.132
OBS: 56005.3 z NULL  345.610 32.603 -11.346 0.102
OBS: 56028.3 z NULL  185.806 22.500 -10.673 0.131
OBS: 56039.3 z NULL  46.463 39.469 -9.168 0.922
OBS: 56045.3 z NULL  132.413 20.872 -10.305 0.171
OBS: 56313.6 z NULL  20.813 20.292 -8.296 1.059
OBS: 56335.5 z NULL  10.490 25.694 -7.552 2.659
OBS: 56383.3 z NULL  -5.373 23.835 nan -4.817
OBS: 56392.3 z NULL  4.262 28.493 -6.574 7.259
OBS: 56400.3 z NULL  47.642 37.389 -9.195 0.852
OBS: 56618.6 z NULL  -23.350 23.850 nan -1.109
OBS: 56637.6 z NULL  -36.413 21.639 nan -0.645
OBS: 56643.6 z NULL  -7.642 32.152 nan -4.568
OBS: 56657.6 z NULL  1.837 20.640 -5.660 12.203
OBS: 56659.6 z NULL  31.887 39.180 -8.759 1.334
END:
