SURVEY:  PS1MD
SNID:  PSc320123
IAUC:    UNKNOWN
RA:        351.3947125  deg
DECL:       0.4743000  deg
MWEBV: 0.0309 +- 0.0011 MW E(B-V)
REDSHIFT_FINAL:  0.4420 +- 0.0010  (CMB)
HOSTGAL_LOGMASS: 11.4010 +- 0.0115
SEARCH_PEAKMJD: 55837.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: PSc320123.0x1613.dougpv3.phot1
# CNTRD_FLUX_OFFSET: 0.0002
# HOSTNAME: dsp054

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 372
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR

OBS: 55074.6 g NULL  6.781 11.630 -7.078 1.862
OBS: 55086.5 g NULL  -11.049 13.858 nan -1.362
OBS: 55089.4 g NULL  11.633 8.019 -7.664 0.748
OBS: 55092.4 g NULL  0.796 6.980 -4.753 9.514
OBS: 55095.4 g NULL  1.762 13.343 -5.615 8.224
OBS: 55098.5 g NULL  8.750 9.629 -7.355 1.195
OBS: 55101.5 g NULL  -11.297 8.668 nan -0.833
OBS: 55173.3 g NULL  -2.279 7.599 nan -3.620
OBS: 55176.3 g NULL  1.844 5.724 -5.664 3.371
OBS: 55179.3 g NULL  -3.473 4.407 nan -1.378
OBS: 55389.5 g NULL  -1.599 8.229 nan -5.589
OBS: 55410.6 g NULL  -2.208 153.254 nan -75.356
OBS: 55413.6 g NULL  0.933 9.481 -4.924 11.036
OBS: 55416.6 g NULL  -0.995 7.248 nan -7.913
OBS: 55422.6 g NULL  -9.744 7.993 nan -0.891
OBS: 55425.6 g NULL  5.675 8.340 -6.885 1.596
OBS: 55428.6 g NULL  -23.680 13.254 nan -0.608
OBS: 55440.5 g NULL  -2.083 9.129 nan -4.759
OBS: 55443.5 g NULL  1.682 6.839 -5.564 4.415
OBS: 55446.6 g NULL  4.615 8.403 -6.660 1.977
OBS: 55449.5 g NULL  -12.800 13.973 nan -1.185
OBS: 55452.4 g NULL  -0.952 7.167 nan -8.177
OBS: 55458.3 g NULL  -23.094 34.890 nan -1.640
OBS: 55467.4 g NULL  4.025 24.130 -6.512 6.509
OBS: 55476.5 g NULL  -6.279 8.232 nan -1.423
OBS: 55479.3 g NULL  -2.964 10.609 nan -3.887
OBS: 55482.3 g NULL  -2.790 9.815 nan -3.820
OBS: 55485.3 g NULL  -20.266 18.169 nan -0.973
OBS: 55500.3 g NULL  3.949 6.295 -6.491 1.731
OBS: 55503.3 g NULL  0.917 6.629 -4.906 7.848
OBS: 55530.3 g NULL  19.320 20.130 -8.215 1.131
OBS: 55767.6 g NULL  2.446 11.294 -5.971 5.012
OBS: 55770.6 g NULL  -2.914 11.339 nan -4.224
OBS: 55773.6 g NULL  -18.470 10.853 nan -0.638
OBS: 55776.6 g NULL  5.095 7.093 -6.768 1.511
OBS: 55779.6 g NULL  5.618 7.131 -6.874 1.378
OBS: 55782.6 g NULL  -5.867 8.932 nan -1.653
OBS: 55794.6 g NULL  13.630 17.034 -7.836 1.357
OBS: 55797.6 g NULL  -8.974 7.241 nan -0.876
OBS: 55800.5 g NULL  22.919 12.184 -8.400 0.577
OBS: 55803.6 g NULL  11.300 10.269 -7.633 0.987
OBS: 55806.6 g NULL  -8.302 12.213 nan -1.597
OBS: 55809.6 g NULL  -7.352 5.977 nan -0.883
OBS: 55812.5 g NULL  -17.026 16.635 nan -1.061
OBS: 55821.4 g NULL  4.957 11.503 -6.738 2.520
OBS: 55824.5 g NULL  3.118 7.548 -6.235 2.629
OBS: 55828.4 g NULL  0.013 5.678 -0.276 477.901
OBS: 55830.3 g NULL  13.172 11.487 -7.799 0.947
OBS: 55833.4 g NULL  47.448 10.658 -9.191 0.244
OBS: 55839.5 g NULL  93.231 16.854 -9.924 0.196
OBS: 55852.4 g NULL  75.197 17.381 -9.690 0.251
OBS: 55855.4 g NULL  51.612 11.734 -9.282 0.247
OBS: 55860.3 g NULL  29.206 5.398 -8.664 0.201
OBS: 55863.3 g NULL  3.839 10.516 -6.460 2.974
OBS: 55881.3 g NULL  -1.841 10.676 nan -6.297
OBS: 55887.2 g NULL  8.879 6.858 -7.371 0.839
OBS: 55889.3 g NULL  11.228 7.062 -7.626 0.683
OBS: 55895.2 g NULL  0.512 8.196 -4.274 17.373
OBS: 56147.6 g NULL  -1.416 16.331 nan -12.519
OBS: 56153.6 g NULL  14.781 10.931 -7.924 0.803
OBS: 56155.5 g NULL  18.498 8.255 -8.168 0.485
OBS: 56161.6 g NULL  2.212 7.334 -5.862 3.599
OBS: 56164.4 g NULL  20.162 21.848 -8.261 1.177
OBS: 56176.6 g NULL  -21.601 29.954 nan -1.506
OBS: 56206.4 g NULL  -1.076 8.328 nan -8.405
OBS: 56209.4 g NULL  -0.201 6.663 nan -35.989
OBS: 56214.3 g NULL  -10.811 10.412 nan -1.046
OBS: 56217.3 g NULL  -1.758 7.239 nan -4.470
OBS: 56220.3 g NULL  7.075 18.070 -7.124 2.773
OBS: 56235.3 g NULL  -2.905 3.833 nan -1.432
OBS: 56238.2 g NULL  14.580 15.020 -7.909 1.118
OBS: 56241.2 g NULL  -1.799 16.331 nan -9.858
OBS: 56243.3 g NULL  -12.393 14.194 nan -1.244
OBS: 56246.3 g NULL  -0.379 11.685 nan -33.518
OBS: 56480.6 g NULL  8.931 8.157 -7.377 0.992
OBS: 56507.6 g NULL  -4.404 9.348 nan -2.305
OBS: 56512.6 g NULL  6.377 6.572 -7.011 1.119
OBS: 56518.6 g NULL  -1.140 8.489 nan -8.084
OBS: 56531.6 g NULL  -7.952 10.828 nan -1.478
OBS: 56534.6 g NULL  -10.564 9.215 nan -0.947
OBS: 56537.6 g NULL  1.694 6.746 -5.572 4.325
OBS: 56539.5 g NULL  19.664 19.828 -8.234 1.095
OBS: 56574.4 g NULL  51.299 19.149 -9.275 0.405
OBS: 56590.4 g NULL  8.969 8.061 -7.382 0.976
OBS: 56593.3 g NULL  0.216 6.802 -3.335 34.237
OBS: 56601.3 g NULL  1.065 13.200 -5.068 13.457
OBS: 56629.3 g NULL  0.713 7.621 -4.632 11.609
OBS: 55074.6 r NULL  -9.847 15.862 nan -1.749
OBS: 55083.5 r NULL  16.900 13.385 -8.070 0.860
OBS: 55086.5 r NULL  -16.709 13.546 nan -0.880
OBS: 55092.4 r NULL  -4.004 12.202 nan -3.309
OBS: 55095.4 r NULL  19.036 17.368 -8.199 0.991
OBS: 55098.5 r NULL  -11.091 12.498 nan -1.223
OBS: 55101.5 r NULL  5.438 10.441 -6.839 2.085
OBS: 55173.3 r NULL  -11.243 11.296 nan -1.091
OBS: 55176.3 r NULL  3.264 11.436 -6.284 3.804
OBS: 55179.3 r NULL  2.556 10.199 -6.019 4.333
OBS: 55389.5 r NULL  -9.160 9.793 nan -1.161
OBS: 55398.6 r NULL  11.170 16.637 -7.620 1.617
OBS: 55410.6 r NULL  3.669 15.912 -6.411 4.708
