SURVEY:  PS1MD
SNID:  PSc530302
IAUC:    UNKNOWN
RA:        242.1782000  deg
DECL:       54.0967833  deg
MWEBV: 0.0068 +- 0.0014 MW E(B-V)
REDSHIFT_FINAL:  0.3380 +- 0.0010  (CMB)
HOSTGAL_LOGMASS: 10.2090 +- 0.3650
SEARCH_PEAKMJD: 56482.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: PSc530302.0x1613.dougpv3.phot1
# CNTRD_FLUX_OFFSET: 0.0001
# HOSTNAME: dsp055

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 375
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR

OBS: 54993.5 r NULL  7.695 16.815 -7.215 2.373
OBS: 54996.5 r NULL  14.926 14.344 -7.935 1.043
OBS: 54999.5 r NULL  -11.235 23.785 nan -2.299
OBS: 55002.4 r NULL  -30.097 13.077 nan -0.472
OBS: 55011.4 r NULL  7.291 10.740 -7.157 1.599
OBS: 55014.3 r NULL  -10.305 13.297 nan -1.401
OBS: 55029.3 r NULL  5.085 18.018 -6.766 3.847
OBS: 55089.3 r NULL  -3.389 10.915 nan -3.497
OBS: 55296.6 r NULL  -20.538 102.199 nan -5.403
OBS: 55302.6 r NULL  22.428 22.897 -8.377 1.108
OBS: 55305.6 r NULL  -34.627 17.861 nan -0.560
OBS: 55326.6 r NULL  -1.017 11.125 nan -11.878
OBS: 55329.5 r NULL  -2.200 11.040 nan -5.449
OBS: 55332.4 r NULL  -1.228 8.902 nan -7.869
OBS: 55335.4 r NULL  13.897 11.834 -7.857 0.925
OBS: 55338.4 r NULL  10.624 26.662 -7.566 2.725
OBS: 55347.5 r NULL  2.413 11.590 -5.956 5.216
OBS: 55350.5 r NULL  -23.247 14.106 nan -0.659
OBS: 55353.4 r NULL  -8.692 8.565 nan -1.070
OBS: 55362.4 r NULL  -22.603 14.629 nan -0.703
OBS: 55365.3 r NULL  -8.528 10.070 nan -1.282
OBS: 55368.4 r NULL  8.257 11.028 -7.292 1.450
OBS: 55377.5 r NULL  -11.911 13.387 nan -1.220
OBS: 55389.3 r NULL  -4.003 8.403 nan -2.279
OBS: 55407.4 r NULL  -2.602 13.674 nan -5.705
OBS: 55413.3 r NULL  -13.935 10.758 nan -0.838
OBS: 55416.3 r NULL  1.851 14.363 -5.669 8.425
OBS: 55422.3 r NULL  13.969 31.225 -7.863 2.427
OBS: 55425.3 r NULL  -15.701 19.479 nan -1.347
OBS: 55428.3 r NULL  15.641 16.578 -7.986 1.151
OBS: 55437.3 r NULL  -13.000 17.971 nan -1.501
OBS: 55440.3 r NULL  -3.196 10.485 nan -3.562
OBS: 55443.3 r NULL  10.520 15.421 -7.555 1.592
OBS: 55446.3 r NULL  3.796 10.246 -6.448 2.930
OBS: 55449.2 r NULL  0.710 10.569 -4.629 16.156
OBS: 55452.3 r NULL  -7.598 11.807 nan -1.687
OBS: 55602.6 r NULL  4.347 8.494 -6.595 2.122
OBS: 55674.5 r NULL  1.791 10.729 -5.633 6.502
OBS: 55677.6 r NULL  1.938 9.975 -5.718 5.588
OBS: 55701.6 r NULL  -19.332 18.046 nan -1.014
OBS: 55710.5 r NULL  0.209 9.493 -3.298 49.411
OBS: 55722.4 r NULL  -6.538 21.626 nan -3.591
OBS: 55737.4 r NULL  12.787 13.072 -7.767 1.110
OBS: 55740.4 r NULL  15.559 34.571 -7.980 2.412
OBS: 55743.3 r NULL  3.972 11.300 -6.498 3.089
