SURVEY:  PS1MD
SNID:  PSc500091
IAUC:    UNKNOWN
RA:        130.3775833  deg
DECL:       44.3176722  deg
MWEBV: 0.0212 +- 0.0010 MW E(B-V)
REDSHIFT_FINAL:  0.3398 +- 0.0010  (CMB)
HOSTGAL_LOGMASS: 10.2970 +- 0.3270
SEARCH_PEAKMJD: 56389.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 1
# PHOTCAT: PSc500091.0x1613.dougpv3.phot1
# CNTRD_FLUX_OFFSET: 0.0002
# HOSTNAME: dsp055

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 389
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR

OBS: 55161.5 g NULL  28.933 18.115 -8.653 0.680
OBS: 55173.5 g NULL  8.661 12.237 -7.344 1.534
OBS: 55179.5 g NULL  -6.737 6.117 nan -0.986
OBS: 55182.5 g NULL  1.075 7.482 -5.079 7.556
OBS: 55188.6 g NULL  1.386 9.489 -5.355 7.431
OBS: 55191.5 g NULL  -2.169 6.183 nan -3.096
OBS: 55203.4 g NULL  -3.734 6.628 nan -1.927
OBS: 55206.5 g NULL  -5.005 5.166 nan -1.121
OBS: 55212.4 g NULL  3.342 7.007 -6.310 2.277
OBS: 55215.4 g NULL  -0.940 4.897 nan -5.655
OBS: 55221.4 g NULL  50.974 16.891 -9.268 0.360
OBS: 55230.5 g NULL  -35.256 18.312 nan -0.564
OBS: 55233.4 g NULL  3.832 7.298 -6.458 2.068
OBS: 55236.3 g NULL  -0.868 11.376 nan -14.238
OBS: 55239.4 g NULL  2.080 5.500 -5.795 2.871
OBS: 55242.3 g NULL  -5.336 5.948 nan -1.210
OBS: 55248.4 g NULL  9.352 10.020 -7.427 1.163
OBS: 55275.4 g NULL  6.097 7.913 -6.963 1.409
OBS: 55479.6 g NULL  19.037 19.466 -8.199 1.110
OBS: 55482.6 g NULL  4.551 7.209 -6.645 1.720
OBS: 55485.6 g NULL  -1.449 8.806 nan -6.601
OBS: 55503.6 g NULL  1.143 4.272 -5.145 4.059
OBS: 55509.6 g NULL  -9.409 6.031 nan -0.696
OBS: 55515.6 g NULL  0.530 8.002 -4.310 16.399
OBS: 55518.6 g NULL  -3.485 4.376 nan -1.363
OBS: 55530.6 g NULL  -0.461 13.495 nan -31.796
OBS: 55545.5 g NULL  -3.498 14.331 nan -4.449
OBS: 55548.6 g NULL  -10.554 5.513 nan -0.567
OBS: 55560.4 g NULL  2.730 8.008 -6.090 3.185
OBS: 55563.6 g NULL  -1.591 12.128 nan -8.274
OBS: 55566.6 g NULL  6.588 8.709 -7.047 1.435
OBS: 55584.5 g NULL  -0.027 14.294 nan -574.793
OBS: 55587.6 g NULL  7.044 14.379 -7.120 2.216
OBS: 55590.5 g NULL  -0.570 6.127 nan -11.672
OBS: 55596.3 g NULL  6.752 7.274 -7.074 1.170
OBS: 55602.3 g NULL  29.522 19.381 -8.675 0.713
OBS: 55614.4 g NULL  -78.342 111.980 nan -1.552
OBS: 55632.3 g NULL  -4.974 10.439 nan -2.279
OBS: 55650.3 g NULL  -4.052 8.653 nan -2.318
OBS: 55653.3 g NULL  2.288 7.258 -5.899 3.444
OBS: 55665.3 g NULL  13.779 21.474 -7.848 1.692
OBS: 55895.6 g NULL  3.055 7.226 -6.212 2.568
OBS: 55911.6 g NULL  -1.145 13.330 nan -12.636
OBS: 55947.4 g NULL  4.240 9.175 -6.568 2.349
OBS: 55952.6 g NULL  -19.962 9.802 nan -0.533
OBS: 55970.4 g NULL  -14.700 10.342 nan -0.764
OBS: 55978.3 g NULL  18.467 12.837 -8.166 0.755
OBS: 55984.3 g NULL  6.697 8.313 -7.065 1.348
OBS: 56000.4 g NULL  8.722 6.998 -7.351 0.871
OBS: 56006.3 g NULL  10.475 7.058 -7.550 0.732
OBS: 56238.6 g NULL  23.601 15.878 -8.432 0.730
OBS: 56243.6 g NULL  -0.450 15.320 nan -36.964
OBS: 56268.6 g NULL  -6.928 19.400 nan -3.040
OBS: 56271.6 g NULL  -8.219 8.385 nan -1.108
OBS: 56273.6 g NULL  12.571 10.976 -7.748 0.948
OBS: 56282.6 g NULL  0.509 10.038 -4.267 21.411
OBS: 56295.5 g NULL  -1.523 20.199 nan -14.399
OBS: 56303.5 g NULL  1.560 9.307 -5.483 6.479
OBS: 56309.6 g NULL  -9.796 7.421 nan -0.823
OBS: 56325.5 g NULL  31.581 16.640 -8.749 0.572
OBS: 56328.4 g NULL  3.982 10.994 -6.500 2.998
OBS: 56331.5 g NULL  -2.745 6.866 nan -2.715
OBS: 56333.4 g NULL  1.401 5.362 -5.366 4.157
OBS: 56354.4 g NULL  -9.746 8.962 nan -0.998
OBS: 56357.3 g NULL  0.490 7.189 -4.225 15.933
OBS: 56360.3 g NULL  7.170 12.924 -7.139 1.957
OBS: 56371.3 g NULL  -11.926 24.363 nan -2.218
OBS: 56384.3 g NULL  73.130 13.981 -9.660 0.208
OBS: 56387.3 g NULL  99.293 11.186 -9.992 0.122
OBS: 56392.3 g NULL  107.744 7.892 -10.081 0.080
OBS: 56395.3 g NULL  99.007 10.538 -9.989 0.116
OBS: 56398.3 g NULL  94.391 76.595 -9.937 0.881
OBS: 56421.3 g NULL  -0.051 9.437 nan -201.303
OBS: 56622.6 g NULL  -16.859 16.596 nan -1.069
OBS: 56630.6 g NULL  -2.966 4.807 nan -1.760
OBS: 56633.6 g NULL  8.464 12.937 -7.319 1.659
OBS: 56663.5 g NULL  -13.664 10.976 nan -0.872
OBS: 56666.6 g NULL  0.663 10.527 -4.553 17.247
OBS: 56682.4 g NULL  14.776 7.147 -7.924 0.525
OBS: 56709.3 g NULL  -2.878 17.910 nan -6.757
OBS: 55161.5 r NULL  15.250 17.019 -7.958 1.212
OBS: 55173.5 r NULL  22.735 10.850 -8.392 0.518
OBS: 55179.5 r NULL  -8.124 7.830 nan -1.046
OBS: 55182.5 r NULL  -5.080 9.489 nan -2.028
OBS: 55188.6 r NULL  -5.365 10.240 nan -2.072
OBS: 55191.5 r NULL  -6.878 7.001 nan -1.105
OBS: 55203.5 r NULL  -4.420 7.297 nan -1.792
OBS: 55206.5 r NULL  0.751 6.977 -4.689 10.087
OBS: 55212.4 r NULL  27.603 11.170 -8.602 0.439
OBS: 55215.4 r NULL  -3.579 7.496 nan -2.274
OBS: 55221.5 r NULL  17.364 15.006 -8.099 0.938
OBS: 55230.5 r NULL  8.527 11.964 -7.327 1.523
OBS: 55233.4 r NULL  -13.460 9.461 nan -0.763
OBS: 55236.3 r NULL  22.331 11.907 -8.372 0.579
OBS: 55239.4 r NULL  -0.195 6.965 nan -38.818
OBS: 55242.3 r NULL  -2.061 6.679 nan -3.519
OBS: 55248.4 r NULL  3.948 8.725 -6.491 2.400
OBS: 55275.4 r NULL  -21.177 8.248 nan -0.423
OBS: 55482.6 r NULL  1.532 7.693 -5.463 5.452
OBS: 55485.6 r NULL  -19.535 10.599 nan -0.589
OBS: 55503.6 r NULL  2.625 5.130 -6.048 2.121
OBS: 55509.6 r NULL  -3.300 6.270 nan -2.063
OBS: 55515.6 r NULL  11.417 6.777 -7.644 0.644
OBS: 55530.6 r NULL  8.240 11.226 -7.290 1.479
OBS: 55545.5 r NULL  -15.515 8.002 nan -0.560
OBS: 55560.4 r NULL  4.022 9.210 -6.511 2.486
OBS: 55563.6 r NULL  -14.814 12.610 nan -0.924
OBS: 55566.6 r NULL  -9.403 8.011 nan -0.925
OBS: 55584.5 r NULL  -7.065 13.498 nan -2.074
OBS: 55587.6 r NULL  -1.213 9.340 nan -8.363
OBS: 55590.6 r NULL  -2.172 7.273 nan -3.635
OBS: 55593.6 r NULL  -9.282 9.169 nan -1.073
OBS: 55596.3 r NULL  -3.688 6.644 nan -1.956
OBS: 55602.3 r NULL  3.558 6.614 -6.378 2.018
OBS: 55632.3 r NULL  -0.713 8.146 nan -12.409
OBS: 55650.4 r NULL  -2.056 8.001 nan -4.224
OBS: 55653.3 r NULL  -5.380 7.212 nan -1.455
OBS: 55665.3 r NULL  -5.853 18.826 nan -3.492
OBS: 55888.5 r NULL  -8.621 9.642 nan -1.214
OBS: 55892.5 r NULL  4.785 10.559 -6.700 2.396
OBS: 55895.6 r NULL  -0.620 7.444 nan -13.045
OBS: 55947.4 r NULL  -6.002 7.347 nan -1.329
OBS: 55948.4 r NULL  22.072 14.444 -8.360 0.711
OBS: 55952.6 r NULL  -1.221 6.824 nan -6.067
OBS: 55970.4 r NULL  -1.050 9.095 nan -9.402
OBS: 55984.3 r NULL  4.295 8.873 -6.582 2.243
OBS: 56000.4 r NULL  -4.906 6.650 nan -1.472
OBS: 56006.4 r NULL  8.584 5.799 -7.334 0.733
OBS: 56238.6 r NULL  0.623 13.484 -4.487 23.487
OBS: 56242.6 r NULL  7.953 8.388 -7.251 1.145
OBS: 56268.6 r NULL  6.281 9.465 -6.995 1.636
OBS: 56271.6 r NULL  -8.883 10.443 nan -1.276
OBS: 56282.6 r NULL  2.769 9.914 -6.106 3.887
OBS: 56295.5 r NULL  4.262 10.386 -6.574 2.646
OBS: 56302.4 r NULL  8.370 10.441 -7.307 1.354
OBS: 56309.6 r NULL  -2.389 7.982 nan -3.628
OBS: 56325.5 r NULL  6.442 15.107 -7.023 2.546
OBS: 56328.4 r NULL  2.808 9.189 -6.121 3.553
OBS: 56331.5 r NULL  5.657 9.473 -6.881 1.818
OBS: 56332.5 r NULL  22.994 9.128 -8.404 0.431
OBS: 56354.4 r NULL  2.265 8.335 -5.887 3.996
OBS: 56357.3 r NULL  -13.361 10.908 nan -0.886
OBS: 56360.3 r NULL  -5.434 10.158 nan -2.030
OBS: 56371.3 r NULL  -21.049 19.732 nan -1.018
OBS: 56384.3 r NULL  84.015 11.718 -9.811 0.151
OBS: 56387.3 r NULL  135.983 10.761 -10.334 0.086
OBS: 56391.3 r NULL  158.622 10.637 -10.501 0.073
OBS: 56395.3 r NULL  140.908 11.038 -10.372 0.085
OBS: 56398.3 r NULL  598.567 202.107 -11.943 0.367
OBS: 56420.3 r NULL  24.346 8.545 -8.466 0.381
OBS: 56622.6 r NULL  -1.020 12.341 nan -13.139
