#               DATEOBS        MJDim filter      m    dm gr gr_err ri ri_err iz iz_err cflg photcodehex   flux_c dflux_c ZPTMAG_c     flux  dflux ZPTMAG       type                                                                              cmpfile
 2010-07-12T12:34:12.77 55389.523759      r      -     -  -      -  -      -  -      -    -      0x1614  -216.27  636.43  31.7051  -216.27 636.43 31.705 0x00000011 ut100712n_templn/101/md10s117.r.100712n.129098_101_r.090911n.31087_101.diff.cut.dcmp
 2010-07-21T14:52:04.84 55398.619500      r      -     -  -      -  -      -  -      -    -      0x1614 -1858.78  904.27  31.7051 -1858.78 904.11 31.705 0x00000011 ut100721n_templn/101/md10s117.r.100721n.130817_101_r.090911n.31087_101.diff.cut.dcmp
 2010-08-02T13:32:18.61 55410.564104      r 22.335 0.209  -      -  -      -  -      -    -      0x1614  5596.85 1080.30  31.7051  5137.40 990.48 31.612 0x00000011 ut100802n_templn/101/md10s117.r.100802n.134340_101_r.090911n.31087_101.diff.cut.dcmp
 2010-08-05T12:51:54.01 55413.536042      r 21.567 0.061  -      -  -      -  -      -    -      0x1614 11351.95  645.03  31.7051 11351.95 636.42 31.705 0x00000011 ut100805n_templn/101/md10s117.r.100805n.135847_101_r.090911n.31087_101.diff.cut.dcmp
 2010-08-08T13:44:04.87 55416.572279      r 21.216 0.045  -      -  -      -  -      -    -      0x1614 15692.29  669.87  31.7051 15692.29 653.94 31.705 0x00000011 ut100808n_templn/101/md10s117.r.100808n.137253_101_r.090911n.31087_101.diff.cut.dcmp
 2010-08-14T13:52:23.24 55422.578047      r 21.011 0.049  -      -  -      -  -      -    -      0x1614 18948.32  878.82  31.7051 17105.30 777.39 31.594 0x00000011 ut100814n_templn/101/md10s117.r.100814n.139235_101_r.090911n.31087_101.diff.cut.dcmp
