#               DATEOBS        MJDim filter      m    dm gr gr_err ri ri_err iz iz_err cflg photcodehex   flux_c dflux_c ZPTMAG_c     flux   dflux ZPTMAG       type                                                                           cmpfile
 2010-04-17T14:03:11.52 55303.585550      i 22.656 0.254  -      -  -      -  -      -    -      0x1615  8443.08 1978.05  32.4725  9141.57 2140.02 32.559 0x00000011 ut100417b_templb/71/md07s017.i.100417b.105117_71_i.100225b.64551_71.diff.cut.dcmp
 2010-05-11T10:55:04.22 55327.454910      i 22.193 0.164  -      -  -      -  -      -    -      0x1615 12933.18 1958.38  32.4725 14003.14 2116.43 32.559 0x00000011 ut100511b_templb/71/md07s017.i.100511b.107084_71_i.100225b.64551_71.diff.cut.dcmp
 2010-06-16T07:11:15.07 55363.299480      i 22.225 0.170  -      -  -      -  -      -    -      0x1615 12559.99 1966.44  32.4725 13599.07 2125.40 32.559 0x00000011 ut100616b_templb/71/md07s017.i.100616b.118130_71_i.100225b.64551_71.diff.cut.dcmp
 2010-06-19T07:22:51.46 55366.307540      i 22.260 0.173  -      -  -      -  -      -    -      0x1615 12159.45 1941.92  32.4725 13165.40 2099.04 32.559 0x00000011 ut100619b_templb/71/md07s017.i.100619b.119695_71_i.100225b.64551_71.diff.cut.dcmp
 2010-07-01T07:51:41.18 55378.327560      i 21.977 0.131  -      -  -      -  -      -    -      0x1615 15788.88 1907.19  32.4725 17095.09 2058.90 32.559 0x00000011 ut100701b_templb/71/md07s017.i.100701b.129110_71_i.100225b.64551_71.diff.cut.dcmp
 2010-07-22T08:11:23.14 55399.341240      i 21.951 0.234  -      -  -      -  -      -    -      0x1615 16163.68 3482.50  32.4725 17500.89 3767.13 32.559 0x00000011 ut100722b_templb/71/md07s017.i.100722b.131052_71_i.100225b.64551_71.diff.cut.dcmp
 2011-02-02T14:16:45.41 55594.594970      i 22.428 0.221  -      -  -      -  -      -    -      0x1615 10419.29 2124.42  32.4725 11281.27 2297.80 32.559 0x00000011 ut110202b_templb/71/md07s017.i.110202b.221105_71_i.100225b.64551_71.diff.cut.dcmp
 2011-02-05T15:22:18.34 55597.640490      i 22.004 0.153  -      -  -      -  -      -    -      0x1615 15391.80 2173.38  32.4725 16665.16 2348.12 32.559 0x00000011 ut110205b_templb/71/md07s017.i.110205b.224442_71_i.100225b.64551_71.diff.cut.dcmp
 2011-02-23T14:37:15.74 55615.609210      i 21.921 0.335  -      -  -      -  -      -    -      0x1615 16623.90 5136.76  32.4725 17999.19 5559.23 32.559 0x00000011 ut110223b_templb/71/md07s017.i.110223b.233584_71_i.100225b.64551_71.diff.cut.dcmp
 2011-03-10T15:05:08.45 55630.628570      i 22.112 0.194  -      -  -      -  -      -    -      0x1615 13940.08 2490.26  32.4725 15093.34 2692.66 32.559 0x00000011 ut110310b_templb/71/md07s017.i.110310b.242674_71_i.100225b.64551_71.diff.cut.dcmp
 2011-03-25T13:56:52.22 55645.581160      i 22.144 0.182  -      -  -      -  -      -    -      0x1615 13527.33 2265.54  32.4725 14646.44 2449.22 32.559 0x00000011 ut110325b_templb/71/md07s017.i.110325b.252852_71_i.100225b.64551_71.diff.cut.dcmp
 2011-03-31T13:37:02.50 55651.567390      i 22.293 0.179  -      -  -      -  -      -    -      0x1615 11797.29 1944.97  32.4725 12773.28 2102.56 32.559 0x00000011 ut110331b_templb/71/md07s017.i.110331b.254975_71_i.100225b.64551_71.diff.cut.dcmp
 2011-04-21T11:42:57.89 55672.488170      i 22.015 0.143  -      -  -      -  -      -    -      0x1615 15241.61 2014.06  32.4725 16502.54 2175.33 32.559 0x00000011 ut110421b_templb/71/md07s017.i.110421b.266662_71_i.100225b.64551_71.diff.cut.dcmp
 2011-04-24T09:43:37.92 55675.405300      i 22.382 0.189  -      -  -      -  -      -    -      0x1615 10872.23 1894.95  32.4725 11771.69 2048.82 32.559 0x00000011 ut110424b_templb/71/md07s017.i.110424b.268569_71_i.100225b.64551_71.diff.cut.dcmp
 2011-04-27T08:14:28.18 55678.343382      i 22.167 0.158  -      -  -      -  -      -    -      0x1615 13245.18 1931.21  32.4725 14340.95 2086.76 32.559 0x00000011 ut110427b_templb/71/md07s017.i.110427b.270025_71_i.100225b.64551_71.diff.cut.dcmp
 2011-05-24T07:31:48.64 55705.313757      i 22.228 0.159  -      -  -      -  -      -    -      0x1615 12524.14 1832.87  32.4725 13560.26 1980.53 32.559 0x00000011 ut110524b_templb/71/md07s017.i.110524b.301830_71_i.100225b.64551_71.diff.cut.dcmp
 2011-05-30T08:11:43.32 55711.341474      i 22.226 0.153  -      -  -      -  -      -    -      0x1615 12543.17 1772.33  32.4725 13580.86 1914.84 32.559 0x00000011 ut110530b_templb/71/md07s017.i.110530b.302969_71_i.100225b.64551_71.diff.cut.dcmp
 2011-06-02T07:23:23.00 55714.307905      i 22.196 0.190  -      -  -      -  -      -    -      0x1615 12904.35 2262.67  32.4725 13971.92 2446.45 32.559 0x00000011 ut110602b_templb/71/md07s017.i.110602b.303535_71_i.100225b.64551_71.diff.cut.dcmp
 2011-06-08T09:56:22.62 55720.414151      i 21.968 0.149  -      -  -      -  -      -    -      0x1615 15912.92 2187.47  32.4725 17229.39 2363.07 32.559 0x00000011 ut110608b_templb/71/md07s017.i.110608b.304968_71_i.100225b.64551_71.diff.cut.dcmp
 2011-06-11T07:48:30.58 55723.325354      i 22.296 0.184  -      -  -      -  -      -    -      0x1615 11770.07 2001.92  32.4725 12743.80 2164.33 32.559 0x00000011 ut110611b_templb/71/md07s017.i.110611b.306545_71_i.100225b.64551_71.diff.cut.dcmp
 2011-06-26T08:15:00.69 55738.343758      i 22.164 0.166  -      -  -      -  -      -    -      0x1615 13287.77 2030.40  32.4725 14387.06 2194.34 32.559 0x00000011 ut110626b_templb/71/md07s017.i.110626b.317352_71_i.100225b.64551_71.diff.cut.dcmp
 2011-06-29T07:08:12.68 55741.297369      i 22.334 0.172  -      -  -      -  -      -    -      0x1615 11361.33 1798.32  32.4725 12301.25 1943.76 32.559 0x00000011 ut110629b_templb/71/md07s017.i.110629b.323789_71_i.100225b.64551_71.diff.cut.dcmp
 2011-07-11T07:32:38.20 55753.314331      i 21.975 0.136  -      -  -      -  -      -    -      0x1615 15814.60 1986.41  32.4725 17122.93 2144.90 32.559 0x00000011 ut110711b_templb/71/md07s017.i.110711b.332811_71_i.100225b.64551_71.diff.cut.dcmp
