#               DATEOBS        MJDim filter m dm gr gr_err ri ri_err iz iz_err cflg photcodehex  flux_c dflux_c ZPTMAG_c    flux  dflux ZPTMAG       type                                                                               cmpfile
 2010-06-26T13:52:07.82 55373.577868      y -  -  -      -  -      -  -      -    -      0x1617 -296.38  707.66  30.6005 -296.38 707.65 30.601 0x00000011 ut100626e_temple/102/md10s041.y.100626e.120872_102_y.091230e.127772_102.diff.cut.dcmp
 2010-07-26T13:00:14.68 55403.541837      y -  -  -      -  -      -  -      -    -      0x1617 1356.32  828.30  30.6005 1337.59 816.77 30.585 0x00000011 ut100726e_temple/102/md10s041.y.100726e.131656_102_y.091230e.127772_102.diff.cut.dcmp
 2010-07-27T11:49:49.17 55404.492930      y -  -  -      -  -      -  -      -    -      0x1617 1678.93  899.20  30.6005 1678.93 899.07 30.601 0x00000011 ut100727e_temple/102/md10s041.y.100727e.133183_102_y.091230e.127772_102.diff.cut.dcmp
