#               DATEOBS        MJDim filter m dm gr gr_err ri ri_err iz iz_err cflg photcodehex  flux_c dflux_c ZPTMAG_c    flux   dflux ZPTMAG       type                                                                               cmpfile
 2010-06-26T13:52:07.82 55373.577868      y -  -  -      -  -      -  -      -    -      0x1617 1010.45  717.02  30.5497  987.81  700.90 30.525 0x00000011 ut100626e_temple/102/md10s040.y.100626e.120871_102_y.091230e.127771_102.diff.cut.dcmp
 2010-07-26T13:00:14.68 55403.541837      y -  -  -      -  -      -  -      -    -      0x1617  847.88 1240.48  30.5497  826.75 1209.54 30.522 0x00000011 ut100726e_temple/102/md10s040.y.100726e.131655_102_y.091230e.127771_102.diff.cut.dcmp
 2010-07-27T11:49:49.17 55404.492930      y -  -  -      -  -      -  -      -    -      0x1617 2065.78  769.39  30.5497 2065.78  769.15 30.550 0x00000011 ut100727e_temple/102/md10s040.y.100727e.133182_102_y.091230e.127771_102.diff.cut.dcmp
