#               DATEOBS        MJDim filter      m    dm gr gr_err ri ri_err iz iz_err cflg photcodehex    flux_c  dflux_c ZPTMAG_c      flux    dflux ZPTMAG       type                                                                            cmpfile
 2009-10-14T01:45:09.98 55118.073032      g      -     -  -      -  -      -  -      -    -      0x1613    304.82   810.45  33.0679    324.76   863.46 33.137 0x00000011   ut091014e_temple/11/md01s044.g.091014e.31624_11_g.091214e.38204_11.diff.cut.dcmp
 2009-10-14T01:45:09.98 55118.073032      g      -     -  -      -  -      -  -      -    -      0x1613   2599.34  1953.12  33.0679   2479.61  1863.01 33.017 0x00000011   ut091014e_temple/11/md01s044.g.091014e.31624_11_g.091226e.40600_11.diff.cut.dcmp
 2009-12-08T08:29:11.04 55173.353600      g      -     -  -      -  -      -  -      -    -      0x1613   -226.67  1575.16  33.0679   -203.72  1415.68 32.952 0x00000011   ut091208e_temple/11/md01s044.g.091208e.37388_11_g.091214e.38204_11.diff.cut.dcmp
 2009-12-08T08:29:11.04 55173.353600      g      -     -  -      -  -      -  -      -    -      0x1613   2111.23  2545.07  33.0679   1875.75  2261.14 32.940 0x00000011   ut091208e_temple/11/md01s044.g.091208e.37388_11_g.091226e.40600_11.diff.cut.dcmp
 2009-12-11T10:21:41.47 55176.431730      g      -     -  -      -  -      -  -      -    -      0x1613   -324.39  1310.41  33.0679   -324.00  1308.84 33.067 0x00000011   ut091211e_temple/11/md01s044.g.091211e.43872_11_g.091214e.38204_11.diff.cut.dcmp
 2009-12-11T10:21:41.47 55176.431730      g      -     -  -      -  -      -  -      -    -      0x1613   2813.89  2864.19  33.0679   2646.96  2694.16 33.002 0x00000011   ut091211e_temple/11/md01s044.g.091211e.43872_11_g.091226e.40600_11.diff.cut.dcmp
 2009-12-14T08:35:59.71 55179.358330      g      -     -  -      -  -      -  -      -    -      0x1613   1864.87  1607.69  33.0679   1958.16  1688.02 33.121 0x00000011   ut091214e_temple/11/md01s044.g.091214e.38204_11_g.091226e.40600_11.diff.cut.dcmp
 2009-12-23T07:43:12.29 55188.321670      g      -     -  -      -  -      -  -      -    -      0x1613   2188.72  3012.22  33.0679   2063.81  2840.25 33.004 0x00000011   ut091223e_temple/11/md01s044.g.091223e.44646_11_g.091214e.38204_11.diff.cut.dcmp
 2009-12-23T07:43:12.29 55188.321670      g      -     -  -      -  -      -  -      -    -      0x1613   5730.88  4917.81  33.0679   4780.37  4101.91 32.871 0x00000011   ut091223e_temple/11/md01s044.g.091223e.44646_11_g.091226e.40600_11.diff.cut.dcmp
 2009-12-26T05:46:45.12 55191.240800      g      -     -  -      -  -      -  -      -    -      0x1613  -2131.53  1814.90  33.0679  -2131.53  1814.79 33.068 0x00000011   ut091226e_temple/11/md01s044.g.091226e.40600_11_g.091214e.38204_11.diff.cut.dcmp
 2010-01-07T06:00:29.38 55203.250340      g      -     -  -      -  -      -  -      -    -      0x1613  -1042.44   810.41  33.0679  -1042.44   810.35 33.068 0x00000011   ut100107e_temple/11/md01s044.g.100107e.35919_11_g.091214e.38204_11.diff.cut.dcmp
 2010-01-07T06:00:29.38 55203.250340      g      -     -  -      -  -      -  -      -    -      0x1613    955.40  1854.32  33.0679    812.28  1576.52 32.892 0x00000011   ut100107e_temple/11/md01s044.g.100107e.35919_11_g.091226e.40600_11.diff.cut.dcmp
 2010-01-10T06:44:18.53 55206.280770      g      -     -  -      -  -      -  -      -    -      0x1613   1048.37   809.78  33.0679   1048.37   809.72 33.068 0x00000011   ut100110e_temple/11/md01s044.g.100110e.41684_11_g.091214e.38204_11.diff.cut.dcmp
 2010-01-10T06:44:18.53 55206.280770      g      -     -  -      -  -      -  -      -    -      0x1613   3177.88  2032.39  33.0679   2743.45  1754.37 32.908 0x00000011   ut100110e_temple/11/md01s044.g.100110e.41684_11_g.091226e.40600_11.diff.cut.dcmp
