#               DATEOBS        MJDim filter m dm gr gr_err ri ri_err iz iz_err cflg photcodehex  flux_c dflux_c ZPTMAG_c    flux   dflux ZPTMAG       type                                                                               cmpfile
 2010-06-26T13:52:07.82 55373.577868      y -  -  -      -  -      -  -      -    -      0x1617 1486.78 1061.51  30.6413 1402.19 1001.03 30.578 0x00000011 ut100626e_temple/102/md10s042.y.100626e.120873_102_y.091230e.127773_102.diff.cut.dcmp
 2010-07-26T13:00:14.68 55403.541837      y -  -  -      -  -      -  -      -    -      0x1617 1181.15 1120.86  30.6413 1133.82 1075.90 30.597 0x00000011 ut100726e_temple/102/md10s042.y.100726e.131657_102_y.091230e.127773_102.diff.cut.dcmp
 2010-07-27T11:49:49.17 55404.492930      y -  -  -      -  -      -  -      -    -      0x1617 -621.64 1029.28  30.6413 -621.64 1029.26 30.641 0x00000011 ut100727e_temple/102/md10s042.y.100727e.133184_102_y.091230e.127773_102.diff.cut.dcmp
 2010-09-21T07:19:28.99 55460.305197      y -  -  -      -  -      -  -      -    -      0x1617 -206.33 1015.45  30.6413 -206.33 1015.45 30.641 0x00000011 ut100921e_temple/102/md10s042.y.100921e.158102_102_y.091230e.127773_102.diff.cut.dcmp
 2010-09-25T11:26:28.68 55464.476721      y -  -  -      -  -      -  -      -    -      0x1617 -618.68 1391.73  30.6413 -613.80 1380.74 30.633 0x00000011 ut100925e_temple/102/md10s042.y.100925e.161852_102_y.091230e.127773_102.diff.cut.dcmp
