#               DATEOBS        MJDim filter      m    dm gr gr_err ri ri_err iz iz_err cflg photcodehex    flux_c dflux_c ZPTMAG_c      flux   dflux ZPTMAG       type                                                                               cmpfile
 2010-07-27T11:49:49.17 55404.492930      y 18.184 0.020  -      -  -      -  -      -    -      0x1617  89494.36 1829.08  30.5635  89494.36 1630.89 30.564 0x00000011 ut100727i_templi/102/md10s078.y.100727i.133214_102_y.091230i.127803_102.diff.cut.dcmp
 2010-09-21T07:18:34.61 55460.304567      y 16.874 0.007  -      -  -      -  -      -    -      0x1617 299124.91 3429.66  30.5635 299124.91 2025.34 30.564 0x00000011 ut100921i_templi/102/md10s078.y.100921i.158131_102_y.091230i.127803_102.diff.cut.dcmp
 2010-11-23T07:50:23.24 55523.326658      y 18.035 0.016  -      -  -      -  -      -    -      0x1617 102662.39 1803.74  30.5635 102662.39 1533.34 30.564 0x00000011 ut101123i_templi/102/md10s078.y.101123i.184738_102_y.091230i.127803_102.diff.cut.dcmp
