#       objid       gall       galb      mwebv       zhel       zcmb                  ra         dec
#        s377 132.343721903 -62.2530677411    0.02658     0.3990     0.3979    01:08:54.227   +00:17:56.510
# *************************************************************************************************
# This file created 
#       by     gnarayan
#       using  W_nn2.py s377.W6yr.nn2.lc -s --visualize --prune --adjusterrors --zplimit=29  --zeroMJDmax=53900 --zeroMJDmin=54250
#       and    clean_Wstd.py
#       on     herophysics
#       at     2013/04/01 13:56:29 EDT
# Redshift information 
#       zgal   =     0.3990 
#       zsn    =     0.3987 
# Redshifts are reported in the heliocentric frame
# Flux, Fluxerr_lo, Fluxerr_hi normalized to a zeropoint of 25.
# *************************************************************************************************
#Observation                                                 MJD   Passband            Flux     Fluxerr_lo     Fluxerr_hi
wbb6.050926_0155.081_6.diff.fits_CTIO4m_MOSAIC_II   53639.080800   R4m        -0.1850000000   0.7912000000   0.7912000000
wbb6.051006_0154.076_6.diff.fits_CTIO4m_MOSAIC_II   53649.080100   R4m        -0.3040000000   0.6848000000   0.6848000000
wbb6.051009_0109.078_6.diff.fits_CTIO4m_MOSAIC_II   53652.049300   R4m         0.4295000000   1.0694000000   1.0694000000
wbb6.051011_0106.072_6.diff.fits_CTIO4m_MOSAIC_II   53654.047600   R4m         0.4810000000   0.7356000000   0.7356000000
wbb6.051108_0134.060_6.diff.fits_CTIO4m_MOSAIC_II   53682.067000   R4m         0.3104000000   0.8227000000   0.8227000000
wbb6.051122_0144.058_6.diff.fits_CTIO4m_MOSAIC_II   53696.074100   R4m         0.5610000000   0.3470000000   0.3470000000
wbb6.051128_0220.066_6.diff.fits_CTIO4m_MOSAIC_II   53702.098600   R4m        -0.6123000000   0.3794000000   0.3794000000
wbb6.060914_0700.008_6.diff.fits_CTIO4m_MOSAIC_II   53992.293000   R4m         0.5099000000   1.0762000000   1.0762000000
wbb6.060916_0504.128_6.diff.fits_CTIO4m_MOSAIC_II   53994.212600   R4m        -0.2808000000   0.5228000000   0.5228000000
wbb6.060925_0515.379_6.diff.fits_CTIO4m_MOSAIC_II   54003.220000   R4m        -1.1962000000   0.8026000000   0.8026000000
wbb6.060928_0552.438_6.diff.fits_CTIO4m_MOSAIC_II   54006.247300   R4m        -0.2813000000   0.4551000000   0.4551000000
wbb6.061013_0524.097_6.diff.fits_CTIO4m_MOSAIC_II   54021.226000   R4m        -1.0221000000   0.8693000000   0.8693000000
wbb6.061017_0518.132_6.diff.fits_CTIO4m_MOSAIC_II   54025.221600   R4m        -1.3231000000   0.8706000000   0.8706000000
wbb6.061021_0532.142_6.diff.fits_CTIO4m_MOSAIC_II   54029.232800   R4m        -0.2605000000   0.6706000000   0.6706000000
wbb6.061023_0546.133_6.diff.fits_CTIO4m_MOSAIC_II   54031.240900   R4m        -0.8034000000   0.5124000000   0.5124000000
wbb6.061025_0503.117_6.diff.fits_CTIO4m_MOSAIC_II   54033.215800   R4m         0.3209000000   1.6329000000   1.6329000000
wbb6.061029_0534.101_6.diff.fits_CTIO4m_MOSAIC_II   54037.233300   R4m        -0.5003000000   0.6522000000   0.6522000000
wbb6.061031_0522.106_6.diff.fits_CTIO4m_MOSAIC_II   54039.224800   R4m        -0.9514000000   0.8419000000   0.8419000000
wbb6.061112_0055.061_6.diff.fits_CTIO4m_MOSAIC_II   54051.040000   R4m        -0.4367000000   0.6820000000   0.6820000000
wbb6.061116_0427.091_6.diff.fits_CTIO4m_MOSAIC_II   54055.188800   R4m        -1.0284000000   0.7501000000   0.7501000000
wbb6.061130_0438.058_6.diff.fits_CTIO4m_MOSAIC_II   54069.194400   R4m         9.9991000000   1.7658000000   1.7658000000
wbb6.061215_0123.088_6.diff.fits_CTIO4m_MOSAIC_II   54084.060000   R4m        16.2108000000   1.0835000000   1.0835000000
wbb6.061219_0130.059_6.diff.fits_CTIO4m_MOSAIC_II   54088.064500   R4m        17.6132000000   0.5057000000   0.5057000000
wbb6.061221_0121.095_6.diff.fits_CTIO4m_MOSAIC_II   54090.057700   R4m        17.5054000000   0.3796000000   0.3796000000
wbb6.061225_0127.238_6.diff.fits_CTIO4m_MOSAIC_II   54094.061700   R4m        15.2174000000   0.5644000000   0.5644000000
wbb6.061226_0156.373_6.diff.fits_CTIO4m_MOSAIC_II   54095.082200   R4m        14.0124000000   0.8516000000   0.8516000000
wbb6.061227_0106.008_6.diff.fits_CTIO4m_MOSAIC_II   54096.049100   R4m        15.1291000000   0.7805000000   0.7805000000
wbb6.061229_0103.006_6.diff.fits_CTIO4m_MOSAIC_II   54098.044900   R4m        12.1336000000   1.5382000000   1.5382000000
wbb6.070112_0122.083_6.diff.fits_CTIO4m_MOSAIC_II   54112.058000   R4m         5.4139000000   0.9225000000   0.9225000000
wbb6.070114_0123.107_6.diff.fits_CTIO4m_MOSAIC_II   54114.058700   R4m         4.2953000000   0.7143000000   0.7143000000
wbb6.070908_0652.054_6.diff.fits_CTIO4m_MOSAIC_II   54351.287700   R4m        -0.2837000000   0.5416000000   0.5416000000
wbb6.070911_0710.053_6.diff.fits_CTIO4m_MOSAIC_II   54354.300400   R4m         0.1435000000   0.6041000000   0.6041000000
wbb6.071008_0510.043_6.diff.fits_CTIO4m_MOSAIC_II   54381.217100   R4m         0.5854000000   0.5102000000   0.5102000000
wbb6.071010_0449.031_6.diff.fits_CTIO4m_MOSAIC_II   54383.204500   R4m        -0.2566000000   0.5931000000   0.5931000000
wbb6.071016_0448.049_6.diff.fits_CTIO4m_MOSAIC_II   54389.201300   R4m        -0.7761000000   0.7896000000   0.7896000000
wbb6.071103_0539.006_6.diff.fits_CTIO4m_MOSAIC_II   54407.236600   R4m        -0.6948000000   0.8491000000   0.8491000000
wbb6.071111_0046.035_6.diff.fits_CTIO4m_MOSAIC_II   54415.032700   R4m        -0.5948000000   0.6563000000   0.6563000000
wbb6.071113_0048.021_6.diff.fits_CTIO4m_MOSAIC_II   54417.034900   R4m         0.7803000000   0.4947000000   0.4947000000
wbb6.071115_0046.066_6.diff.fits_CTIO4m_MOSAIC_II   54419.033100   R4m         0.3068000000   0.4670000000   0.4670000000
wbb6.071117_0035.046_6.diff.fits_CTIO4m_MOSAIC_II   54421.026000   R4m        -0.2849000000   0.6173000000   0.6173000000
