#       objid       gall       galb      mwebv       zhel       zcmb                  ra         dec
#        x066 166.070465709 -60.2181493515    0.02047     0.3290     0.3281    02:11:04.611   -04:11:50.056
# *************************************************************************************************
# This file created 
#       by     gnarayan
#       using  W_nn2.py x066.W6yr.nn2.lc -s --visualize --prune --adjusterrors --zplimit=29  --zeroMJDmax=54250 --zeroMJDmin=54625
#       and    clean_Wstd.py
#       on     herophysics
#       at     2013/04/01 13:56:41 EDT
# Redshift information 
#       zgal   =     0.3290 
#       zsn    =     0.3310 
# Redshifts are reported in the heliocentric frame
# Flux, Fluxerr_lo, Fluxerr_hi normalized to a zeropoint of 25.
# *************************************************************************************************
#Observation                                                   MJD   Passband            Flux     Fluxerr_lo     Fluxerr_hi
wcc4.030928_0335.063_14.diff.fits_CTIO4m_MOSAIC_II    52910.150100   R4m        -0.3516000000   0.8400000000   0.8400000000
wcc4.031020_0246.044_14.diff.fits_CTIO4m_MOSAIC_II    52932.116400   R4m        -0.9659000000   0.4493000000   0.4493000000
wcc4.031024_0225.062_14.diff.fits_CTIO4m_MOSAIC_II    52936.103200   R4m         0.5951000000   1.1014000000   1.1014000000
wcc4.031030_0231.083_14.diff.fits_CTIO4m_MOSAIC_II    52942.106200   R4m        -0.2674000000   0.5274000000   0.5274000000
wcc4.031101_0138.057_14.diff.fits_CTIO4m_MOSAIC_II    52944.069200   R4m        -0.5227000000   1.1796000000   1.1796000000
wcc4.031117_0256.061_14.diff.fits_CTIO4m_MOSAIC_II    52960.123900   R4m        -0.0433000000   0.6581000000   0.6581000000
wcc4.031121_0302.074_14.diff.fits_CTIO4m_MOSAIC_II    52964.127900   R4m         0.4729000000   0.5262000000   0.5262000000
wcc4.031125_0155.061_14.diff.fits_CTIO4m_MOSAIC_II    52968.080600   R4m         0.5219000000   0.6155000000   0.6155000000
wcc4.031127_0301.189_14.diff.fits_CTIO4m_MOSAIC_II    52970.127000   R4m        -0.0971000000   0.4248000000   0.4248000000
wcc4.031129_0307.299_14.diff.fits_CTIO4m_MOSAIC_II    52972.131600   R4m        -0.3805000000   0.6498000000   0.6498000000
wcc4.031201_0145.048_14.diff.fits_CTIO4m_MOSAIC_II    52974.074100   R4m         0.2774000000   0.4952000000   0.4952000000
wcc4.031203_0150.181_14.diff.fits_CTIO4m_MOSAIC_II    52976.077500   R4m        -0.0391000000   0.6435000000   0.6435000000
wcc4.031215_0302.058_14.diff.fits_CTIO4m_MOSAIC_II    52988.128000   R4m         0.2161000000   0.7160000000   0.7160000000
wcc4.031223_0252.037_14.diff.fits_CTIO4m_MOSAIC_II    52996.121400   R4m        -0.5007000000   0.4803000000   0.4803000000
wcc4.031225_0233.040_14.diff.fits_CTIO4m_MOSAIC_II    52998.107800   R4m        -0.1170000000   0.5070000000   0.5070000000
wcc4.031227_0234.040_14.diff.fits_CTIO4m_MOSAIC_II    53000.108200   R4m         0.2523000000   0.4049000000   0.4049000000
wcc4.031231_0251.043_14.diff.fits_CTIO4m_MOSAIC_II    53004.120300   R4m         0.4581000000   1.2456000000   1.2456000000
wcc4.040918_0342.019_14.diff.fits_CTIO4m_MOSAIC_II    53266.156600   R4m         0.7861000000   0.9239000000   0.9239000000
wcc4.041017_0219.1044_14.diff.fits_CTIO4m_MOSAIC_II   53295.098000   R4m        -0.7517000000   0.6005000000   0.6005000000
wcc4.041021_0230.068_14.diff.fits_CTIO4m_MOSAIC_II    53299.105700   R4m        -0.3390000000   0.4721000000   0.4721000000
wcc4.041112_0232.176_14.diff.fits_CTIO4m_MOSAIC_II    53321.107500   R4m        -0.3160000000   0.3592000000   0.3592000000
wcc4.041116_0232.086_14.diff.fits_CTIO4m_MOSAIC_II    53325.107100   R4m        -0.5337000000   0.4002000000   0.4002000000
wcc4.041122_0349.196_14.diff.fits_CTIO4m_MOSAIC_II    53331.160800   R4m         1.7376000000   1.1663000000   1.1663000000
wcc4.041205_0317.077_14.diff.fits_CTIO4m_MOSAIC_II    53344.138700   R4m        -0.6929000000   0.4713000000   0.4713000000
wcc4.041209_0244.074_14.diff.fits_CTIO4m_MOSAIC_II    53348.114900   R4m        -0.2429000000   0.3697000000   0.3697000000
wcc4.041213_0148.067_14.diff.fits_CTIO4m_MOSAIC_II    53352.076400   R4m        -0.3813000000   0.3517000000   0.3517000000
wcc4.041215_0155.068_14.diff.fits_CTIO4m_MOSAIC_II    53354.081500   R4m         0.3441000000   0.3531000000   0.3531000000
wcc4.041219_0217.073_14.diff.fits_CTIO4m_MOSAIC_II    53358.096700   R4m         0.3327000000   0.5267000000   0.5267000000
wcc4.041221_0252.075_14.diff.fits_CTIO4m_MOSAIC_II    53360.121400   R4m         1.1555000000   1.1449000000   1.1449000000
wcc4.050109_0134.081_14.diff.fits_CTIO4m_MOSAIC_II    53379.066800   R4m         0.9295000000   0.5003000000   0.5003000000
wcc4.050115_0137.069_14.diff.fits_CTIO4m_MOSAIC_II    53385.068600   R4m         0.6702000000   0.4781000000   0.4781000000
wcc4.050928_0301.094_14.diff.fits_CTIO4m_MOSAIC_II    53641.127100   R4m         0.3246000000   0.7307000000   0.7307000000
wcc4.051006_0253.085_14.diff.fits_CTIO4m_MOSAIC_II    53649.122000   R4m        -0.3673000000   0.8795000000   0.8795000000
wcc4.051009_0203.067_14.diff.fits_CTIO4m_MOSAIC_II    53652.085800   R4m         0.6833000000   0.8151000000   0.8151000000
wcc4.051011_0202.080_14.diff.fits_CTIO4m_MOSAIC_II    53654.086400   R4m        -0.3282000000   0.7013000000   0.7013000000
wcc4.051108_0301.076_14.diff.fits_CTIO4m_MOSAIC_II    53682.126800   R4m         1.0697000000   1.1114000000   1.1114000000
wcc4.051124_0233.069_14.diff.fits_CTIO4m_MOSAIC_II    53698.107400   R4m         0.0462000000   0.6321000000   0.6321000000
wcc4.051130_0301.073_14.diff.fits_CTIO4m_MOSAIC_II    53704.127400   R4m         0.1170000000   0.3358000000   0.3358000000
wcc4.051202_0242.075_14.diff.fits_CTIO4m_MOSAIC_II    53706.113500   R4m        -0.0703000000   0.3680000000   0.3680000000
wcc4.051204_0253.030_14.diff.fits_CTIO4m_MOSAIC_II    53708.121500   R4m         0.2196000000   0.3686000000   0.3686000000
wcc4.051208_0259.071_14.diff.fits_CTIO4m_MOSAIC_II    53712.126600   R4m         0.5130000000   0.4680000000   0.4680000000
wcc4.051210_0058.049_14.diff.fits_CTIO4m_MOSAIC_II    53714.041900   R4m         0.0687000000   0.7399000000   0.7399000000
