#       objid       gall       galb      mwebv       zhel       zcmb                  ra         dec
#        q049 180.520440593 -60.1937712078    0.02963     0.4200     0.4192    02:32:02.611   -09:07:21.181
# *************************************************************************************************
# This file created 
#       by     gnarayan
#       using  W_nn2.py q049.W6yr.nn2.lc -s --visualize --prune --adjusterrors --zplimit=29  --zeroMJDmax=53900 --zeroMJDmin=54250
#       and    clean_Wstd.py
#       on     herophysics
#       at     2013/04/01 13:55:43 EDT
# Redshift information 
#       zgal   =     0.4200 
#       zsn    =     0.4210 
# Redshifts are reported in the heliocentric frame
# Flux, Fluxerr_lo, Fluxerr_hi normalized to a zeropoint of 25.
# *************************************************************************************************
#Observation                                                   MJD   Passband            Flux     Fluxerr_lo     Fluxerr_hi
wdd8.050926_0353.099_11.diff.fits_CTIO4m_MOSAIC_II    53639.163300   R4m         0.1232000000   0.4818000000   0.4818000000
wdd8.051006_0348.092_11.diff.fits_CTIO4m_MOSAIC_II    53649.159500   R4m         1.1719000000   1.0491000000   1.0491000000
wdd8.051011_0341.083_11.diff.fits_CTIO4m_MOSAIC_II    53654.154500   R4m        -0.5082000000   0.5137000000   0.5137000000
wdd8.051108_0327.080_11.diff.fits_CTIO4m_MOSAIC_II    53682.145000   R4m         1.2134000000   1.1022000000   1.1022000000
wdd8.051122_0358.077_11.diff.fits_CTIO4m_MOSAIC_II    53696.166700   R4m        -0.5075000000   0.3470000000   0.3470000000
wdd8.051128_0427.085_11.diff.fits_CTIO4m_MOSAIC_II    53702.186600   R4m         0.1022000000   0.3633000000   0.3633000000
wdd8.051202_0340.084_11.diff.fits_CTIO4m_MOSAIC_II    53706.154300   R4m         0.0870000000   0.3551000000   0.3551000000
wdd8.051204_0348.038_11.diff.fits_CTIO4m_MOSAIC_II    53708.159700   R4m        -0.2059000000   0.4220000000   0.4220000000
wdd8.051208_0356.079_11.diff.fits_CTIO4m_MOSAIC_II    53712.165400   R4m         0.1040000000   0.4749000000   0.4749000000
wdd8.051210_0152.057_11.diff.fits_CTIO4m_MOSAIC_II    53714.079300   R4m         0.0835000000   0.8536000000   0.8536000000
wdd8.051227_0303.061_11.diff.fits_CTIO4m_MOSAIC_II    53731.128400   R4m         0.1023000000   0.3987000000   0.3987000000
wdd8.051231_0209.069_11.diff.fits_CTIO4m_MOSAIC_II    53735.090800   R4m        -0.2661000000   0.3865000000   0.3865000000
wdd8.060103_0219.075_11.diff.fits_CTIO4m_MOSAIC_II    53738.098200   R4m        -0.2687000000   0.3299000000   0.3299000000
wdd8.060914_0819.023_11.diff.fits_CTIO4m_MOSAIC_II    53992.347600   R4m         0.5049000000   1.0345000000   1.0345000000
wdd8.060916_0911.162_11.diff.fits_CTIO4m_MOSAIC_II    53994.384200   R4m         0.8142000000   0.5023000000   0.5023000000
wdd8.060925_0836.409_11.diff.fits_CTIO4m_MOSAIC_II    54003.359700   R4m         8.5856000000   0.6950000000   0.6950000000
wdd8.060928_0922.454_11.diff.fits_CTIO4m_MOSAIC_II    54006.391700   R4m         8.8968000000   0.6654000000   0.6654000000
wdd8.061013_0726.115_11.diff.fits_CTIO4m_MOSAIC_II    54021.311000   R4m        11.9709000000   1.1794000000   1.1794000000
wdd8.061015_0904.286_11.diff.fits_CTIO4m_MOSAIC_II    54023.378900   R4m         9.1994000000   1.2161000000   1.2161000000
wdd8.061017_0747.155_11.diff.fits_CTIO4m_MOSAIC_II    54025.325800   R4m        10.4417000000   1.7171000000   1.7171000000
wdd8.061021_0844.170_11.diff.fits_CTIO4m_MOSAIC_II    54029.365400   R4m        10.2710000000   0.6434000000   0.6434000000
wdd8.061023_0810.155_11.diff.fits_CTIO4m_MOSAIC_II    54031.341600   R4m         9.5471000000   0.6064000000   0.6064000000
wdd8.061025_0805.141_11.diff.fits_CTIO4m_MOSAIC_II    54033.338000   R4m         6.5307000000   1.2009000000   1.2009000000
wdd8.061029_0821.126_11.diff.fits_CTIO4m_MOSAIC_II    54037.349200   R4m         5.2822000000   0.7106000000   0.7106000000
wdd8.061031_0744.130_11.diff.fits_CTIO4m_MOSAIC_II    54039.323900   R4m         5.2413000000   1.0030000000   1.0030000000
wdd8.061112_0337.086_11.diff.fits_CTIO4m_MOSAIC_II    54051.152300   R4m         2.7109000000   0.4739000000   0.4739000000
wdd8.061116_0629.110_11.diff.fits_CTIO4m_MOSAIC_II    54055.271600   R4m         1.3304000000   0.9667000000   0.9667000000
