objid   iau      type     field   amp   ra             dec             spectel                                          specdate                                                      snz      sndz    galz      galdz    mwebv
k374    ---      Gal      wdd9      1   02:27:34.292   -09:17:08.085   Magellan+IMACS,Magellan+LDSS2                    2004-12-09.143,2005-01-09.111                                 ---      ---     0.1423    0.0004   0.02785   
k396    2004hk   Ia?      waa2      5   23:27:04.384   -08:38:45.178   Magellan+IMACS                                   2004-12-10.096                                                0.271    0.006   ---       ---      0.02637   
k397    ---      Unk      wcc1      7   02:09:31.278   -03:34:21.189   Magellan+LDSS2,Magellan+LDSS2                    2004-12-16.115,2004-12-17.152                                 ---      ---     ---       ---      0.02564   
k402    ---      Unk      wbb5     12   01:12:54.197   +00:11:25.151   Keck+DEIMOS                                      2004-12-15.334                                                ---      ---     ---       ---      0.03139   
k411    ---      IaP      waa3     10   23:26:11.781   -08:50:17.355   Keck+LRIS                                        2004-12-12.244                                                0.562    0.004   ---       ---      0.03456   
k425    2004hl   Ia       wbb7      3   01:13:38.174   -00:27:39.045   Magellan+IMACS                                   2004-12-09.087                                                0.274    0.003   0.2702    0.0001   0.02922   
k426    ---      Gal      wdd8      4   02:30:51.203   -09:04:27.406   VLT+FORS1                                        2005-10-06.410                                                ---      ---     0.7572    0.0003   0.02568   
k429    2004hm   Ia       wdd3      6   02:28:03.110   -07:42:29.656   Magellan+IMACS                                   2004-12-09.181                                                0.171    0.006   0.1720    0.0006   0.03060   
k430    2004hn   Ia       wbb1      2   01:13:32.382   +00:37:15.455   Keck+LRIS                                        2004-12-12.311                                                0.576    0.007   ---       ---      0.02719   
k432    ---      Ia       waa2      3   23:26:46.120   -08:45:42.405   Keck+LRIS                                        2004-12-12.271                                                0.706    0.010   ---       ---      0.02786   
k437    2004ho   Gal      wcc3     11   02:06:16.041   -03:52:27.803   Magellan+IMACS                                   2004-12-10.160                                                ---      ---     0.2878    0.0001   0.02292   
k440    ---      Unk      wbb4      7   01:14:18.151   +00:29:02.397   Keck+LRIS                                        2004-12-12.365                                                ---      ---     ---       ---      0.02874   
k441    2004hq   Ia       wdd5      5   02:30:18.037   -08:22:25.045   Gemini+GMOS                                      2004-12-16.375                                                0.669    0.006   ---       ---      0.04245   
k442    ---      Unk      wcc3     10   02:06:19.076   -03:58:01.372   Keck+LRIS                                        2004-12-12.449                                                ---      ---     ---       ---      0.02295   
k443    2004hp   Unk      wcc1      4   02:09:35.522   -03:46:23.520   Keck+LRIS                                        2004-12-12.417                                                ---      ---     ---       ---      0.02244   
k444    ---      Gal      wdd5      2   02:30:00.763   -08:37:25.930   Magellan+LDSS2                                   2005-01-09.149                                                ---      ---     0.1921    0.0002   0.03426   
k448    2004hr   Ia       wbb6      2   01:08:48.336   +00:00:49.449   Magellan+LDSS2                                   2004-12-17.055                                                0.405    0.007   0.4081    0.0001   0.03243   
k453    ---      Gal      wdd8     13   02:31:36.957   -08:58:10.962   VLT+FORS1                                        2005-10-06.380                                                ---      ---     0.5418    0.0003   0.02825   
k459    ---      Unk      wcc7     10   02:10:28.886   -05:07:11.337   Magellan+LDSS2                                   2004-12-18.055                                                ---      ---     ---       ---      0.01991   
k467    ---      Ia?      wdd2     13   02:31:11.801   -07:47:34.124   Keck+DEIMOS                                      2004-12-15.414                                                0.607    0.008   ---       ---      0.02913   
k472    ---      Gal      wcc3     15   02:06:29.663   -03:33:08.079   Magellan+LDSS2                                   2005-01-10.089                                                ---      ---     0.1368    0.0002   0.02320   
k485    2004hs   Ia       wcc4      6   02:09:33.689   -04:13:03.931   Magellan+LDSS2                                   2004-12-18.125                                                0.417    0.003   ---       ---      0.02454   
k490    ---      Ia       wdd2      4   02:30:24.320   -07:53:20.935   Keck+DEIMOS                                      2004-12-15.377                                                0.709    0.001   0.7147    0.0009   0.03220   
k505    ---      Gal      wcc3     13   02:06:11.608   -03:44:17.379   Magellan+LDSS2,Magellan+LDSS3                    2005-01-09.061,2005-10-07.141                                 ---      ---     0.2405    0.0001   0.02248   
k509    ---      Gal      waa5     10   23:28:31.296   -09:25:39.880   Magellan+LDSS3                                   2005-10-07.106                                                ---      ---     0.2064    0.0001   0.03928   
m001    ---      Ia       wbb6      1   01:08:22.010   -00:05:46.654   Magellan+LDSS3,Keck+DEIMOS                       2005-10-05.131,2005-10-05.432                                 0.290    0.004   ---       ---      0.03584   
m002    ---      Gal      waa6     15   23:26:06.272   -09:05:22.919   VLT+FORS1                                        2005-10-04.090                                                ---      ---     0.3545    0.0002   0.03602   
m003    ---      IIP      wcc9     15   02:05:27.303   -04:42:53.777   VLT+FORS1                                        2005-10-04.229                                                ---      ---     0.2014    0.0003   0.02508   
m004    ---      Gal      wcc8      8   02:07:12.708   -04:37:27.898   VLT+FORS1                                        2005-10-06.147                                                ---      ---     0.3834    0.0004   0.02205   
m006    ---      Ib/c?    wdd8      1   02:30:27.266   -09:16:10.189   VLT+FORS1,Magellan+LDSS3,Keck+DEIMOS,Keck+LRIS   2005-10-04.382,2005-10-05.266,2005-10-06.603,2005-10-07.564   0.051    0.001   0.0572    0.0002   0.02980   
m010    ---      Ib       wdd8      9   02:31:46.238   -09:16:25.667   VLT+FORS1                                        2005-10-05.320                                                ---      ---     0.2156    0.0003   0.02735   
m011    ---      II       wcc5     16   02:08:06.229   -04:03:51.137   VLT+FORS1                                        2005-10-04.215                                                ---      ---     0.2045    0.0003   0.02310   
m012    ---      Gal      wdd3     16   02:29:13.485   -07:34:07.335   VLT+FORS1                                        2005-10-04.274                                                ---      ---     0.1138    0.0002   0.02954   
m014    ---      II       wcc5      3   02:07:12.911   -04:26:40.049   VLT+FORS1                                        2005-10-05.212                                                ---      ---     0.1988    0.0001   0.02264   
m022    ---      Ia       waa1     14   23:30:02.706   -08:33:36.539   VLT+FORS1                                        2005-10-05.094                                                0.238    0.004   ---       ---      0.03070   
m025    ---      Gal      waa6     11   23:25:11.601   -09:23:41.144   Keck+DEIMOS                                      2005-10-05.276                                                ---      ---     0.7008    0.0001   0.03662   
m026    ---      Ia       waa5     12   23:28:39.960   -09:19:49.986   Keck+DEIMOS,Keck+LRIS                            2005-10-05.347,2005-10-07.304                                 0.656    0.006   0.6548    0.0003   0.03742   
m027    ---      Ia       wbb6     12   01:09:15.013   +00:08:14.797   VLT+FORS1,Keck+LRIS                              2005-10-04.146,2005-10-07.406                                 0.285    0.003   0.2885    0.0002   0.02834   
m028    ---      Gal      wcc5     12   02:08:49.544   -04:23:12.189   Keck+DEIMOS                                      2005-10-06.509                                                ---      ---     0.6075    0.0001   0.02094   
m032    ---      Ia       waa7      2   23:29:35.343   -09:58:46.304   Magellan+LDSS3                                   2005-10-06.051                                                0.154    0.003   ---       ---      0.02911   
m034    ---      Ia       wdd3      2   02:27:50.324   -07:59:11.705   VLT+FORS1                                        2005-10-04.384                                                0.562    0.006   0.5577    0.0002   0.03114   
m035    ---      AGN      waa1      5   23:28:55.967   -08:38:18.364   VLT+FORS1,VLT+FORS1,VLT+FORS1                    2005-10-04.894,2005-10-05.958,2005-10-06.893                  1.497    0.009   ---       ---      0.03167   
m037    ---      Gal      wdd3     10   02:29:03.971   -07:59:43.697   VLT+FORS1                                        2005-10-05.253                                                ---      ---     0.2397    0.0002   0.02607   
m038    ---      II       wcc9      6   02:05:10.823   -04:47:13.982   VLT+FORS1                                        2005-10-06.283                                                ---      ---     0.0507    0.0004   0.02412   
m039    ---      Ia       wdd3      6   02:28:04.636   -07:42:44.373   VLT+FORS1,Keck+DEIMOS                            2005-10-05.377,2005-10-05.562                                 0.249    0.003   0.2481    0.0002   0.03069   
m040    ---      Ia       wdd3      6   02:27:30.201   -07:41:49.985   Keck+DEIMOS                                      2005-10-05.562                                                0.481    0.003   ---       ---      0.03237   
m041    ---      IIP      wcc7      7   02:09:49.784   -04:45:10.513   VLT+FORS1                                        2005-10-06.331                                                0.220    0.006   ---       ---      0.02231   
m042    ---      Gal      waa6      3   23:24:23.781   -09:22:12.082   VLT+FORS1,Keck+DEIMOS,Magellan+LDSS3             2005-10-04.035,2005-10-05.276,2005-10-07.049                  ---      ---     0.1254    0.0001   0.03098   
m043    ---      Ia       waa1      1   23:29:51.729   -08:56:46.084   VLT+FORS1                                        2005-10-05.122                                                0.266    0.003   0.2654    0.0010   0.02926   
m057    ---      Ia       wcc4     11   02:10:56.774   -04:27:29.962   VLT+FORS1                                        2005-10-06.188                                                0.183    0.004   0.1810    0.0002   0.01992   
m062    ---      Ia       wbb3     10   01:09:52.911   +00:36:19.019   Keck+DEIMOS                                      2005-10-06.476                                                0.316    0.004   0.3139    0.0001   0.02457   
m070    ---      Ia       wdd4      7   02:33:46.821   -08:08:26.888   Keck+DEIMOS                                      2005-10-05.613                                                0.214    0.003   0.2122    0.0002   0.03753   
m075    ---      Ia       waa3      7   23:24:42.288   -08:29:08.021   VLT+FORS1,Magellan+LDSS3                         2005-10-04.179,2005-10-05.069                                 0.101    0.003   0.0996    0.0002   0.03620   
m078    ---      Gal      wcc2      5   02:07:05.775   -03:41:28.385   VLT+FORS1,Keck+DEIMOS                            2005-10-05.169,2005-10-05.491                                 ---      ---     0.3951    0.0005   0.02350   
m082    ---      Unk      wcc2      4   02:07:13.757   -03:49:12.890   Keck+DEIMOS                                      2005-10-05.491                                                ---      ---     0.3472    0.0002   0.02425   
m087    ---      Ia       wdd4      3   02:33:37.004   -08:27:32.462   VLT+FORS1                                        2005-10-05.395                                                0.289    0.006   0.2870    0.0003   0.03448   
m095    ---      AGN      wdd2      3   02:30:26.427   -07:57:27.227   VLT+FORS1                                        2005-10-04.339                                                0.992    0.012   ---       ---      0.03305   
m111    ---      AGN      wcc7     11   02:10:36.083   -05:00:57.306   Keck+DEIMOS                                      2005-10-06.547                                                1.001    0.004   ---       ---      0.02014   
m135    ---      Gal      waa1      2   23:29:32.878   -08:51:20.312   VLT+FORS1,Keck+DEIMOS                            2005-10-06.232,2005-10-06.257                                 ---      ---     0.2887    0.0001   0.02885   
m138    ---      Ia       wbb3      3   01:08:56.340   +00:39:25.350   VLT+FORS1,Keck+DEIMOS,Keck+LRIS                  2005-10-06.256,2005-10-06.372,2005-10-07.495                  0.585    0.004   0.5877    0.0001   0.02758   
m139    ---      IIn      waa3      7   23:23:57.823   -08:27:08.205   Keck+DEIMOS                                      2005-10-06.300                                                ---      ---     0.2113    0.0001   0.03730   
m142    ---      Unk      wbb1     12   01:15:17.691   +00:47:17.513   Keck+DEIMOS                                      2005-10-06.447                                                ---      ---     ---       ---      0.03129   
m158    ---      Ia       waa6      3   23:24:03.540   -09:23:18.267   Magellan+LDSS3,Magellan+LDSS3,Gemini+GMOS        2005-10-28.056,2005-10-29.087,2005-10-30.167                  0.461    0.006   ---       ---      0.03056   
m161    ---      Gal      wdd9      4   02:28:23.645   -09:03:12.171   Magellan+LDSS3                                   2005-10-28.149                                                ---      ---     0.2304    0.0001   0.02661   
m166    ---      AGN      waa1      5   23:29:20.817   -08:36:48.770   Gemini+GMOS                                      2005-10-28.354                                                0.304    0.002   ---       ---      0.02623   
m193    ---      Ia       wdd3     14   02:28:52.199   -07:42:09.763   Magellan+LDSS3,Magellan+LDSS3                    2005-10-28.104,2005-10-29.135                                 0.336    0.006   0.3304    0.0002   0.02804   
m219    ---      Gal      wdd4      5   02:34:28.090   -08:15:19.399   Keck+DEIMOS                                      2005-11-08.310                                                ---      ---     0.3104    0.0003   0.03676   
m226    ---      Ia       wcc9     16   02:06:03.688   -04:39:59.080   Gemini+GMOS                                      2005-10-31.274                                                0.674    0.008   0.6739    0.0013   0.02413   
n244    ---      Unk      wdd3      7   02:28:11.797   -07:36:29.340   Keck+LRIS,Magellan+IMACS                         2005-12-05.341,2006-01-07.161                                 ---      ---     ---       ---      0.02938   
n246    ---      Ia?      wbb7     11   01:14:33.074   -00:26:23.184   VLT+FORS1                                        2005-12-02.191                                                0.503    0.005   0.7055    0.0005   0.03047   
n255    ---      Gal      wcc7      5   02:09:05.303   -04:53:36.615   Magellan+IMACS                                   2006-01-07.099                                                ---      ---     0.1369    0.0002   0.02116   
n256    ---      Ia       wdd3      5   02:28:09.012   -07:47:49.616   VLT+FORS1                                        2005-12-02.277                                                0.620    0.007   ---       ---      0.02975   
n258    ---      Ia       wcc5      4   02:06:42.346   -04:22:36.982   VLT+FORS1                                        2005-12-02.232                                                0.525    0.008   0.5191    0.0002   0.02257   
n260    ---      AGN      wcc8      2   02:06:36.320   -05:06:45.964   Gemini+GMOS                                      2005-12-02.131                                                2.013    0.006   ---       ---      0.02087   
n261    ---      AGN      wbb7     16   01:14:59.513   -00:05:55.501   Gemini+GMOS                                      2005-11-30.326                                                3.540    0.040   ---       ---      0.03026   
n263    ---      Ia       wcc9      4   02:05:14.946   -04:56:39.087   VLT+FORS1                                        2005-12-02.211                                                0.365    0.003   ---       ---      0.02569   
n268    ---      Gal      wdd6     15   02:29:19.971   -08:12:02.467   VLT+FORS1                                        2005-12-04.252                                                ---      ---     0.2791    0.0004   0.03090   
n271    ---      IIP      wbb5     16   01:13:06.506   +00:30:04.835   Keck+DEIMOS                                      2005-12-02.376                                                0.236    0.003   ---       ---      0.03371   
n278    ---      Ia       waa5     11   23:28:17.550   -09:23:12.360   VLT+FORS1                                        2005-12-03.040                                                0.308    0.006   0.3037    0.0002   0.03983   
n284    ---      AGN      waa1      8   23:29:38.374   -08:21:32.166   Gemini+GMOS                                      2005-11-29.298                                                1.990    0.008   ---       ---      0.02812   
n285    ---      Ia       waa3      8   23:23:51.357   -08:23:18.503   VLT+FORS1                                        2005-12-04.098                                                0.531    0.009   0.5325    0.0001   0.03738   
n295    ---      AGN      waa3      3   23:24:03.280   -08:44:36.907   Gemini+GMOS,Gemini+GMOS                          2005-11-29.083,2005-11-30.084                                 1.235    0.007   ---       ---      0.03854   
n312    ---      Gal      wdd9     14   02:28:45.104   -08:55:47.232   Keck+DEIMOS                                      2005-12-02.432                                                ---      ---     0.2860    0.0002   0.02937   
n322    ---      Ia       wdd9     12   02:29:00.487   -09:02:52.992   Keck+LRIS                                        2005-12-04.397                                                0.753    0.006   ---       ---      0.02713   
n326    ---      Ia       waa1     10   23:29:58.590   -08:53:12.468   VLT+FORS1                                        2005-12-02.067                                                0.267    0.006   0.2637    0.0002   0.02986   
n346    ---      IIn      waa1      3   23:28:58.301   -08:46:52.839   Keck+LRIS                                        2005-12-04.246                                                ---      ---     0.2661    0.0002   0.02994   
n368    ---      Ia       waa7      9   23:30:32.013   -10:03:22.140   VLT+FORS1                                        2005-12-03.118                                                0.342    0.006   0.3419    0.0002   0.02315   
n395    ---      Gal      wcc8      7   02:07:32.469   -04:42:10.706   Keck+DEIMOS                                      2005-12-03.414                                                ---      ---     0.4617    0.0002   0.02208   
n400    ---      Ia       wbb8     12   01:13:13.258   -00:23:25.853   Keck+LRIS                                        2005-12-04.319                                                0.421    0.007   0.4250    0.0001   0.03102   
n404    ---      Ia       wdd8     14   02:31:31.433   -08:55:11.512   VLT+FORS1                                        2005-12-03.254                                                0.211    0.005   ---       ---      0.02875   
n406    ---      Ia?      wdd8     16   02:31:19.601   -08:45:09.787   VLT+FORS1,VLT+FORS1                              2005-12-04.205,2005-12-05.139                                 0.7700   0.01    ---       ---      0.02933   
n408    ---      Gal      wbb9     16   01:09:49.036   -00:07:42.929   Keck+LRIS                                        2005-12-05.221                                                ---      ---     0.9198    0.0003   0.03468   
p415    ---      Gal      waa3     16   23:26:02.504   -08:21:10.846   VLT+FORS1                                        2005-12-04.052                                                ---      ---     0.3434    0.0002   0.02900   
p425    ---      Ia       waa1     14   23:29:56.189   -08:34:24.400   VLT+FORS1,Keck+DEIMOS                            2005-12-02.100,2005-12-03.273                                 0.456    0.004   0.4583    0.0001   0.03095   
p429    ---      Ia?      waa3     13   23:26:02.216   -08:35:47.978   VLT+FORS1,Keck+DEIMOS                            2005-12-02.141,2005-12-03.225                                 ---      ---     0.5482    0.0002   0.02983   
p434    ---      Ia       wbb5     12   01:12:40.253   +00:14:56.591   VLT+FORS1                                        2005-12-04.158                                                ---      ---     0.3383    0.0004   0.03441   
p444    ---      Ia       wcc2      5   02:06:36.165   -03:41:33.614   Keck+DEIMOS                                      2005-12-03.373                                                0.633    0.004   ---       ---      0.02423   
p445    ---      Ia       wbb1      4   01:13:14.547   +00:48:47.659   Keck+DEIMOS                                      2005-12-03.323                                                0.816    0.002   0.8069    0.0002   0.02458   
p454    ---      Ia       wcc2     15   02:08:32.461   -03:33:34.241   VLT+FORS1                                        2005-12-03.167                                                0.691    0.008   ---       ---      0.02282   
p455    ---      Ia       wcc4     15   02:11:00.014   -04:09:37.601   VLT+FORS1                                        2005-12-03.255                                                0.285    0.006   0.2974    0.0002   0.02023   
p458    ---      Unk      waa3     10   23:25:30.268   -08:52:04.940   Keck+LRIS                                        2005-12-05.197                                                ---      ---     ---       ---      0.03947   
p459    ---      Ia       wcc4     10   02:10:20.082   -04:33:13.440   VLT+FORS1                                        2005-12-03.210                                                0.702    0.004   ---       ---      0.02173   
p461    ---      Gal      waa5      6   23:26:42.317   -09:07:28.646   VLT+FORS1                                        2005-12-03.066                                                ---      ---     0.4075    0.0005   0.03451   
p520    ---      Ia?      wcc2     12   02:08:09.339   -03:48:04.967   Magellan+LDSS3,Magellan+LDSS3                    2005-12-27.147,2005-12-28.094                                 ---      ---     ---       ---      0.02298   
p521    ---      Gal      wcc7     14   02:10:17.525   -04:46:52.214   Magellan+LDSS3                                   2005-12-27.085                                                ---      ---     0.3053    0.0002   0.02171   
p524    ---      Ia       wdd8      6   02:30:10.156   -08:52:50.856   Magellan+LDSS3                                   2005-12-28.160                                                0.516    0.004   ---       ---      0.03528   
p527    ---      Ia?      wcc2     15   02:08:10.469   -03:32:17.637   Magellan+LDSS3,Keck+DEIMOS                       2005-12-29.142,2006-01-01.371                                 ---      ---     0.4351    0.0002   0.02451   
p528    ---      Ia       wcc2      8   02:07:04.661   -03:28:04.268   Magellan+LDSS3,Keck+DEIMOS                       2005-12-29.092,2006-01-01.348                                 0.780    0.009   0.7812    0.0001   0.02355   
p534    ---      Ia       wcc3      4   02:04:56.094   -03:49:03.645   Keck+DEIMOS,Gemini+GMOS                          2006-01-01.300,2006-01-03.072                                 0.610    0.005   0.6202    0.0011   0.02438   
p535    ---      Unk      wcc5     13   02:08:28.123   -04:16:34.893   Magellan+IMACS                                   2006-01-07.074                                                ---      ---     ---       ---      0.02216   
q002    ---      Ia       wcc3      6   02:05:12.945   -03:39:00.723   Gemini+GMOS,VLT+FORS1                            2006-09-28.349,2006-10-25.242                                 0.350    0.003   0.3469    0.0002   0.02326   
q006    ---      Ia?      wcc1     10   02:10:52.276   -03:57:39.374   ---                                              ---                                                           0.290    0.010   ---       ---      0.02208   
q007    2006lw   Ia       wcc2     10   02:08:33.670   -03:57:12.888   VLT+FORS1                                        2006-10-25.130                                                0.210    0.004   0.2135    0.0002   0.02401   
q008    2006ly   Ia?      wdd4     10   02:34:42.381   -08:30:39.885   VLT+FORS1                                        2006-10-25.314                                                0.287    0.010   0.2913    0.0002   0.03191   
q014    2006lx   Ia       wdd5      8   02:30:10.389   -08:06:54.094   VLT+FORS1,VLT+FORS1                              2006-10-24.369,2006-10-25.379                                 0.270    0.003   0.2693    0.0002   0.03147   
q018    ---      Ia?      wdd5     14   02:31:39.017   -08:18:05.170   ---                                              ---                                                           0.270    0.010   ---       ---      0.03499   
q021    ---      Ia?      wdd4      7   02:33:43.919   -08:05:50.050   ---                                              ---                                                           0.360    0.010   ---       ---      0.03818   
q022    ---      Ia?      wbb5      9   01:12:03.875   -00:01:29.045   ---                                              ---                                                           0.226    0.010   ---       ---      0.03038   
q031    ---      Gal      wbb6      2   01:08:42.081   -00:00:57.201   VLT+FORS1                                        2006-10-25.078                                                ---      ---     0.2697    0.0002   0.03289   
q036    2006lz   II-pec   wdd6      8   02:27:40.742   -08:10:08.182   VLT+FORS1                                        2006-10-25.354                                                0.179    0.006   ---       ---      0.02762   
q048    2006ma   Ia       wbb7     11   01:15:11.657   -00:28:03.151   VLT+FORS1                                        2006-10-24.090                                                0.440    0.010   0.4371    0.0007   0.03018   
q049    2006mc   Ia       wdd8     11   02:32:02.611   -09:07:21.181   VLT+FORS1                                        2006-10-23.344                                                0.421    0.005   0.4204    0.0001   0.02963   
q054    2006mb   Ia       wdd8      5   02:30:54.298   -08:57:42.078   VLT+FORS1                                        2006-10-23.292                                                0.331    0.005   0.3275    0.0003   0.02705   
q060    ---      IIP      wbb1     11   01:14:48.945   +00:44:47.120   Magellan+LDSS3,VLT+FORS1                         2006-10-20.153,2006-10-23.026                                 ---      ---     0.1441    0.0002   0.03191   
q061    2006me   Ia       wbb4     11   01:14:47.189   +00:10:13.284   VLT+FORS1                                        2006-10-23.074                                                0.302    0.005   0.2996    0.0001   0.03176   
q067    2006mf   Ia       wdd2      3   02:30:37.318   -07:57:04.538   VLT+FORS1                                        2006-10-24.295                                                0.187    0.007   0.1824    0.0003   0.03380   
q069    2006md   Ia?      wbb5      6   01:11:31.492   +00:24:34.163   Magellan+LDSS3,VLT+FORS1                         2006-10-20.175,2006-10-24.037                                 0.262    0.010   0.2470    0.0004   0.02595   
q070    ---      Gal      wdd6      6   02:28:04.925   -08:15:40.481   VLT+FORS1                                        2006-10-23.244                                                ---      ---     0.1256    0.0003   0.02960   
q075    2006mg   Ia       wdd2      9   02:31:37.750   -08:06:40.098   VLT+FORS1                                        2006-10-24.314                                                0.427    0.005   ---       ---      0.04023   
q102    2006mh   Ia?      wbb4     14   01:15:13.398   +00:23:57.312   VLT+FORS1                                        2006-10-24.143                                                0.435    0.010   0.4359    0.0008   0.02898   
q106    2006mk   Ia       wdd5      1   02:30:16.911   -08:40:47.345   VLT+FORS1,VLT+FORS1                              2006-10-23.205,2006-11-24.281                                 0.477    0.004   0.4754    0.0001   0.03976   
q107    2006mj   Ia       wcc1      8   02:09:03.042   -03:28:27.832   VLT+FORS1                                        2006-10-24.249                                                0.650    0.009   0.6514    0.0001   0.02406   
q108    2006mi   Ia       wcc3      9   02:05:55.040   -04:00:53.216   VLT+FORS1                                        2006-10-25.193                                                0.622    0.005   0.6231    0.0001   0.02476   
q112    2006ml   Ia       wbb9      3   01:08:43.977   -00:31:36.593   VLT+FORS1                                        2006-10-24.196                                                0.637    0.003   ---       ---      0.03642   
q114    2006mm   Ia       wbb6      6   01:08:48.662   +00:17:22.315   VLT+FORS1                                        2006-10-23.141                                                0.701    0.011   0.6875    0.0002   0.02730   
q125    2006mn   Ia       wbb6      1   01:07:48.392   -00:06:35.454   VLT+FORS1                                        2006-10-25.025                                                0.347    0.004   0.3486    0.0004   0.03112   
q150    ---      Unk      wdd5     16   02:31:18.622   -08:07:11.563   VLT+FORS1                                        2006-10-25.270                                                ---      ---     ---       ---      0.03639   
r184    2006sa   IIP      wcc9      6   02:05:14.944   -04:48:51.685   Magellan+IMACS                                   2006-11-24.093                                                ---      ---     0.1609    0.0002   0.02442   
r185    ---      Ia       wbb8      3   01:11:48.238   -00:29:49.579   Keck+LRIS                                        2006-11-23.291                                                0.179    0.006   0.1800    0.0003   0.02423   
r186    2006sb   Ia       wcc5      8   02:06:30.312   -04:05:30.553   Magellan+IMACS                                   2006-11-24.219                                                0.313    0.004   0.3126    0.0001   0.02101   
r190    2006sc   Ia       wcc7     15   02:10:10.226   -04:44:12.545   Magellan+IMACS                                   2006-11-24.099                                                0.355    0.007   0.3568    0.0002   0.02261   
r192    ---      Gal      wcc9     13   02:05:23.959   -04:52:16.485   Keck+DEIMOS                                      2006-11-24.380                                                ---      ---     0.6336    0.0001   0.02426   
r193    2006sm   Ia       wdd4      2   02:33:29.487   -08:30:11.879   Keck+LRIS                                        2006-11-23.422                                                0.609    0.005   ---       ---      0.03296   
r195    2006si   Ia       wcc1      5   02:09:51.320   -03:43:32.520   VLT+FORS1                                        2006-11-24.137                                                0.542    0.008   0.5424    0.0001   0.02335   
r196    2006sh   IIn      wcc1      5   02:09:11.064   -03:44:42.104   Keck+DEIMOS                                      2006-11-24.409                                                0.260    0.010   0.2639    0.0001   0.02275   
r199    2006sl   Ia?      wdd7      6   02:32:15.952   -08:48:34.335   Keck+LRIS                                        2006-11-23.399                                                0.410    0.010   0.4180    0.0002   0.02808   
r200    2006sd   Ia       wbb1      7   01:14:24.151   +01:02:39.488   VLT+FORS1                                        2006-11-24.028                                                0.283    0.007   ---       ---      0.03124   
r204    ---      Gal      wcc1      7   02:09:47.393   -03:34:25.676   VLT+FORS1                                        2006-11-24.225                                                ---      ---     0.4212    0.0001   0.02441   
r205    ---      IIn      wcc1      7   02:09:37.948   -03:31:20.238   Magellan+IMACS                                   2006-11-25.035                                                ---      ---     0.0517    0.0004   0.02574   
r206    2006se   Ia       wbb4     11   01:14:48.050   +00:06:39.370   Keck+LRIS                                        2006-11-23.260                                                0.610    0.010   0.6108    0.0003   0.03126   
r207    2006sf   Ia       wcc2     11   02:08:11.658   -03:51:40.230   Keck+DEIMOS                                      2006-11-24.437                                                0.560    0.010   0.5616    0.0006   0.02335   
r209    2006sg   Ia       wcc2     12   02:08:13.041   -03:46:21.937   Magellan+IMACS                                   2006-11-24.183                                                0.428    0.003   0.4451    0.0002   0.02290   
r212    2006sj   Ia       wcc1     15   02:10:22.419   -03:33:09.269   VLT+FORS1                                        2006-11-24.070                                                ---      ---     0.6535    0.0004   0.02468   
r213    2006sk   Ia       wcc4     16   02:10:33.800   -04:04:03.845   Magellan+IMACS                                   2006-11-25.134                                                0.321    0.008   0.3270    0.0001   0.02228   
r215    ---      Unk      wcc7      4   02:08:55.716   -04:59:46.063   VLT+FORS1                                        2006-11-24.171                                                ---      ---     ---       ---      0.02095   
r225    2006sn   Ia       wcc9     13   02:06:18.251   -04:51:33.148   VLT+FORS1,Keck+DEIMOS                            2006-11-24.056,2006-11-24.465                                 0.415    0.006   0.4149    0.0001   0.02228   
r230    2006so   Ia       wdd7     12   02:33:49.152   -08:59:15.768   Magellan+IMACS                                   2006-11-25.187                                                0.259    0.005   ---       ---      0.03030   
r311    2006sp   Ia       wbb8      3   01:10:55.171   -00:27:52.289   Gemini+GMOS                                      2006-11-27.117                                                ---      ---     0.7989    0.0002   0.02510   
r314    ---      Gal      wcc4      5   02:09:59.003   -04:18:53.926   Magellan+LDSS3,VLT+FORS1                         2006-12-14.087,2006-12-21.199                                 ---      ---     0.1092    0.0003   0.02445   
r317    ---      Ia       wbb1      5   01:13:24.658   +00:51:27.757   Gemini+GMOS,Keck+DEIMOS                          2006-12-20.328,2006-12-23.273                                 0.736    0.005   0.3361    0.0004   0.02550   
r318    2006sq   Ia       wcc2      2   02:07:11.267   -03:57:07.942   Magellan+IMACS,Gemini+GMOS,Gemini+GMOS           2006-11-25.078,2007-01-12.078,2007-01-13.082                  0.222    0.002   ---       ---      0.02526   
r322    2006tg   Ia       wcc9      8   02:04:14.168   -04:40:18.623   Gemini+GMOS                                      2006-12-21.303                                                0.521    0.010   0.5138    0.0002   0.02531   
r328    2006th   II       waa1      1   23:29:00.954   -08:54:04.953   VLT+FORS1                                        2006-12-20.035                                                ---      ---     0.1463    0.0002   0.03533   
r329    ---      Gal      wcc2     16   02:07:48.017   -03:29:12.632   Magellan+LDSS3                                   2006-12-14.114                                                ---      ---     0.6209    0.0001   0.02405   
r331    ---      Gal      waa1     14   23:30:49.841   -08:32:37.728   Magellan+LDSS3                                   2006-12-14.060                                                ---      ---     0.4225    0.0003   0.02973   
r334    2006ti   II       waa1      3   23:29:13.133   -08:47:57.762   VLT+FORS1                                        2006-12-21.043                                                ---      ---     0.2051    0.0004   0.02897   
s340    2006tj   Ia       wbb3      4   01:09:23.284   +00:42:42.313   VLT+FORS1                                        2006-12-20.099                                                0.528    0.006   ---       ---      0.02954   
