objid   iau      type     field   amp   ra             dec             spectel                                          specdate                                                      snz      sndz    galz      galdz    mwebv
e106    ---      Unk      wbb6     11   01:09:45.163   +00:02:02.740   Magellan+LDSS2                                   2003-11-20.140                                                ---      ---     0.3219    0.0009   0.03106   
e108    2003km   Ia       wdd8      4   02:30:09.001   -09:04:35.621   VLT+FORS1                                        2003-11-21.210                                                0.473    0.009   ---       ---      0.03216   
e118    ---      AGN      waa5     11   23:27:48.448   -09:22:53.295   VLT+FORS1                                        2003-11-22.030                                                0.552    0.007   ---       ---      0.03665   
e119    ---      Gal      wbb1      7   01:14:16.912   +01:03:06.427   VLT+FORS1                                        2003-11-23.190                                                ---      ---     0.5584    0.0002   0.03121   
e120    ---      Gal      waa5      9   23:28:37.492   -09:30:30.569   Magellan+LDSS2                                   2003-11-22.050                                                ---      ---     0.2974    0.0002   0.03937   
e132    2003kn   Ia       wcc1      7   02:09:15.549   -03:35:41.010   VLT+FORS1                                        2003-11-22.080                                                0.235    0.006   0.2443    0.0003   0.02585   
e133    ---      Gal      wcc1      7   02:09:17.662   -03:35:41.255   VLT+FORS1                                        2003-11-22.080                                                ---      ---     0.2450    0.0003   0.02596   
e136    2003ko   Ia       wcc1     12   02:11:06.495   -03:47:55.899   VLT+FORS1                                        2003-11-22.130                                                0.348    0.006   0.3602    0.0008   0.02329   
e138    2003kt   Ia       wdd4      1   02:33:46.992   -08:36:22.141   VLT+FORS1                                        2003-11-23.100                                                0.608    0.006   ---       ---      0.03294   
e140    2003kq   IaT      wdd5     15   02:31:04.089   -08:10:56.603   VLT+FORS1                                        2003-11-22.290                                                0.614    0.006   0.6060    0.0002   0.03341   
e141    ---      Ib       wdd7      2   02:32:30.272   -09:05:53.662   Magellan+LDSS2                                   2003-11-22.160                                                ---      ---     0.0982    0.0001   0.02972   
e143    ---      Unk      wdd7      3   02:33:11.715   -09:03:32.183   VLT+FORS1                                        2003-11-23.150                                                ---      ---     0.1107    0.0001   0.02632   
e147    2003kp   Ia       wdd5      9   02:31:02.652   -08:39:50.909   VLT+FORS1                                        2003-11-22.180                                                0.647    0.008   ---       ---      0.03419   
e148    2003kr   Ia       wdd5     10   02:31:20.960   -08:36:14.195   VLT+FORS1                                        2003-11-22.230                                                0.431    0.006   0.427     0.0010   0.03281   
e149    2003ks   Ia       wdd5     10   02:31:34.528   -08:36:46.462   VLT+FORS1                                        2003-11-23.280                                                0.498    0.008   ---       ---      0.03166   
