#       objid       gall       galb      mwebv       zhel       zcmb                  ra         dec
#        p520 164.415973089 -60.3391588967    0.02298        ---        ---    02:08:09.339   -03:48:04.967
# *************************************************************************************************
# This file created 
#       by     gnarayan
#       using  W_nn2.py p520.W6yr.nn2.lc -s --visualize --prune --adjusterrors --zplimit=29  --zeroMJDmax=53525 --zeroMJDmin=53900
#       and    clean_Wstd.py
#       on     herophysics
#       at     2013/04/16 20:10:04 EDT
# Redshift information 
#       zgal   =        --- 
#       zsn    =        --- 
# Redshifts are reported in the heliocentric frame
# Flux, Fluxerr_lo, Fluxerr_hi normalized to a zeropoint of 25.
# *************************************************************************************************
#Observation                                                   MJD   Passband            Flux     Fluxerr_lo     Fluxerr_hi
wcc2.040920_0411.043_12.diff.fits_CTIO4m_MOSAIC_II    53268.175100   R4m        -0.7525000000   0.7136000000   0.7136000000
wcc2.041017_0209.1042_12.diff.fits_CTIO4m_MOSAIC_II   53295.090900   R4m        -0.6478000000   0.5412000000   0.5412000000
wcc2.041021_0220.066_12.diff.fits_CTIO4m_MOSAIC_II    53299.098600   R4m        -0.7294000000   0.4918000000   0.4918000000
wcc2.041112_0222.174_12.diff.fits_CTIO4m_MOSAIC_II    53321.100100   R4m         0.8154000000   0.4306000000   0.4306000000
wcc2.041116_0222.084_12.diff.fits_CTIO4m_MOSAIC_II    53325.100000   R4m        -0.7224000000   0.3774000000   0.3774000000
wcc2.041120_0240.081_12.diff.fits_CTIO4m_MOSAIC_II    53329.112300   R4m         0.0324000000   0.5352000000   0.5352000000
wcc2.041205_0305.075_12.diff.fits_CTIO4m_MOSAIC_II    53344.130000   R4m        -0.8361000000   0.5380000000   0.5380000000
wcc2.041209_0233.072_12.diff.fits_CTIO4m_MOSAIC_II    53348.107800   R4m        -0.0378000000   0.3694000000   0.3694000000
wcc2.050928_0251.092_12.diff.fits_CTIO4m_MOSAIC_II    53641.119700   R4m         1.0417000000   0.7000000000   0.7000000000
wcc2.051006_0232.081_12.diff.fits_CTIO4m_MOSAIC_II    53649.107200   R4m        -0.4618000000   1.0134000000   1.0134000000
wcc2.051108_0250.074_12.diff.fits_CTIO4m_MOSAIC_II    53682.119600   R4m         0.3233000000   0.8406000000   0.8406000000
wcc2.051124_0222.067_12.diff.fits_CTIO4m_MOSAIC_II    53698.100200   R4m        -0.8880000000   0.6983000000   0.6983000000
wcc2.051130_0251.071_12.diff.fits_CTIO4m_MOSAIC_II    53704.120300   R4m         0.3502000000   0.3485000000   0.3485000000
wcc2.051202_0236.074_12.diff.fits_CTIO4m_MOSAIC_II    53706.110000   R4m         0.3033000000   0.3454000000   0.3454000000
wcc2.051204_0247.029_12.diff.fits_CTIO4m_MOSAIC_II    53708.117700   R4m         1.3467000000   0.3950000000   0.3950000000
wcc2.051208_0253.070_12.diff.fits_CTIO4m_MOSAIC_II    53712.122000   R4m         1.4039000000   0.4590000000   0.4590000000
wcc2.051210_0054.048_12.diff.fits_CTIO4m_MOSAIC_II    53714.038400   R4m         3.5072000000   0.7888000000   0.7888000000
wcc2.051224_0221.066_12.diff.fits_CTIO4m_MOSAIC_II    53728.099300   R4m         5.4160000000   0.5385000000   0.5385000000
wcc2.051227_0234.057_12.diff.fits_CTIO4m_MOSAIC_II    53731.107700   R4m         4.8749000000   0.4928000000   0.4928000000
wcc2.051229_0132.080_12.diff.fits_CTIO4m_MOSAIC_II    53733.065400   R4m         5.5069000000   0.3551000000   0.3551000000
wcc2.060103_0140.068_12.diff.fits_CTIO4m_MOSAIC_II    53738.071000   R4m         5.0556000000   0.3739000000   0.3739000000
wcc2.060916_0630.141_12.diff.fits_CTIO4m_MOSAIC_II    53994.271800   R4m        -0.1157000000   0.3702000000   0.3702000000
wcc2.060925_0634.390_12.diff.fits_CTIO4m_MOSAIC_II    54003.274900   R4m         1.0674000000   0.4075000000   0.4075000000
wcc2.060928_0644.445_12.diff.fits_CTIO4m_MOSAIC_II    54006.282200   R4m        -0.0380000000   0.4821000000   0.4821000000
wcc2.061015_0628.263_12.diff.fits_CTIO4m_MOSAIC_II    54023.270600   R4m         1.1408000000   0.4068000000   0.4068000000
wcc2.061019_0704.115_12.diff.fits_CTIO4m_MOSAIC_II    54027.295700   R4m         0.3474000000   0.5103000000   0.5103000000
wcc2.061023_0725.148_12.diff.fits_CTIO4m_MOSAIC_II    54031.310200   R4m         0.6205000000   0.4785000000   0.4785000000
wcc2.061114_0208.092_12.diff.fits_CTIO4m_MOSAIC_II    54053.090100   R4m         0.0665000000   0.4784000000   0.4784000000
wcc2.061124_0537.111_12.diff.fits_CTIO4m_MOSAIC_II    54063.235000   R4m        -0.0181000000   0.4542000000   0.4542000000
wcc2.061126_0526.104_12.diff.fits_CTIO4m_MOSAIC_II    54065.227400   R4m         0.2538000000   0.5242000000   0.5242000000
wcc2.061128_0532.120_12.diff.fits_CTIO4m_MOSAIC_II    54067.231600   R4m         0.4465000000   0.6422000000   0.6422000000
wcc2.061213_0240.092_12.diff.fits_CTIO4m_MOSAIC_II    54082.112500   R4m        -0.4694000000   0.5166000000   0.5166000000
wcc2.061217_0216.106_12.diff.fits_CTIO4m_MOSAIC_II    54086.095600   R4m         0.5439000000   0.4555000000   0.4555000000
wcc2.061219_0244.070_12.diff.fits_CTIO4m_MOSAIC_II    54088.115100   R4m        -0.5249000000   0.4088000000   0.4088000000
wcc2.061221_0158.101_12.diff.fits_CTIO4m_MOSAIC_II    54090.084700   R4m        -0.1021000000   0.3433000000   0.3433000000
wcc2.061223_0240.063_12.diff.fits_CTIO4m_MOSAIC_II    54092.112700   R4m        -0.0218000000   0.3577000000   0.3577000000
wcc2.061225_0238.249_12.diff.fits_CTIO4m_MOSAIC_II    54094.111300   R4m        -0.1942000000   0.4436000000   0.4436000000
wcc2.061226_0221.379_12.diff.fits_CTIO4m_MOSAIC_II    54095.098900   R4m        -0.1159000000   0.7694000000   0.7694000000
wcc2.070111_0226.065_12.diff.fits_CTIO4m_MOSAIC_II    54111.102100   R4m        -0.2012000000   0.4792000000   0.4792000000
wcc2.070113_0205.110_12.diff.fits_CTIO4m_MOSAIC_II    54113.088600   R4m         0.2289000000   0.6673000000   0.6673000000
wcc2.070908_0727.060_12.diff.fits_CTIO4m_MOSAIC_II    54351.311900   R4m         1.0350000000   0.4069000000   0.4069000000
wcc2.070911_0737.058_12.diff.fits_CTIO4m_MOSAIC_II    54354.318800   R4m         0.0472000000   0.5664000000   0.5664000000
wcc2.071004_0629.046_12.diff.fits_CTIO4m_MOSAIC_II    54377.271600   R4m        -0.4692000000   0.4997000000   0.4997000000
wcc2.071006_0651.076_12.diff.fits_CTIO4m_MOSAIC_II    54379.287300   R4m        -0.1255000000   0.9425000000   0.9425000000
wcc2.071008_0604.050_12.diff.fits_CTIO4m_MOSAIC_II    54381.254200   R4m        -0.4478000000   0.4431000000   0.4431000000
wcc2.071010_0743.053_12.diff.fits_CTIO4m_MOSAIC_II    54383.323300   R4m        -0.2937000000   0.3950000000   0.3950000000
wcc2.071020_0621.054_12.diff.fits_CTIO4m_MOSAIC_II    54393.266400   R4m        -0.7173000000   0.5328000000   0.5328000000
wcc2.071103_0554.009_12.diff.fits_CTIO4m_MOSAIC_II    54407.248200   R4m         0.1747000000   0.6658000000   0.6658000000
wcc2.071107_0619.065_12.diff.fits_CTIO4m_MOSAIC_II    54411.265400   R4m         0.0759000000   0.4715000000   0.4715000000
