#       objid       gall       galb      mwebv       zhel       zcmb                  ra         dec
#        s374 180.809468297 -59.1739721399    0.02854     0.7570     0.7563    02:35:34.225   -08:34:22.069
# *************************************************************************************************
# This file created 
#       by     gnarayan
#       using  W_nn2.py s374.W6yr.nn2.lc -s --visualize --prune --adjusterrors --zplimit=29  --zeroMJDmax=53900 --zeroMJDmin=54250
#       and    clean_Wstd.py
#       on     herophysics
#       at     2013/04/01 13:56:27 EDT
# Redshift information 
#       zgal   =        --- 
#       zsn    =     0.7570 
# Redshifts are reported in the heliocentric frame
# Flux, Fluxerr_lo, Fluxerr_hi normalized to a zeropoint of 25.
# *************************************************************************************************
#Observation                                                  MJD   Passband            Flux     Fluxerr_lo     Fluxerr_hi
wdd4.050928_0340.099_9.diff.fits_CTIO4m_MOSAIC_II    53641.154500   R4m        -0.0022000000   0.5742000000   0.5742000000
wdd4.051006_0343.091_9.diff.fits_CTIO4m_MOSAIC_II    53649.155900   R4m         1.4290000000   1.4203000000   1.4203000000
wdd4.051009_0319.079_9.diff.fits_CTIO4m_MOSAIC_II    53652.140000   R4m        -0.3150000000   0.5653000000   0.5653000000
wdd4.051011_0318.091_9.diff.fits_CTIO4m_MOSAIC_II    53654.138900   R4m         1.1227000000   0.5368000000   0.5368000000
wdd4.051108_0337.082_9.diff.fits_CTIO4m_MOSAIC_II    53682.152100   R4m        -1.0681000000   0.8672000000   0.8672000000
wdd4.051124_0312.074_9.diff.fits_CTIO4m_MOSAIC_II    53698.134400   R4m         0.5422000000   0.9117000000   0.9117000000
wdd4.051126_0612.283_9.diff.fits_CTIO4m_MOSAIC_II    53700.259400   R4m         0.0210000000   0.4099000000   0.4099000000
wdd4.051130_0340.078_9.diff.fits_CTIO4m_MOSAIC_II    53704.154300   R4m         0.1286000000   0.2933000000   0.2933000000
wdd4.060916_0826.157_9.diff.fits_CTIO4m_MOSAIC_II    53994.353200   R4m         0.0621000000   0.4606000000   0.4606000000
wdd4.060925_0810.404_9.diff.fits_CTIO4m_MOSAIC_II    54003.341900   R4m         0.4300000000   0.5989000000   0.5989000000
wdd4.060928_0620.442_9.diff.fits_CTIO4m_MOSAIC_II    54006.265700   R4m        -0.2640000000   0.4172000000   0.4172000000
wdd4.061013_0831.125_9.diff.fits_CTIO4m_MOSAIC_II    54021.356400   R4m        -1.1191000000   1.2452000000   1.2452000000
wdd4.061015_0725.272_9.diff.fits_CTIO4m_MOSAIC_II    54023.314900   R4m         0.3721000000   0.8900000000   0.8900000000
