#       objid       gall       galb      mwebv       zhel       zcmb                  ra         dec
#        q102 135.630873108 -61.8845792996    0.02898     0.4350     0.4339    01:15:13.398   +00:23:57.312
# *************************************************************************************************
# This file created 
#       by     gnarayan
#       using  W_nn2.py q102.W6yr.nn2.lc -s --visualize --prune --adjusterrors --zplimit=29  --zeroMJDmax=53900 --zeroMJDmin=54250
#       and    clean_Wstd.py
#       on     herophysics
#       at     2013/04/01 13:55:49 EDT
# Redshift information 
#       zgal   =        --- 
#       zsn    =     0.4350 
# Redshifts are reported in the heliocentric frame
# Flux, Fluxerr_lo, Fluxerr_hi normalized to a zeropoint of 25.
# *************************************************************************************************
#Observation                                                   MJD   Passband            Flux     Fluxerr_lo     Fluxerr_hi
wbb4.031020_0106.030_14.diff.fits_CTIO4m_MOSAIC_II    52932.047200   R4m         0.3392000000   0.5091000000   0.5091000000
wbb4.031024_0118.053_14.diff.fits_CTIO4m_MOSAIC_II    52936.056000   R4m        -1.6022000000   1.1711000000   1.1711000000
wbb4.031030_0125.074_14.diff.fits_CTIO4m_MOSAIC_II    52942.060900   R4m        -0.0473000000   0.5539000000   0.5539000000
wbb4.031117_0154.052_14.diff.fits_CTIO4m_MOSAIC_II    52960.080400   R4m         0.1802000000   0.8600000000   0.8600000000
wbb4.031121_0201.065_14.diff.fits_CTIO4m_MOSAIC_II    52964.085100   R4m        -0.3089000000   0.4595000000   0.4595000000
wbb4.031125_0041.051_14.diff.fits_CTIO4m_MOSAIC_II    52968.029800   R4m        -0.4106000000   0.4846000000   0.4846000000
wbb4.031215_0202.049_14.diff.fits_CTIO4m_MOSAIC_II    52988.086000   R4m        -0.3856000000   0.4449000000   0.4449000000
wbb4.031219_0248.017_14.diff.fits_CTIO4m_MOSAIC_II    52992.118400   R4m        -0.0251000000   0.5926000000   0.5926000000
wbb4.031223_0130.038_14.diff.fits_CTIO4m_MOSAIC_II    52996.064600   R4m        -0.2728000000   0.4544000000   0.4544000000
wbb4.031227_0132.031_14.diff.fits_CTIO4m_MOSAIC_II    53000.065700   R4m        -0.0419000000   0.4821000000   0.4821000000
wbb4.031229_0050.029_14.diff.fits_CTIO4m_MOSAIC_II    53002.036900   R4m         0.6928000000   1.1096000000   1.1096000000
wbb4.040920_0217.027_14.diff.fits_CTIO4m_MOSAIC_II    53268.096400   R4m         0.2195000000   0.9529000000   0.9529000000
wbb4.041017_0120.1035_14.diff.fits_CTIO4m_MOSAIC_II   53295.056700   R4m         0.0242000000   0.5756000000   0.5756000000
wbb4.041021_0126.059_14.diff.fits_CTIO4m_MOSAIC_II    53299.061100   R4m         0.1570000000   0.6049000000   0.6049000000
wbb4.041023_0130.051_14.diff.fits_CTIO4m_MOSAIC_II    53301.064800   R4m         0.4660000000   0.9697000000   0.9697000000
wbb4.041112_0128.167_14.diff.fits_CTIO4m_MOSAIC_II    53321.062400   R4m         0.6307000000   1.1292000000   1.1292000000
wbb4.041116_0132.077_14.diff.fits_CTIO4m_MOSAIC_II    53325.065500   R4m        -0.1307000000   0.4310000000   0.4310000000
wbb4.041205_0209.067_14.diff.fits_CTIO4m_MOSAIC_II    53344.091500   R4m        -0.0727000000   0.4065000000   0.4065000000
wbb4.041209_0144.065_14.diff.fits_CTIO4m_MOSAIC_II    53348.073300   R4m         0.6581000000   0.4186000000   0.4186000000
wbb4.041213_0101.060_14.diff.fits_CTIO4m_MOSAIC_II    53352.044000   R4m         0.4338000000   0.3591000000   0.3591000000
wbb4.041215_0054.059_14.diff.fits_CTIO4m_MOSAIC_II    53354.039400   R4m        -0.1125000000   0.5112000000   0.5112000000
wbb4.041217_0151.065_14.diff.fits_CTIO4m_MOSAIC_II    53356.078400   R4m        -0.1646000000   0.5054000000   0.5054000000
wbb4.041221_0130.063_14.diff.fits_CTIO4m_MOSAIC_II    53360.064100   R4m        -2.2647000000   1.2444000000   1.2444000000
wbb4.050928_0201.085_14.diff.fits_CTIO4m_MOSAIC_II    53641.085100   R4m         1.8702000000   1.5918000000   1.5918000000
