#       objid       gall       galb      mwebv       zhel       zcmb                  ra         dec
#        y158 164.179630884 -60.8743808672    0.02182     0.4860     0.4851    02:06:30.881   -04:09:55.047
# *************************************************************************************************
# This file created 
#       by     gnarayan
#       using  W_nn2.py y158.W6yr.nn2.lc -s --visualize --prune --adjusterrors --zplimit=29  --zeroMJDmax=54250 --zeroMJDmin=54625
#       and    clean_Wstd.py
#       on     herophysics
#       at     2013/04/01 13:57:01 EDT
# Redshift information 
#       zgal   =     0.4860 
#       zsn    =     0.4856 
# Redshifts are reported in the heliocentric frame
# Flux, Fluxerr_lo, Fluxerr_hi normalized to a zeropoint of 25.
# *************************************************************************************************
#Observation                                                 MJD   Passband            Flux     Fluxerr_lo     Fluxerr_hi
wcc5.060914_0737.015_7.diff.fits_CTIO4m_MOSAIC_II   53992.318500   R4m        -0.1274000000   1.1109000000   1.1109000000
wcc5.060916_0707.145_7.diff.fits_CTIO4m_MOSAIC_II   53994.298100   R4m        -0.7211000000   0.3717000000   0.3717000000
wcc5.060925_0649.393_7.diff.fits_CTIO4m_MOSAIC_II   54003.285400   R4m         0.0843000000   0.6364000000   0.6364000000
wcc5.061013_0620.105_7.diff.fits_CTIO4m_MOSAIC_II   54021.265300   R4m         0.2920000000   1.0124000000   1.0124000000
wcc5.061015_0829.280_7.diff.fits_CTIO4m_MOSAIC_II   54023.354600   R4m        -0.3421000000   0.8683000000   0.8683000000
wcc5.061017_0624.142_7.diff.fits_CTIO4m_MOSAIC_II   54025.268300   R4m         1.2053000000   0.4475000000   0.4475000000
wcc5.061021_0650.154_7.diff.fits_CTIO4m_MOSAIC_II   54029.285800   R4m         0.8115000000   0.5829000000   0.5829000000
wcc5.061025_0637.128_7.diff.fits_CTIO4m_MOSAIC_II   54033.277000   R4m         2.3530000000   1.7138000000   1.7138000000
wcc5.061031_0645.120_7.diff.fits_CTIO4m_MOSAIC_II   54039.282800   R4m         0.8247000000   0.9396000000   0.9396000000
wcc5.061112_0211.073_7.diff.fits_CTIO4m_MOSAIC_II   54051.092300   R4m         0.3912000000   0.5996000000   0.5996000000
wcc5.061116_0524.100_7.diff.fits_CTIO4m_MOSAIC_II   54055.226600   R4m        -0.9423000000   0.8283000000   0.8283000000
wcc5.061120_0524.102_7.diff.fits_CTIO4m_MOSAIC_II   54059.226100   R4m        -0.3240000000   0.7776000000   0.7776000000
wcc5.061126_0536.106_7.diff.fits_CTIO4m_MOSAIC_II   54065.234400   R4m        -0.2501000000   0.5202000000   0.5202000000
wcc5.061128_0542.122_7.diff.fits_CTIO4m_MOSAIC_II   54067.239200   R4m        -0.8817000000   0.5599000000   0.5599000000
wcc5.061130_0534.069_7.diff.fits_CTIO4m_MOSAIC_II   54069.233100   R4m        -0.4222000000   1.0094000000   1.0094000000
wcc5.061215_0226.098_7.diff.fits_CTIO4m_MOSAIC_II   54084.102400   R4m         1.1947000000   1.4898000000   1.4898000000
wcc5.061219_0227.067_7.diff.fits_CTIO4m_MOSAIC_II   54088.104300   R4m         0.2300000000   0.4792000000   0.4792000000
wcc5.061221_0222.105_7.diff.fits_CTIO4m_MOSAIC_II   54090.100000   R4m        -0.2225000000   0.3430000000   0.3430000000
wcc5.061227_0242.022_7.diff.fits_CTIO4m_MOSAIC_II   54096.113700   R4m         0.2375000000   0.9502000000   0.9502000000
wcc5.061229_0254.013_7.diff.fits_CTIO4m_MOSAIC_II   54098.121900   R4m        -0.5790000000   1.2066000000   1.2066000000
wcc5.070112_0239.094_7.diff.fits_CTIO4m_MOSAIC_II   54112.112100   R4m         0.0340000000   0.5264000000   0.5264000000
wcc5.070114_0233.123_7.diff.fits_CTIO4m_MOSAIC_II   54114.107900   R4m         0.0510000000   0.9029000000   0.9029000000
wcc5.070115_0226.315_7.diff.fits_CTIO4m_MOSAIC_II   54115.101900   R4m         0.4924000000   1.0905000000   1.0905000000
wcc5.070908_0743.063_7.diff.fits_CTIO4m_MOSAIC_II   54351.322700   R4m        -0.3155000000   0.4275000000   0.4275000000
wcc5.070911_0753.061_7.diff.fits_CTIO4m_MOSAIC_II   54354.329700   R4m        -0.1561000000   0.4958000000   0.4958000000
wcc5.070917_0725.044_7.diff.fits_CTIO4m_MOSAIC_II   54360.310900   R4m        -0.0235000000   0.9971000000   0.9971000000
wcc5.070920_0855.058_7.diff.fits_CTIO4m_MOSAIC_II   54363.373100   R4m         0.6633000000   0.5845000000   0.5845000000
wcc5.071004_0645.049_7.diff.fits_CTIO4m_MOSAIC_II   54377.282500   R4m         0.8604000000   0.4573000000   0.4573000000
wcc5.071006_0618.070_7.diff.fits_CTIO4m_MOSAIC_II   54379.263500   R4m         0.2485000000   0.6772000000   0.6772000000
wcc5.071010_0626.043_7.diff.fits_CTIO4m_MOSAIC_II   54383.269600   R4m        -0.0436000000   0.4759000000   0.4759000000
wcc5.071020_0627.055_7.diff.fits_CTIO4m_MOSAIC_II   54393.270300   R4m         0.7690000000   0.5103000000   0.5103000000
wcc5.071105_0559.068_7.diff.fits_CTIO4m_MOSAIC_II   54409.251500   R4m         5.7886000000   0.4931000000   0.4931000000
wcc5.071111_0159.046_7.diff.fits_CTIO4m_MOSAIC_II   54415.084300   R4m         8.7524000000   0.6013000000   0.6013000000
wcc5.071113_0150.031_7.diff.fits_CTIO4m_MOSAIC_II   54417.078000   R4m         9.3968000000   0.3937000000   0.3937000000
wcc5.071115_0149.075_7.diff.fits_CTIO4m_MOSAIC_II   54419.077000   R4m        10.5506000000   0.4006000000   0.4006000000
wcc5.071117_0143.056_7.diff.fits_CTIO4m_MOSAIC_II   54421.073400   R4m        11.8587000000   0.5146000000   0.5146000000
wcc5.071119_0542.087_7.diff.fits_CTIO4m_MOSAIC_II   54423.238800   R4m        11.8451000000   0.8456000000   0.8456000000
wcc5.071201_0348.097_7.diff.fits_CTIO4m_MOSAIC_II   54435.159800   R4m         8.9901000000   0.6046000000   0.6046000000
wcc5.071205_0206.069_7.diff.fits_CTIO4m_MOSAIC_II   54439.088900   R4m         6.9656000000   0.4263000000   0.4263000000
wcc5.071207_0413.088_7.diff.fits_CTIO4m_MOSAIC_II   54441.177500   R4m         7.0687000000   0.6382000000   0.6382000000
wcc5.071209_0158.072_7.diff.fits_CTIO4m_MOSAIC_II   54443.083400   R4m         5.6306000000   0.6416000000   0.6416000000
wcc5.071211_0154.072_7.diff.fits_CTIO4m_MOSAIC_II   54445.080800   R4m         5.1699000000   0.4088000000   0.4088000000
wcc5.071213_0314.069_7.diff.fits_CTIO4m_MOSAIC_II   54447.135200   R4m         4.0347000000   0.4252000000   0.4252000000
wcc5.071215_0253.071_7.diff.fits_CTIO4m_MOSAIC_II   54449.121500   R4m         3.5839000000   0.4786000000   0.4786000000
wcc5.071217_0300.054_7.diff.fits_CTIO4m_MOSAIC_II   54451.125800   R4m         2.7602000000   0.7669000000   0.7669000000
wcc5.071219_0301.069_7.diff.fits_CTIO4m_MOSAIC_II   54453.127000   R4m         2.9568000000   1.2562000000   1.2562000000
wcc5.080102_0243.061_7.diff.fits_CTIO4m_MOSAIC_II   54467.114500   R4m         1.5675000000   0.5091000000   0.5091000000
wcc5.080107_0221.1092_7.sw.fits_CTIO4m_MOSAIC_II    54472.099100   R4m         1.7317000000   0.4549000000   0.4549000000
wcc5.060916_0756.152_7.diff.fits_CTIO4m_MOSAIC_II   53994.332100   I4m        -0.2624000000   0.8064000000   0.8064000000
wcc5.060925_0747.401_7.diff.fits_CTIO4m_MOSAIC_II   54003.326000   I4m        -1.2293000000   1.1298000000   1.1298000000
wcc5.061013_0641.109_7.diff.fits_CTIO4m_MOSAIC_II   54021.279400   I4m         1.9322000000   1.5829000000   1.5829000000
wcc5.061017_0650.147_7.diff.fits_CTIO4m_MOSAIC_II   54025.286400   I4m         1.3717000000   1.5870000000   1.5870000000
wcc5.061021_0711.158_7.diff.fits_CTIO4m_MOSAIC_II   54029.300400   I4m        -0.0876000000   0.9063000000   0.9063000000
wcc5.061025_0700.132_7.diff.fits_CTIO4m_MOSAIC_II   54033.292800   I4m        -0.4255000000   3.0864000000   3.0864000000
wcc5.061112_0232.077_7.diff.fits_CTIO4m_MOSAIC_II   54051.107300   I4m         1.3792000000   0.9525000000   0.9525000000
wcc5.061116_0548.104_7.diff.fits_CTIO4m_MOSAIC_II   54055.242900   I4m        -0.5348000000   1.6726000000   1.6726000000
wcc5.061126_0631.114_7.diff.fits_CTIO4m_MOSAIC_II   54065.272500   I4m         1.3121000000   1.2762000000   1.2762000000
wcc5.061128_0621.127_7.diff.fits_CTIO4m_MOSAIC_II   54067.265600   I4m        -1.0150000000   1.3530000000   1.3530000000
wcc5.061130_0602.074_7.diff.fits_CTIO4m_MOSAIC_II   54069.253000   I4m         1.5016000000   1.5492000000   1.5492000000
wcc5.061215_0246.102_7.diff.fits_CTIO4m_MOSAIC_II   54084.140000   I4m         0.5220000000   2.4263000000   2.4263000000
wcc5.061219_0312.075_7.diff.fits_CTIO4m_MOSAIC_II   54088.134900   I4m         0.7717000000   0.8873000000   0.8873000000
wcc5.061221_0429.124_7.diff.fits_CTIO4m_MOSAIC_II   54090.188200   I4m        -1.6517000000   1.0959000000   1.0959000000
wcc5.061230_0207.110_7.diff.fits_CTIO4m_MOSAIC_II   54099.090400   I4m        -2.7960000000   2.5734000000   2.5734000000
wcc5.070112_0245.095_7.diff.fits_CTIO4m_MOSAIC_II   54112.115700   I4m        -1.2288000000   1.0131000000   1.0131000000
wcc5.070114_0237.124_7.diff.fits_CTIO4m_MOSAIC_II   54114.110200   I4m        -0.1939000000   1.5798000000   1.5798000000
wcc5.070908_0929.079_7.diff.fits_CTIO4m_MOSAIC_II   54351.396200   I4m         0.9503000000   1.1121000000   1.1121000000
wcc5.071002_0726.067_7.diff.fits_CTIO4m_MOSAIC_II   54375.311400   I4m        -0.0203000000   1.5896000000   1.5896000000
wcc5.071004_0732.055_7.diff.fits_CTIO4m_MOSAIC_II   54377.315900   I4m        -0.7835000000   1.2782000000   1.2782000000
wcc5.071006_0702.078_7.diff.fits_CTIO4m_MOSAIC_II   54379.295000   I4m         0.4941000000   1.1076000000   1.1076000000
wcc5.071010_0657.047_7.diff.fits_CTIO4m_MOSAIC_II   54383.291100   I4m        -0.2361000000   0.8696000000   0.8696000000
wcc5.071105_0633.060_7.diff.fits_CTIO4m_MOSAIC_II   54409.274300   I4m         7.0348000000   0.7933000000   0.7933000000
wcc5.071113_0309.031_7.diff.fits_CTIO4m_MOSAIC_II   54417.132300   I4m        11.3254000000   0.7006000000   0.7006000000
wcc5.071115_0238.081_7.diff.fits_CTIO4m_MOSAIC_II   54419.111200   I4m        11.8746000000   0.6074000000   0.6074000000
wcc5.071117_0401.078_7.diff.fits_CTIO4m_MOSAIC_II   54421.168600   I4m        13.2348000000   0.5961000000   0.5961000000
wcc5.071201_0423.088_7.diff.fits_CTIO4m_MOSAIC_II   54435.184300   I4m        11.1225000000   1.3352000000   1.3352000000
wcc5.071205_0227.073_7.diff.fits_CTIO4m_MOSAIC_II   54439.103400   I4m         8.3848000000   0.7422000000   0.7422000000
wcc5.071209_0411.091_7.diff.fits_CTIO4m_MOSAIC_II   54443.175800   I4m         6.1244000000   1.2525000000   1.2525000000
wcc5.071211_0210.075_7.diff.fits_CTIO4m_MOSAIC_II   54445.091400   I4m         8.5434000000   0.6646000000   0.6646000000
wcc5.071213_0318.070_7.diff.fits_CTIO4m_MOSAIC_II   54447.139000   I4m         7.9895000000   0.9094000000   0.9094000000
wcc5.071215_0258.072_7.diff.fits_CTIO4m_MOSAIC_II   54449.125200   I4m         5.8478000000   0.9927000000   0.9927000000
wcc5.071217_0304.055_7.diff.fits_CTIO4m_MOSAIC_II   54451.129300   I4m         3.2911000000   1.2735000000   1.2735000000
wcc5.071219_0306.070_7.sw.fits_CTIO4m_MOSAIC_II     54453.130700   I4m         6.7001000000   1.7058000000   1.7058000000
