#       objid       gall       galb      mwebv       zhel       zcmb                  ra         dec
#        p454 164.28498006 -60.0871486009    0.02282     0.6910     0.6901    02:08:32.461   -03:33:34.241
# *************************************************************************************************
# This file created 
#       by     gnarayan
#       using  W_nn2.py p454.W6yr.nn2.lc -s --visualize --prune --adjusterrors --zplimit=29  --zeroMJDmax=53525 --zeroMJDmin=53900
#       and    clean_Wstd.py
#       on     herophysics
#       at     2013/04/01 13:55:31 EDT
# Redshift information 
#       zgal   =        --- 
#       zsn    =     0.6910 
# Redshifts are reported in the heliocentric frame
# Flux, Fluxerr_lo, Fluxerr_hi normalized to a zeropoint of 25.
# *************************************************************************************************
#Observation                                                   MJD   Passband            Flux     Fluxerr_lo     Fluxerr_hi
wcc2.040920_0411.043_15.diff.fits_CTIO4m_MOSAIC_II    53268.175100   R4m         0.7625000000   0.7261000000   0.7261000000
wcc2.041017_0209.1042_15.diff.fits_CTIO4m_MOSAIC_II   53295.090900   R4m        -0.6958000000   0.5623000000   0.5623000000
wcc2.041021_0220.066_15.diff.fits_CTIO4m_MOSAIC_II    53299.098600   R4m         0.3262000000   0.4690000000   0.4690000000
wcc2.041112_0222.174_15.diff.fits_CTIO4m_MOSAIC_II    53321.100100   R4m        -0.2428000000   0.4713000000   0.4713000000
wcc2.041116_0222.084_15.diff.fits_CTIO4m_MOSAIC_II    53325.100000   R4m        -0.8744000000   0.3810000000   0.3810000000
wcc2.041120_0240.081_15.diff.fits_CTIO4m_MOSAIC_II    53329.112300   R4m         0.7305000000   0.5487000000   0.5487000000
wcc2.041205_0305.075_15.diff.fits_CTIO4m_MOSAIC_II    53344.130000   R4m         0.5121000000   0.5372000000   0.5372000000
wcc2.041209_0233.072_15.diff.fits_CTIO4m_MOSAIC_II    53348.107800   R4m        -0.1283000000   0.3908000000   0.3908000000
wcc2.050928_0251.092_15.diff.fits_CTIO4m_MOSAIC_II    53641.119700   R4m         0.6972000000   0.7005000000   0.7005000000
wcc2.051006_0232.081_15.diff.fits_CTIO4m_MOSAIC_II    53649.107200   R4m        -0.1502000000   0.9610000000   0.9610000000
wcc2.051108_0250.074_15.diff.fits_CTIO4m_MOSAIC_II    53682.119600   R4m        -0.1760000000   0.9017000000   0.9017000000
wcc2.051124_0222.067_15.diff.fits_CTIO4m_MOSAIC_II    53698.100200   R4m         4.2121000000   0.5965000000   0.5965000000
wcc2.051130_0251.071_15.diff.fits_CTIO4m_MOSAIC_II    53704.120300   R4m         4.3398000000   0.3212000000   0.3212000000
wcc2.051202_0236.074_15.diff.fits_CTIO4m_MOSAIC_II    53706.110000   R4m         5.2711000000   0.3958000000   0.3958000000
wcc2.051204_0247.029_15.diff.fits_CTIO4m_MOSAIC_II    53708.117700   R4m         4.5530000000   0.3831000000   0.3831000000
wcc2.051208_0253.070_15.diff.fits_CTIO4m_MOSAIC_II    53712.122000   R4m         4.4731000000   0.4477000000   0.4477000000
wcc2.051210_0054.048_15.diff.fits_CTIO4m_MOSAIC_II    53714.038400   R4m         2.6839000000   0.7300000000   0.7300000000
