#       objid       gall       galb      mwebv       zhel       zcmb                  ra         dec
#        e147 179.49989917 -60.0804294727    0.03419     0.6410     0.6402    02:31:02.652   -08:39:50.909
# *************************************************************************************************
# This file created 
#       by     gnarayan
#       using  W_nn2.py e147.W6yr.nn2.lc -s --visualize --prune --adjusterrors --zplimit=29  --zeroMJDmax=52800 --zeroMJDmin=53200
#       and    clean_Wstd.py
#       on     herophysics
#       at     2013/04/01 13:54:28 EDT
# Redshift information 
#       zgal   =        --- 
#       zsn    =     0.6410 
# Redshifts are reported in the heliocentric frame
# Flux, Fluxerr_lo, Fluxerr_hi normalized to a zeropoint of 25.
# *************************************************************************************************
#Observation                                                  MJD   Passband            Flux     Fluxerr_lo     Fluxerr_hi
wdd5.020930_0250.087_9.diff.fits_CTIO4m_MOSAIC_II    52547.119300   R4m         0.3307000000   1.5841000000   1.5841000000
wdd5.021004_0413.047_9.diff.fits_CTIO4m_MOSAIC_II    52551.177200   R4m         0.7896000000   2.0805000000   2.0805000000
wdd5.021008_0226.088_9.diff.fits_CTIO4m_MOSAIC_II    52555.102600   R4m         0.4653000000   1.2272000000   1.2272000000
wdd5.021008_0255.044_9.diff.fits_CTIO4m_MOSAIC_II    52555.123200   R4m        -0.4107000000   1.0211000000   1.0211000000
wdd5.021012_0242.074_9.diff.fits_CTIO4m_MOSAIC_II    52559.113500   R4m         2.4312000000   1.4826000000   1.4826000000
wdd5.021014_0324.078_9.diff.fits_CTIO4m_MOSAIC_II    52561.142800   R4m         1.5183000000   0.9245000000   0.9245000000
wdd5.021105_0410.072_9.diff.fits_CTIO4m_MOSAIC_II    52583.174600   R4m         0.3690000000   0.4620000000   0.4620000000
wdd5.021111_0329.075_9.diff.fits_CTIO4m_MOSAIC_II    52589.146600   R4m         0.4824000000   0.4003000000   0.4003000000
wdd5.021115_0344.068_9.diff.fits_CTIO4m_MOSAIC_II    52593.157100   R4m         1.0196000000   1.0742000000   1.0742000000
wdd5.021128_0408.053_9.diff.fits_CTIO4m_MOSAIC_II    52606.173300   R4m        -0.2964000000   0.2771000000   0.2771000000
wdd5.021206_0419.070_9.diff.fits_CTIO4m_MOSAIC_II    52614.181200   R4m        -0.4347000000   0.5348000000   0.5348000000
wdd5.021210_0258.054_9.diff.fits_CTIO4m_MOSAIC_II    52618.125200   R4m        -0.6065000000   0.5436000000   0.5436000000
wdd5.021214_0246.058_9.diff.fits_CTIO4m_MOSAIC_II    52622.116300   R4m        -0.2558000000   0.8100000000   0.8100000000
wdd5.021216_0311.057_9.diff.fits_CTIO4m_MOSAIC_II    52624.133900   R4m        -0.1913000000   1.0084000000   1.0084000000
wdd5.021229_0321.057_9.diff.fits_CTIO4m_MOSAIC_II    52637.141200   R4m        -0.0868000000   0.2826000000   0.2826000000
wdd5.030103_0311.054_9.diff.fits_CTIO4m_MOSAIC_II    52642.134200   R4m         0.2668000000   0.3829000000   0.3829000000
wdd5.031019_0429.073_9.diff.fits_CTIO4m_MOSAIC_II    52931.188500   R4m        -0.0046000000   0.2996000000   0.2996000000
wdd5.031024_0331.070_9.diff.fits_CTIO4m_MOSAIC_II    52936.148300   R4m         0.3661000000   0.6089000000   0.6089000000
wdd5.031030_0337.094_9.diff.fits_CTIO4m_MOSAIC_II    52942.152100   R4m         2.0420000000   0.4798000000   0.4798000000
wdd5.031101_0246.059_9.diff.fits_CTIO4m_MOSAIC_II    52944.116300   R4m         2.3709000000   0.6424000000   0.6424000000
wdd5.031117_0351.069_9.sw.fits_CTIO4m_MOSAIC_II      52960.161900   R4m         2.4668000000   0.7691000000   0.7691000000
wdd5.031121_0357.082_9.diff.fits_CTIO4m_MOSAIC_II    52964.165900   R4m         8.0670000000   0.7414000000   0.7414000000
wdd5.031125_0349.077_9.diff.fits_CTIO4m_MOSAIC_II    52968.160200   R4m         7.7451000000   0.9451000000   0.9451000000
wdd5.031127_0354.196_9.diff.fits_CTIO4m_MOSAIC_II    52970.163900   R4m         6.7714000000   0.4563000000   0.4563000000
wdd5.031127_0410.186_9.diff.fits_CTIO4m_MOSAIC_II    52970.174300   R4m         6.5424000000   0.4194000000   0.4194000000
wdd5.031129_0356.306_9.diff.fits_CTIO4m_MOSAIC_II    52972.165700   R4m         6.0880000000   0.4909000000   0.4909000000
wdd5.031201_0234.055_9.diff.fits_CTIO4m_MOSAIC_II    52974.108300   R4m         5.8861000000   0.4589000000   0.4589000000
wdd5.031203_0244.188_9.diff.fits_CTIO4m_MOSAIC_II    52976.115000   R4m         5.3790000000   0.5462000000   0.5462000000
wdd5.031215_0356.066_9.diff.fits_CTIO4m_MOSAIC_II    52988.165200   R4m         2.8450000000   0.5974000000   0.5974000000
