#       objid       gall       galb      mwebv       zhel       zcmb                  ra         dec
#        k396 71.8072990181 -62.8075775755    0.02637     0.2710     0.2698    23:27:04.384   -08:38:45.178
# *************************************************************************************************
# This file created 
#       by     gnarayan
#       using  W_nn2.py k396.W6yr.nn2.lc -s --visualize --prune --adjusterrors --zplimit=29  --zeroMJDmax=53150 --zeroMJDmin=53525
#       and    clean_Wstd.py
#       on     herophysics
#       at     2013/04/01 13:54:54 EDT
# Redshift information 
#       zgal   =        --- 
#       zsn    =     0.2710 
# Redshifts are reported in the heliocentric frame
# Flux, Fluxerr_lo, Fluxerr_hi normalized to a zeropoint of 25.
# *************************************************************************************************
#Observation                                                  MJD   Passband            Flux     Fluxerr_lo     Fluxerr_hi
waa2.040918_0222.008_5.diff.fits_CTIO4m_MOSAIC_II    53266.099700   R4m         0.6700000000   0.8263000000   0.8263000000
waa2.040920_0050.014_5.diff.fits_CTIO4m_MOSAIC_II    53268.036500   R4m        -0.2260000000   0.6658000000   0.6658000000
waa2.041009_0010.1046_5.diff.fits_CTIO4m_MOSAIC_II   53287.008100   R4m         0.2017000000   0.6275000000   0.6275000000
waa2.041013_0011.034_5.diff.fits_CTIO4m_MOSAIC_II    53291.009600   R4m         0.5988000000   0.9749000000   0.9749000000
waa2.041017_0010.1035_5.diff.fits_CTIO4m_MOSAIC_II   53295.008400   R4m        -0.1441000000   0.5333000000   0.5333000000
waa2.041021_0026.050_5.diff.fits_CTIO4m_MOSAIC_II    53299.019200   R4m         0.7633000000   0.6185000000   0.6185000000
waa2.041023_0006.039_5.diff.fits_CTIO4m_MOSAIC_II    53301.005600   R4m         1.4283000000   2.4300000000   2.4300000000
waa2.041112_0023.158_5.diff.fits_CTIO4m_MOSAIC_II    53321.018400   R4m         0.2814000000   0.6981000000   0.6981000000
waa2.041116_0032.068_5.diff.fits_CTIO4m_MOSAIC_II    53325.023700   R4m         0.4820000000   0.4530000000   0.4530000000
waa2.041205_0057.058_5.diff.fits_CTIO4m_MOSAIC_II    53344.042200   R4m         7.0569000000   0.6015000000   0.6015000000
waa2.041209_0054.058_5.diff.fits_CTIO4m_MOSAIC_II    53348.038300   R4m        18.6495000000   1.0226000000   1.0226000000
waa2.041209_0100.059_5.diff.fits_CTIO4m_MOSAIC_II    53348.046300   R4m        15.5427000000   0.4784000000   0.4784000000
waa2.041213_0041.057_5.diff.fits_CTIO4m_MOSAIC_II    53352.029400   R4m        22.7127000000   0.6428000000   0.6428000000
waa2.041217_0103.058_5.diff.fits_CTIO4m_MOSAIC_II    53356.046200   R4m        26.6823000000   0.8613000000   0.8613000000
waa2.041221_0055.058_5.diff.fits_CTIO4m_MOSAIC_II    53360.038900   R4m        29.2248000000   0.9782000000   0.9782000000
waa2.050926_0015.070_5.diff.fits_CTIO4m_MOSAIC_II    53639.011500   R4m         2.5254000000   0.7546000000   0.7546000000
waa2.050927_2359.068_5.diff.fits_CTIO4m_MOSAIC_II    53641.001200   R4m         1.3102000000   1.0730000000   1.0730000000
waa2.051005_2346.057_5.diff.fits_CTIO4m_MOSAIC_II    53648.991200   R4m         0.8547000000   1.2480000000   1.2480000000
waa2.051011_0009.063_5.diff.fits_CTIO4m_MOSAIC_II    53654.006900   R4m        -1.3731000000   0.6829000000   0.6829000000
