#       objid       gall       galb      mwebv       zhel       zcmb                  ra         dec
#        r206 135.52978132 -62.1879511059    0.03126     0.6100     0.6089    01:14:48.050   +00:06:39.370
# *************************************************************************************************
# This file created 
#       by     gnarayan
#       using  W_nn2.py r206.W6yr.nn2.lc -s --visualize --prune --adjusterrors --zplimit=29  --zeroMJDmax=53900 --zeroMJDmin=54250
#       and    clean_Wstd.py
#       on     herophysics
#       at     2013/04/01 13:56:05 EDT
# Redshift information 
#       zgal   =        --- 
#       zsn    =     0.6100 
# Redshifts are reported in the heliocentric frame
# Flux, Fluxerr_lo, Fluxerr_hi normalized to a zeropoint of 25.
# *************************************************************************************************
#Observation                                                   MJD   Passband            Flux     Fluxerr_lo     Fluxerr_hi
wbb4.051006_0148.075_11.diff.fits_CTIO4m_MOSAIC_II    53649.076000   R4m         1.2211000000   0.7077000000   0.7077000000
wbb4.051011_0117.074_11.diff.fits_CTIO4m_MOSAIC_II    53654.054800   R4m         0.0944000000   0.7406000000   0.7406000000
wbb4.051124_0132.060_11.diff.fits_CTIO4m_MOSAIC_II    53698.065000   R4m         0.9089000000   0.6451000000   0.6451000000
wbb4.051130_0202.064_11.diff.fits_CTIO4m_MOSAIC_II    53704.086300   R4m         0.0098000000   0.3874000000   0.3874000000
wbb4.060916_0454.126_11.diff.fits_CTIO4m_MOSAIC_II    53994.205300   R4m         0.2874000000   0.5305000000   0.5305000000
wbb4.060925_0456.376_11.diff.fits_CTIO4m_MOSAIC_II    54003.206200   R4m        -0.2599000000   0.5476000000   0.5476000000
wbb4.061015_0530.254_11.diff.fits_CTIO4m_MOSAIC_II    54023.230100   R4m         0.4067000000   0.6376000000   0.6376000000
wbb4.061017_0544.137_11.diff.fits_CTIO4m_MOSAIC_II    54025.240700   R4m        -0.3947000000   0.5182000000   0.5182000000
wbb4.061019_0554.104_11.diff.fits_CTIO4m_MOSAIC_II    54027.247800   R4m         0.9236000000   0.5607000000   0.5607000000
wbb4.061023_0600.136_11.diff.fits_CTIO4m_MOSAIC_II    54031.251600   R4m         0.8910000000   0.5251000000   0.5251000000
wbb4.061029_0523.099_11.diff.fits_CTIO4m_MOSAIC_II    54037.226000   R4m         2.1316000000   0.5835000000   0.5835000000
wbb4.061031_0512.104_11.diff.fits_CTIO4m_MOSAIC_II    54039.217700   R4m         2.9611000000   0.9361000000   0.9361000000
wbb4.061114_0100.080_11.diff.fits_CTIO4m_MOSAIC_II    54053.042800   R4m         7.2840000000   0.4796000000   0.4796000000
wbb4.061120_0435.093_11.diff.fits_CTIO4m_MOSAIC_II    54059.192200   R4m         6.1323000000   0.6735000000   0.6735000000
