#       objid       gall       galb      mwebv       zhel       zcmb                  ra         dec
#        q112 132.515850706 -63.076247994    0.03642     0.6370     0.6359    01:08:43.977   -00:31:36.593
# *************************************************************************************************
# This file created 
#       by     gnarayan
#       using  W_nn2.py q112.W6yr.nn2.lc -s --visualize --prune --adjusterrors --zplimit=29  --zeroMJDmax=53900 --zeroMJDmin=54250
#       and    clean_Wstd.py
#       on     herophysics
#       at     2013/04/01 13:55:53 EDT
# Redshift information 
#       zgal   =        --- 
#       zsn    =     0.6370 
# Redshifts are reported in the heliocentric frame
# Flux, Fluxerr_lo, Fluxerr_hi normalized to a zeropoint of 25.
# *************************************************************************************************
#Observation                                                  MJD   Passband            Flux     Fluxerr_lo     Fluxerr_hi
wbb9.030928_0257.058_3.diff.fits_CTIO4m_MOSAIC_II    52910.123800   R4m        -1.3432000000   1.0797000000   1.0797000000
wbb9.031019_0151.050_3.diff.fits_CTIO4m_MOSAIC_II    52931.078400   R4m         0.7022000000   0.5149000000   0.5149000000
wbb9.031022_0118.054_3.diff.fits_CTIO4m_MOSAIC_II    52934.055600   R4m        -0.0661000000   0.5404000000   0.5404000000
wbb9.031028_0140.045_3.diff.fits_CTIO4m_MOSAIC_II    52940.070900   R4m         0.7593000000   0.5005000000   0.5005000000
wbb9.031115_0147.046_3.diff.fits_CTIO4m_MOSAIC_II    52958.075500   R4m        -1.4534000000   1.1507000000   1.1507000000
wbb9.031119_0153.054_3.diff.fits_CTIO4m_MOSAIC_II    52962.079700   R4m        -0.2299000000   0.8239000000   0.8239000000
wbb9.031123_0203.055_3.diff.fits_CTIO4m_MOSAIC_II    52966.086500   R4m         0.2124000000   0.5808000000   0.5808000000
wbb9.031129_0158.291_3.diff.fits_CTIO4m_MOSAIC_II    52972.083500   R4m        -0.9536000000   0.5534000000   0.5534000000
wbb9.031201_0046.040_3.diff.fits_CTIO4m_MOSAIC_II    52974.033400   R4m         0.6029000000   0.6008000000   0.6008000000
wbb9.031213_0156.051_3.diff.fits_CTIO4m_MOSAIC_II    52986.082000   R4m        -0.2430000000   0.3974000000   0.3974000000
wbb9.031217_0132.048_3.diff.fits_CTIO4m_MOSAIC_II    52990.065200   R4m        -0.7885000000   0.5368000000   0.5368000000
wbb9.031221_0135.041_3.diff.fits_CTIO4m_MOSAIC_II    52994.067400   R4m         0.1734000000   0.4380000000   0.4380000000
wbb9.031227_0149.034_3.diff.fits_CTIO4m_MOSAIC_II    53000.077300   R4m         0.2748000000   0.4623000000   0.4623000000
wbb9.031229_0114.033_3.diff.fits_CTIO4m_MOSAIC_II    53002.052500   R4m         0.9860000000   0.7621000000   0.7621000000
wbb9.040920_0243.032_3.diff.fits_CTIO4m_MOSAIC_II    53268.115200   R4m         0.1259000000   0.8207000000   0.8207000000
wbb9.041005_0333.1068_3.diff.fits_CTIO4m_MOSAIC_II   53283.149200   R4m         0.1597000000   0.7481000000   0.7481000000
wbb9.041011_0129.1061_3.diff.fits_CTIO4m_MOSAIC_II   53289.063200   R4m         0.1377000000   0.6388000000   0.6388000000
wbb9.041015_0105.187_3.diff.fits_CTIO4m_MOSAIC_II    53293.046400   R4m         1.3031000000   1.0603000000   1.0603000000
wbb9.041019_0141.045_3.diff.fits_CTIO4m_MOSAIC_II    53297.071200   R4m         0.5193000000   0.5558000000   0.5558000000
wbb9.041023_0148.054_3.diff.fits_CTIO4m_MOSAIC_II    53301.076300   R4m        -2.7377000000   1.0129000000   1.0129000000
wbb9.041106_0154.041_3.diff.fits_CTIO4m_MOSAIC_II    53315.080800   R4m        -0.3070000000   0.5144000000   0.5144000000
