#       objid       gall       galb      mwebv       zhel       zcmb                  ra         dec
#        k429 177.086627645 -59.9850031553    0.03060     0.1720     0.1712    02:28:03.110   -07:42:29.656
# *************************************************************************************************
# This file created 
#       by     gnarayan
#       using  W_nn2.py k429.W6yr.nn2.lc -s --visualize --prune --adjusterrors --zplimit=29  --zeroMJDmax=53150 --zeroMJDmin=53525
#       and    clean_Wstd.py
#       on     herophysics
#       at     2013/04/01 13:54:56 EDT
# Redshift information 
#       zgal   =     0.1720 
#       zsn    =     0.1710 
# Redshifts are reported in the heliocentric frame
# Flux, Fluxerr_lo, Fluxerr_hi normalized to a zeropoint of 25.
# *************************************************************************************************
#Observation                                                  MJD   Passband            Flux     Fluxerr_lo     Fluxerr_hi
wdd3.040920_0432.047_6.diff.fits_CTIO4m_MOSAIC_II    53268.190100   R4m         0.7785000000   0.4971000000   0.4971000000
wdd3.041005_0547.1079_6.diff.fits_CTIO4m_MOSAIC_II   53283.242200   R4m        -0.5947000000   0.8415000000   0.8415000000
wdd3.041011_0305.1074_6.diff.fits_CTIO4m_MOSAIC_II   53289.129900   R4m         0.8113000000   0.7868000000   0.7868000000
wdd3.041015_0247.200_6.diff.fits_CTIO4m_MOSAIC_II    53293.117100   R4m        -0.3420000000   0.5387000000   0.5387000000
wdd3.041019_0315.058_6.diff.fits_CTIO4m_MOSAIC_II    53297.136900   R4m         0.1885000000   0.4884000000   0.4884000000
wdd3.041106_0330.054_6.diff.fits_CTIO4m_MOSAIC_II    53315.147200   R4m        -0.1195000000   0.4504000000   0.4504000000
wdd3.041114_0347.076_6.diff.fits_CTIO4m_MOSAIC_II    53323.159300   R4m         0.5772000000   0.3289000000   0.3289000000
wdd3.041118_0422.046_6.diff.fits_CTIO4m_MOSAIC_II    53327.183100   R4m         0.0782000000   0.5781000000   0.5781000000
wdd3.041120_0302.084_6.diff.fits_CTIO4m_MOSAIC_II    53329.128100   R4m         0.5628000000   0.5696000000   0.5696000000
wdd3.041203_0342.082_6.diff.fits_CTIO4m_MOSAIC_II    53342.155800   R4m        50.8432000000   0.5272000000   0.5272000000
wdd3.041207_0346.079_6.diff.fits_CTIO4m_MOSAIC_II    53346.158100   R4m        71.8268000000   0.5657000000   0.5657000000
wdd3.041211_0327.077_6.diff.fits_CTIO4m_MOSAIC_II    53350.145200   R4m        79.3126000000   0.4277000000   0.4277000000
wdd3.041217_0330.059_6.diff.fits_CTIO4m_MOSAIC_II    53356.147200   R4m        75.0646000000   0.5053000000   0.5053000000
wdd3.050109_0205.080_6.diff.fits_CTIO4m_MOSAIC_II    53379.088300   R4m        31.4314000000   0.5174000000   0.5174000000
wdd3.050113_0135.063_6.diff.fits_CTIO4m_MOSAIC_II    53383.067100   R4m        27.6697000000   0.4344000000   0.4344000000
wdd3.050117_0137.063_6.diff.fits_CTIO4m_MOSAIC_II    53387.070000   R4m        23.2500000000   0.8683000000   0.8683000000
wdd3.050926_0343.097_6.diff.fits_CTIO4m_MOSAIC_II    53639.156000   R4m         0.6068000000   0.5413000000   0.5413000000
wdd3.050930_0338.089_6.diff.fits_CTIO4m_MOSAIC_II    53643.152400   R4m         0.4753000000   0.9878000000   0.9878000000
wdd3.051006_0338.090_6.diff.fits_CTIO4m_MOSAIC_II    53649.152400   R4m        -0.2119000000   1.4530000000   1.4530000000
wdd3.051009_0309.077_6.diff.fits_CTIO4m_MOSAIC_II    53652.132900   R4m        -1.0215000000   0.5788000000   0.5788000000
wdd3.051011_0346.084_6.diff.fits_CTIO4m_MOSAIC_II    53654.158000   R4m        -0.5006000000   0.5689000000   0.5689000000
wdd3.051108_0315.078_6.diff.fits_CTIO4m_MOSAIC_II    53682.136900   R4m         1.4411000000   0.8494000000   0.8494000000
wdd3.051122_0347.075_6.diff.fits_CTIO4m_MOSAIC_II    53696.159300   R4m        -0.7454000000   0.3509000000   0.3509000000
wdd3.051126_0601.281_6.diff.fits_CTIO4m_MOSAIC_II    53700.252300   R4m        -0.4168000000   0.4309000000   0.4309000000
wdd3.051128_0417.083_6.diff.fits_CTIO4m_MOSAIC_II    53702.179500   R4m        -0.1996000000   0.3649000000   0.3649000000
wdd3.051202_0330.082_6.diff.fits_CTIO4m_MOSAIC_II    53706.147200   R4m        -0.0779000000   0.3527000000   0.3527000000
wdd3.051204_0343.037_6.diff.fits_CTIO4m_MOSAIC_II    53708.156200   R4m        -0.3863000000   0.4018000000   0.4018000000
wdd3.051208_0349.078_6.diff.fits_CTIO4m_MOSAIC_II    53712.161500   R4m         0.4762000000   0.4936000000   0.4936000000
wdd3.051210_0147.056_6.diff.fits_CTIO4m_MOSAIC_II    53714.075800   R4m        -0.3691000000   0.9377000000   0.9377000000
wdd3.051231_0204.068_6.diff.fits_CTIO4m_MOSAIC_II    53735.087300   R4m         0.6924000000   0.3717000000   0.3717000000
wdd3.060103_0209.073_6.diff.fits_CTIO4m_MOSAIC_II    53738.091000   R4m        -0.1021000000   0.3603000000   0.3603000000
wdd3.060916_0901.160_6.diff.fits_CTIO4m_MOSAIC_II    53994.376300   R4m         0.2461000000   0.5453000000   0.5453000000
wdd3.060925_0826.407_6.diff.fits_CTIO4m_MOSAIC_II    54003.352400   R4m        -1.0790000000   0.7949000000   0.7949000000
wdd3.060928_0911.452_6.diff.fits_CTIO4m_MOSAIC_II    54006.384100   R4m        -0.4078000000   0.4848000000   0.4848000000
wdd3.061015_0852.284_6.diff.fits_CTIO4m_MOSAIC_II    54023.370900   R4m        -0.1445000000   1.0433000000   1.0433000000
wdd3.061017_0736.153_6.diff.fits_CTIO4m_MOSAIC_II    54025.318200   R4m        -0.5568000000   0.9909000000   0.9909000000
wdd3.061021_0835.168_6.diff.fits_CTIO4m_MOSAIC_II    54029.358300   R4m         0.1198000000   0.5206000000   0.5206000000
wdd3.061031_0755.132_6.diff.fits_CTIO4m_MOSAIC_II    54039.331000   R4m         0.5138000000   0.9600000000   0.9600000000
wdd3.061112_0323.084_6.diff.fits_CTIO4m_MOSAIC_II    54051.144100   R4m         1.1428000000   0.6036000000   0.6036000000
wdd3.061116_0614.107_6.diff.fits_CTIO4m_MOSAIC_II    54055.260600   R4m         0.2860000000   0.9308000000   0.9308000000
wdd3.061126_0721.122_6.diff.fits_CTIO4m_MOSAIC_II    54065.308000   R4m        -0.7484000000   0.5885000000   0.5885000000
wdd3.061128_0637.129_6.diff.fits_CTIO4m_MOSAIC_II    54067.277200   R4m        -0.7772000000   0.6747000000   0.6747000000
wdd3.061130_0650.081_6.diff.fits_CTIO4m_MOSAIC_II    54069.286100   R4m        -0.1744000000   0.7413000000   0.7413000000
wdd3.061213_0332.100_6.diff.fits_CTIO4m_MOSAIC_II    54082.148700   R4m         0.4579000000   0.7385000000   0.7385000000
wdd3.061217_0309.114_6.diff.fits_CTIO4m_MOSAIC_II    54086.135400   R4m         0.5436000000   0.4970000000   0.4970000000
