"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag","Discovery Mag Filter","Discovery Date (UT)","Sender","Remarks","Ext. catalog/s"
"50465","AT 2019yec","02:25:05.127","-11:21:44.44","","","","","Pan-STARRS1","Pan-STARRS1","","Pan-STARRS1","PS19iep","PS1 - GPC1","","1","1","","20.48","w-PS1","2019-10-06 11:57:07","PS1_Bot1","",""
"50464","AT 2019yeb","06:58:09.808","+36:18:32.98","","","","","Pan-STARRS1","Pan-STARRS1","","Pan-STARRS1","PS19ieo","PS1 - GPC1","","1","1","","21.38","w-PS1","2019-11-08 13:29:16","PS1_Bot1","","TESS-active sector/s (19,20);TESS-Sector20;TESS-Sector19"
"50463","AT 2019yea","05:08:36.292","-07:41:22.26","","","","","Pan-STARRS1","Pan-STARRS1","","Pan-STARRS1","PS19ien","PS1 - GPC1","","1","1","","20.98","w-PS1","2019-11-26 11:58:33","PS1_Bot1","",""
"50462","AT 2019ydz","23:46:53.293","+35:16:59.16","","","","","Pan-STARRS1","Pan-STARRS1","","Pan-STARRS1","PS19iem","PS1 - GPC1","","1","1","","20.57","i-Sloan","2019-11-17 07:46:33","PS1_Bot1","",""
"50461","AT 2019ydy","03:18:41.539","-09:25:05.47","","","","","Pan-STARRS1","Pan-STARRS1","","Pan-STARRS1","PS19iel","PS1 - GPC1","","1","1","","21.88","w-PS1","2019-12-24 07:43:40","PS1_Bot1","",""
"50460","AT 2019ydx","02:08:04.237","+10:00:02.62","","","","","Pan-STARRS1","Pan-STARRS1","","Pan-STARRS1","PS19iek","PS1 - GPC1","","1","1","","21.99","w-PS1","2019-12-19 08:13:55","PS1_Bot1","",""
"50459","AT 2019ydw","05:10:11.483","-05:48:28.04","","","","","Pan-STARRS1","Pan-STARRS1","","Pan-STARRS1","PS19iej","PS1 - GPC1","","1","1","","21.3","w-PS1","2019-10-25 13:53:45","PS1_Bot1","",""
"50458","AT 2019ydv","03:30:51.060","-12:08:50.76","","","","","Pan-STARRS1","Pan-STARRS1","","Pan-STARRS1","PS19iei","PS1 - GPC1","","1","1","","21.27","w-PS1","2019-10-06 13:16:19","PS1_Bot1","",""
"50457","AT 2019ydu","04:35:21.227","+06:02:55.14","","","","","Pan-STARRS1","Pan-STARRS1","","Pan-STARRS1","PS19ieh","PS1 - GPC1","","1","1","","20.57","w-PS1","2019-11-26 10:55:12","PS1_Bot1","",""
"50456","AT 2019ydt","00:49:42.975","-04:47:47.90","","","","","Pan-STARRS1","Pan-STARRS1","","Pan-STARRS1","PS19ieg","PS1 - GPC1","","1","1","","21.01","w-PS1","2019-11-28 05:00:57","PS1_Bot1","",""
"50455","AT 2019yds","09:10:46.497","+15:53:53.62","","","","","Pan-STARRS1","Pan-STARRS1","","Pan-STARRS1","PS19ief","PS1 - GPC1","","1","1","","21.03","w-PS1","2019-11-08 14:09:36","PS1_Bot1","",""
"50454","AT 2019ydr","01:27:40.253","+08:27:39.21","","","","","Pan-STARRS1","Pan-STARRS1","","Pan-STARRS1","PS19iee","PS1 - GPC1","","1","1","","21.32","w-PS1","2019-11-28 06:04:19","PS1_Bot1","",""
"50453","AT 2019ydq","01:09:31.347","+39:37:05.92","","","","","Pan-STARRS1","Pan-STARRS1","","Pan-STARRS1","PS19ied","PS1 - GPC1","","1","1","","21.16","w-PS1","2019-11-02 08:41:16","PS1_Bot1","",""
"50452","AT 2019ydp","03:04:39.313","+26:20:33.19","","","","","Pan-STARRS1","Pan-STARRS1","","Pan-STARRS1","PS19iec","PS1 - GPC1","","1","1","","20.92","w-PS1","2019-09-30 14:34:04","PS1_Bot1","",""
"50451","AT 2019ydo","21:21:06.671","+23:15:08.06","","","","","Pan-STARRS1","Pan-STARRS1","","Pan-STARRS1","PS19ieb","PS1 - GPC1","","1","1","","21.04","w-PS1","2019-10-23 07:12:00","PS1_Bot1","",""
"50450","AT 2019ydn","09:58:17.839","+11:57:15.31","","","","","Pan-STARRS1","Pan-STARRS1","","Pan-STARRS1","PS19idz","PS1 - GPC1","","1","1","","20.81","w-PS1","2019-12-03 12:38:52","PS1_Bot1","",""
"50449","AT 2019ydm","03:49:51.326","-22:14:27.18","","","","","Pan-STARRS1","Pan-STARRS1","","Pan-STARRS1","PS19idy","PS1 - GPC1","","1","1","","20.03","i-Sloan","2019-10-19 11:06:43","PS1_Bot1","",""
"50448","AT 2019ydl","03:39:08.292","-02:55:24.05","","","","","Pan-STARRS1","Pan-STARRS1","","Pan-STARRS1","PS19idx","PS1 - GPC1","","1","1","","21.31","w-PS1","2019-10-25 12:00:00","PS1_Bot1","",""
"50447","AT 2019ydk","03:48:12.214","-10:44:38.05","","","","","Pan-STARRS1","Pan-STARRS1","","Pan-STARRS1","PS19idw","PS1 - GPC1","","1","1","","20.57","w-PS1","2019-10-06 13:19:12","PS1_Bot1","",""
"50446","AT 2019ydj","00:46:08.890","+02:40:25.14","","","","","Pan-STARRS1","Pan-STARRS1","","Pan-STARRS1","PS19idv","PS1 - GPC1","","1","1","","20.52","w-PS1","2019-11-17 06:38:52","PS1_Bot1","",""
"50445","AT 2019ydi","04:12:22.504","+13:56:30.10","","","","","Pan-STARRS1","Pan-STARRS1","","Pan-STARRS1","PS19idr","PS1 - GPC1","","1","1","","21.72","w-PS1","2019-10-05 12:23:02","PS1_Bot1","",""
"50444","AT 2019ydh","07:26:15.519","+41:10:56.34","","","","","Pan-STARRS1","Pan-STARRS1","","Pan-STARRS1","PS19idq","PS1 - GPC1","","1","1","","21.2","w-PS1","2019-11-25 13:47:59","PS1_Bot1","","TESS-active sector/s (19,20);TESS-Sector20;TESS-Sector19"
"50443","AT 2019ydg","05:34:37.321","+05:14:38.58","","","","","Pan-STARRS1","Pan-STARRS1","","Pan-STARRS1","PS19idp","PS1 - GPC1","","1","1","","21.7","w-PS1","2019-10-27 12:53:16","PS1_Bot1","",""
"50442","AT 2019ydf","23:58:10.887","+03:55:09.82","","","","","Pan-STARRS1","Pan-STARRS1","","Pan-STARRS1","PS19ido","PS1 - GPC1","","1","1","","21.29","w-PS1","2019-11-27 06:01:26","PS1_Bot1","",""
"50441","AT 2019yde","00:23:21.899","-02:51:19.25","","","","","Pan-STARRS1","Pan-STARRS1","","Pan-STARRS1","PS19idn","PS1 - GPC1","","1","1","","20.93","w-PS1","2019-11-28 05:08:09","PS1_Bot1","",""
"50440","AT 2019ydd","02:42:07.303","+14:31:24.49","","","","","Pan-STARRS1","Pan-STARRS1","","Pan-STARRS1","PS19idl","PS1 - GPC1","","1","1","","21.89","w-PS1","2019-10-23 08:42:43","PS1_Bot1","",""
"50439","AT 2019ydc","10:09:30.975","+10:25:49.53","","","","","Pan-STARRS1","Pan-STARRS1","","Pan-STARRS1","PS19idk","PS1 - GPC1","","1","1","","21.23","w-PS1","2019-12-24 12:17:16","PS1_Bot1","",""
"50438","AT 2019ydb","05:00:25.838","-19:20:17.77","","","","","Pan-STARRS1","Pan-STARRS1","","Pan-STARRS1","PS19idj","PS1 - GPC1","","1","1","","20.81","w-PS1","2019-11-27 10:24:57","PS1_Bot1","",""
"50437","AT 2019yda","07:48:26.602","+31:02:50.98","","","","","Pan-STARRS1","Pan-STARRS1","","Pan-STARRS1","PS19idi","PS1 - GPC1","","1","1","","21.61","w-PS1","2019-11-29 14:48:28","PS1_Bot1","","TESS-active sector/s (19,20);TESS-Sector20;TESS-Sector19"
"50436","AT 2019ycz","03:28:37.246","-13:47:14.71","","","","","Pan-STARRS1","Pan-STARRS1","","Pan-STARRS1","PS19idg","PS1 - GPC1","","1","1","","21.21","w-PS1","2019-10-06 13:16:19","PS1_Bot1","",""
"50435","AT 2019ycy","04:39:23.907","-17:26:10.88","","","","","Pan-STARRS1","Pan-STARRS1","","Pan-STARRS1","PS19idf","PS1 - GPC1","","1","1","","21.26","w-PS1","2019-10-08 13:39:21","PS1_Bot1","",""
"50434","AT 2019ycx","21:38:52.907","+14:38:10.10","","","","","Pan-STARRS1","Pan-STARRS1","","Pan-STARRS1","PS19ide","PS1 - GPC1","","1","1","","20.92","w-PS1","2019-10-27 07:16:19","PS1_Bot1","",""
"50433","AT 2019ycw","06:01:08.658","-04:48:25.40","","","","","Pan-STARRS1","Pan-STARRS1","","Pan-STARRS1","PS19idc","PS1 - GPC1","","1","1","","20.8","w-PS1","2019-10-25 14:08:09","PS1_Bot1","",""
"50432","AT 2019ycv","05:36:39.469","+08:18:38.02","","","","","Pan-STARRS1","Pan-STARRS1","","Pan-STARRS1","PS19idb","PS1 - GPC1","","1","1","","21.17","w-PS1","2019-10-09 14:26:52","PS1_Bot1","",""
"50431","AT 2019ycu","02:21:58.281","-18:05:24.51","","","","","Pan-STARRS1","Pan-STARRS1","","Pan-STARRS1","PS19ida","PS1 - GPC1","","1","1","","21.33","w-PS1","2019-11-03 09:38:52","PS1_Bot1","",""
"50430","AT 2019yct","09:33:11.196","+44:49:46.10","","","","","Pan-STARRS1","Pan-STARRS1","","Pan-STARRS1","PS19icz","PS1 - GPC1","","1","1","","20.25","z-Sloan","2019-12-12 15:20:09","PS1_Bot1","",""
"50429","AT 2019ycs","01:29:09.957","+12:33:16.36","","","","","Pan-STARRS1","Pan-STARRS1","","Pan-STARRS1","PS19icy","PS1 - GPC1","","1","1","","20.2","w-PS1","2019-12-20 07:01:55","PS1_Bot1","",""
"50428","AT 2019ycr","02:55:39.383","+08:10:57.31","","","","","Pan-STARRS1","Pan-STARRS1","","Pan-STARRS1","PS19icx","PS1 - GPC1","","1","1","","20.94","w-PS1","2019-11-04 12:27:21","PS1_Bot1","",""
"50427","AT 2019ycq","03:31:53.258","-16:18:17.65","","","","","Pan-STARRS1","Pan-STARRS1","","Pan-STARRS1","PS19icw","PS1 - GPC1","","1","1","","21.3","w-PS1","2019-10-31 11:35:31","PS1_Bot1","",""
"50426","AT 2019ycp","18:31:33.155","+42:19:38.87","","","","","Pan-STARRS1","Pan-STARRS1","","Pan-STARRS1","PS19icv","PS1 - GPC1","","1","1","","20.27","w-PS1","2019-10-22 05:13:55","PS1_Bot1","",""
