"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Ext. catalog/s"
"70184","AT 2020yre","18:06:30.127","+34:45:28.20","","","","","Pan-STARRS1","Pan-STARRS1","","Pan-STARRS1","PS20ktb","PS1 - GPC1","","1","1","","20.41","w-PS1","2020-08-16 08:34:04.800","PS2_Bot1","",""
"70183","AT 2020yrd","18:15:26.287","+49:44:53.60","","","","","Pan-STARRS1","Pan-STARRS1","","Pan-STARRS1","PS20kta","PS1 - GPC1","","1","1","","20.25","w-PS1","2020-08-17 08:26:52.800","PS2_Bot1","",""
"70182","AT 2020yrc","23:35:16.010","+19:42:00.48","","","","","Pan-STARRS1","Pan-STARRS1","","Pan-STARRS1","PS20ksz","PS1 - GPC1","","1","1","","20.86","w-PS1","2020-08-18 13:40:47.000","PS2_Bot1","",""
"70181","AT 2020yrb","22:21:13.221","+19:24:15.32","","","","","Pan-STARRS1","Pan-STARRS1","","Pan-STARRS1","PS20ksx","PS1 - GPC1","","1","1","","20.01","w-PS1","2020-08-16 12:30:14.400","PS2_Bot1","",""
"70180","AT 2020yra","00:59:00.765","-11:42:13.53","","","","","Pan-STARRS1","Pan-STARRS1","","Pan-STARRS1","PS20ksw","PS1 - GPC1","","1","1","","19.76","w-PS1","2020-07-31 13:20:38.400","PS1_Bot1","","TESS-active sector/s (30,31);TESS-Sector30"
"70179","AT 2020yqz","16:38:28.999","+02:48:18.79","","","","","Pan-STARRS1","Pan-STARRS1","","Pan-STARRS1","PS20ksu","PS1 - GPC1","","1","1","","20.05","w-PS1","2020-08-17 06:15:50.400","PS2_Bot1","",""
"70178","AT 2020yqy","20:30:35.068","-03:27:27.07","","","","","Pan-STARRS1","Pan-STARRS1","","Pan-STARRS1","PS20ksr","PS1 - GPC1","","1","1","","21.11","w-PS1","2020-07-23 11:00:57.600","PS2_Bot1","",""
"70177","AT 2020yqx","21:13:56.189","+04:13:01.89","","","","","Pan-STARRS1","Pan-STARRS1","","Pan-STARRS1","PS20ksq","PS1 - GPC1","","1","1","","21.17","w-PS1","2020-08-19 11:39:50.400","PS2_Bot1","",""
"70176","AT 2020yqw","21:10:01.602","+01:35:47.73","","","","","Pan-STARRS1","Pan-STARRS1","","Pan-STARRS1","PS20ksp","PS1 - GPC1","","1","1","","20.76","w-PS1","2020-08-15 09:37:26.400","PS2_Bot1","",""
"70175","AT 2020yqv","16:31:34.622","+25:20:23.83","","","","","Pan-STARRS1","Pan-STARRS1","","Pan-STARRS1","PS20kso","PS1 - GPC1","","1","1","","20.63","w-PS1","2020-08-22 06:14:24.000","PS2_Bot1","",""
"70174","AT 2020yqu","01:05:22.470","-02:17:33.68","","","","","Pan-STARRS1","Pan-STARRS1","","Pan-STARRS1","PS20ksn","PS1 - GPC1","","1","1","","21.52","w-PS1","2020-08-17 13:55:12.000","PS2_Bot1","","TESS-active sector/s (30,31);TESS-Sector30"
"70173","AT 2020yqt","16:50:45.924","+30:45:14.93","","","","","Pan-STARRS1","Pan-STARRS1","","Pan-STARRS1","PS20ksm","PS1 - GPC1","","1","1","","19.67","y-PS1","2020-08-22 05:29:45.600","PS2_Bot1","",""
"70172","AT 2020yqs","02:27:36.099","+04:29:12.01","","","","","Pan-STARRS1","Pan-STARRS1","","Pan-STARRS1","PS20ksl","PS1 - GPC1","","1","1","","20.56","w-PS1","2020-08-23 13:47:59.000","PS2_Bot1","","TESS-active sector/s (30,31);TESS-Sector30;TESS-Sector31"
"70171","AT 2020yqr","00:22:27.533","+20:54:51.08","","","","","Pan-STARRS1","Pan-STARRS1","","Pan-STARRS1","PS20ksk","PS1 - GPC1","","1","1","","20.53","w-PS1","2020-08-29 13:20:38.400","PS2_Bot1","",""
"70170","AT 2020yqq","17:12:49.446","+10:57:06.88","","","","","Pan-STARRS1","Pan-STARRS1","","Pan-STARRS1","PS20ksj","PS1 - GPC1","","1","1","","20.44","w-PS1","2020-09-05 05:49:55.200","PS2_Bot1","",""
"70169","AT 2020yqp","18:23:12.226","+27:43:07.50","","","","","Pan-STARRS1","Pan-STARRS1","","Pan-STARRS1","PS20ksi","PS1 - GPC1","","1","1","","19.8","w-PS1","2020-09-10 07:14:52.800","PS2_Bot1","",""
"70168","AT 2020yqo","20:33:03.951","-21:12:53.30","","","","","Pan-STARRS1","Pan-STARRS1","","Pan-STARRS1","PS20ksh","PS1 - GPC1","","1","1","","20.89","w-PS1","2020-09-07 06:27:21.600","PS1_Bot1","",""
"70167","AT 2020yqn","22:06:43.102","-05:38:47.95","","","","","Pan-STARRS1","Pan-STARRS1","","Pan-STARRS1","PS20ksf","PS1 - GPC1","","1","1","","21.79","w-PS1","2020-06-29 13:45:07.200","PS1_Bot1","",""
"70166","AT 2020yqm","02:34:41.873","-01:55:38.56","","","","","Pan-STARRS1","Pan-STARRS1","","Pan-STARRS1","PS20kse","PS1 - GPC1","","1","1","","20.57","w-PS1","2020-09-13 13:12:00.000","PS2_Bot1","","TESS-active sector/s (30,31);TESS-Sector30;TESS-Sector31"
"70165","AT 2020yql","02:16:48.787","-12:54:54.61","","","","","Pan-STARRS1","Pan-STARRS1","","Pan-STARRS1","PS20ksd","PS1 - GPC1","","1","1","","20.08","i-Sloan","2020-09-09 13:33:35.000","PS2_Bot1","",""
