"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Ext. catalog/s"
"70247","AT 2020yto","00:17:57.821","+01:19:32.70","","","SDSS J001757.92+011934.6","0.062","ALeRCE, ATLAS, Pan-STARRS1","ZTF, ATLAS, Pan-STARRS1","","ATLAS; Pan-STARRS1; ZTF","ZTF20acordhp","ATLAS1 - ACAM1, P48 - ZTF-Cam, PS1 - GPC1","","1","1","","19.2089","r-ZTF","2020-11-02 05:58:16.000","ALeRCE","",""
"70246","AT 2020ytn","00:34:29.117","+01:18:21.67","","","SDSS J003429.14+011820.0","0.059","ALeRCE, ZTF, ATLAS","ZTF, ATLAS","","ATLAS; ZTF","ZTF20acordqz","ATLAS1 - ACAM1, P48 - ZTF-Cam","","1","1","","19.4368","r-ZTF","2020-11-02 05:58:16.000","ALeRCE","",""
"70245","AT 2020ytm","23:55:09.157","+45:59:21.81","","","WISEA J235509.25+455922.1","","ALeRCE","ZTF","","ZTF","ZTF20acoqvnm","P48 - ZTF-Cam","","1","1","","19.5592","r-ZTF","2020-11-02 05:39:45.000","ALeRCE","",""
"70244","AT 2020ytl","00:53:17.580","+43:17:18.06","","","SDSS J005317.52+431718.7","0.27","ALeRCE","ZTF","","ZTF","ZTF20acoquxr","P48 - ZTF-Cam","","1","1","","20.1443","g-ZTF","2020-11-02 05:21:45.000","ALeRCE","",""
"70243","SN 2020ytk","00:55:22.257","-10:05:48.21","SN II","0.058","SDSS J005522.28-100546.6","0.489","ALeRCE, ATLAS, Pan-STARRS1, ZTF","ZTF, ATLAS, Pan-STARRS1","ePESSTO+","ATLAS; Pan-STARRS1; ZTF","ZTF20acorjop","ATLAS1 - ACAM1, P48 - ZTF-Cam, PS1 - GPC1","ESO-NTT - EFOSC2-NTT","1","1","","19.2657","g-ZTF","2020-11-02 05:03:32.999","ALeRCE","","TESS-active sector/s (30,31);TESS-Sector30"
"70242","SN 2020ytj","23:04:04.410","+20:17:05.10","SN Ia","0.063152","SDSS J230404.46+201706.6","0.111","ALeRCE, ATLAS, GaiaAlerts, ZTF, Fink","ZTF, ATLAS, GaiaAlerts","ZTF","ATLAS; GaiaAlerts; ZTF","ZTF20acoqlrd","ATLAS1 - ACAM1, Gaia - Gaia-photometric, P48 - ZTF-Cam","P60 - SEDM","1","1","","19.3478","g-ZTF","2020-11-02 04:43:34.000","ALeRCE","",""
"70241","AT 2020yti","23:35:23.651","-14:47:49.80","","","2MASX J23352328-1447543","0.05796","ALeRCE, ATLAS, ZTF, Pan-STARRS1","ZTF, ATLAS, Pan-STARRS1","","ATLAS; Pan-STARRS1; ZTF","ZTF20acoredl","ATLAS1 - ACAM1, P48 - ZTF-Cam, PS1 - GPC1","","1","1","","19.858","g-ZTF","2020-11-02 04:00:42.002","ALeRCE","",""
"70240","AT 2020yth","02:01:46.475","+01:10:15.79","","","WISEA J020146.50+011017.6","0.130064","ALeRCE, ZTF, Pan-STARRS1","ZTF, Pan-STARRS1","","Pan-STARRS1; ZTF","ZTF20acoqpyb","P48 - ZTF-Cam, PS1 - GPC1","","1","1","","19.2892","g-ZTF","2020-11-02 05:12:19.002","ALeRCE","",""
"70239","SN 2020ytg","20:48:09.996","-01:12:40.12","SN II","0.056","SDSS-II SN 08477","0.056282","ALeRCE, Pan-STARRS1, YSE, ZTF, ATLAS, Fink","ZTF, Pan-STARRS1, ATLAS","UCSC","ATLAS; Pan-STARRS1; ZTF","ZTF20acoplqe","ATLAS1 - ACAM1, P48 - ZTF-Cam, PS1 - GPC1","Lick-3m - KAST","1","1","","19.7754","r-ZTF","2020-11-02 02:32:11.996","ALeRCE","",""
"70238","AT 2020ytf","22:42:42.719","+17:22:34.74","","","SDSS J224242.11+172226.1","0.065","ALeRCE, ZTF, ATLAS, Pan-STARRS1","ZTF, ATLAS, Pan-STARRS1","","ATLAS; Pan-STARRS1; ZTF","ZTF20acopavl","ATLAS1 - ACAM1, P48 - ZTF-Cam, PS1 - GPC1","","1","1","","20.2485","r-ZTF","2020-10-31 02:36:49.997","ALeRCE","",""
