"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Ext. catalog/s"
"68398","AT 2020wbq","01:16:14.948","-10:39:52.91","","","","","Pan-STARRS1","Pan-STARRS1","","Pan-STARRS1","PS20ivk","PS1 - GPC1","","1","1","","21.48","w-PS1","2020-09-14 11:09:36.000","PS1_Bot1","","TESS-active sector/s (30,31);TESS-Sector30"
"68397","AT 2020wbp","00:20:57.606","-02:34:02.94","","","","","Pan-STARRS1","Pan-STARRS1","","Pan-STARRS1","PS20ivj","PS1 - GPC1","","1","1","","21.71","w-PS1","2020-07-29 13:55:12.000","PS1_Bot1","",""
"68396","AT 2020wbo","00:15:05.665","-16:41:51.19","","","","","Pan-STARRS1","Pan-STARRS1","","Pan-STARRS1","PS20ivi","PS1 - GPC1","","1","1","","20.94","w-PS1","2020-07-21 13:39:21.600","PS1_Bot1","",""
"68395","AT 2020wbn","23:59:44.895","-06:54:33.83","","","","","Pan-STARRS1","Pan-STARRS1","","Pan-STARRS1","PS20ivh","PS1 - GPC1","","1","1","","21.62","w-PS1","2020-07-17 12:38:52.800","PS1_Bot1","",""
"68394","AT 2020wbm","23:01:13.833","-08:02:30.94","","","","","Pan-STARRS1","Pan-STARRS1","","Pan-STARRS1","PS20ivg","PS1 - GPC1","","1","1","","21.97","w-PS1","2020-08-19 10:23:31.200","PS1_Bot1","",""
"68393","AT 2020wbl","00:35:59.778","-17:49:09.76","","","","","Pan-STARRS1","Pan-STARRS1","","Pan-STARRS1","PS20ivf","PS1 - GPC1","","1","1","","21.11","w-PS1","2020-09-14 10:12:00.000","PS1_Bot1","",""
"68392","AT 2020wbk","00:13:10.477","-27:56:23.23","","","","","Pan-STARRS1","Pan-STARRS1","","Pan-STARRS1","PS20ive","PS1 - GPC1","","1","1","","20.1","i-Sloan","2020-08-10 13:22:04.800","PS1_Bot1","",""
"68391","AT 2020wbj","23:22:38.272","-26:39:14.80","","","","","Pan-STARRS1","Pan-STARRS1","","Pan-STARRS1","PS20ivd","PS1 - GPC1","","1","1","","21.29","w-PS1","2020-08-14 11:48:28.800","PS1_Bot1","",""
"68390","AT 2020wbi","23:37:56.555","+14:41:42.73","","","","","Pan-STARRS1","Pan-STARRS1","","Pan-STARRS1","PS20ivc","PS1 - GPC1","","1","1","","21.98","w-PS1","2020-08-19 13:27:50.400","PS1_Bot1","",""
"68389","AT 2020wbh","01:07:18.640","-14:41:45.44","","","","","Pan-STARRS1, YSE","Pan-STARRS1","","Pan-STARRS1","PS20ivb","PS1 - GPC1","","1","1","","20.77","w-PS1","2020-09-22 12:38:52.800","PS1_Bot1","","TESS-active sector/s (30,31);TESS-Sector30"
"68388","AT 2020wbg","00:37:02.419","-08:28:23.89","","","","","Pan-STARRS1","Pan-STARRS1","","Pan-STARRS1","PS20iva","PS1 - GPC1","","1","1","","21.79","i-Sloan","2020-09-09 11:42:43.200","PS1_Bot1","","TESS-active sector/s (30,31);TESS-Sector30"
"68387","AT 2020wbf","02:42:25.037","-04:23:10.83","","","","","Pan-STARRS1","Pan-STARRS1","","Pan-STARRS1","PS20iuz","PS1 - GPC1","","1","1","","21.13","w-PS1","2020-09-12 13:27:50.400","PS1_Bot1","",""
"68386","AT 2020wbe","03:03:06.422","+17:00:09.24","","","","","Pan-STARRS1","Pan-STARRS1","","Pan-STARRS1","PS20iuy","PS1 - GPC1","","1","1","","21.43","w-PS1","2020-09-17 11:31:12.000","PS1_Bot1","",""
"68385","AT 2020wbd","22:54:56.580","+29:28:44.48","","","","","Pan-STARRS1","Pan-STARRS1","","Pan-STARRS1","PS20iux","PS1 - GPC1","","1","1","","20.94","w-PS1","2020-09-21 10:23:31.200","PS1_Bot1","",""
"68384","AT 2020wbc","02:53:24.353","-10:36:24.20","","","","","Pan-STARRS1","Pan-STARRS1","","Pan-STARRS1","PS20iuw","PS1 - GPC1","","1","1","","21.97","w-PS1","2020-09-16 12:38:52.800","PS1_Bot1","",""
"68383","AT 2020wbb","20:42:58.814","-09:05:48.53","","","","","Pan-STARRS1","Pan-STARRS1","","Pan-STARRS1","PS20iuv","PS1 - GPC1","","1","1","","21.63","w-PS1","2020-09-11 05:58:33.600","PS1_Bot1","",""
"68382","AT 2020wba","03:01:14.281","+11:54:42.16","","","","","Pan-STARRS1","Pan-STARRS1","","Pan-STARRS1","PS20iuu","PS1 - GPC1","","1","1","","21.71","w-PS1","2020-09-26 13:55:12.000","PS1_Bot1","",""
"68381","AT 2020waz","23:39:39.052","-13:06:17.89","","","","","Pan-STARRS1","Pan-STARRS1","","Pan-STARRS1","PS20iut","PS1 - GPC1","","1","1","","21.77","w-PS1","2020-07-28 13:50:52.800","PS1_Bot1","",""
"68380","AT 2020way","02:36:57.103","-13:19:07.87","","","","","Pan-STARRS1","Pan-STARRS1","","Pan-STARRS1","PS20ius","PS1 - GPC1","","1","1","","20.28","i-Sloan","2020-09-27 12:07:12.000","PS1_Bot1","",""
"68379","AT 2020wax","23:48:40.744","+41:17:32.53","","","SDSS J234840.77+411733.0","0.075","ALeRCE, ZTF, ATLAS, Pan-STARRS1","ZTF, ATLAS, Pan-STARRS1","","ATLAS; Pan-STARRS1; ZTF","ZTF20achkmsl","ATLAS1 - ACAM1, P48 - ZTF-Cam, PS1 - GPC1","","1","1","","19.782","r-ZTF","2020-10-09 05:44:35.002","ALeRCE","",""
"68378","AT 2020waw","23:46:04.032","+17:21:20.74","","","SDSS J234604.04+172120.8","0.207","ALeRCE, Pan-STARRS1, ZTF, ATLAS","ZTF, Pan-STARRS1, ATLAS","","ATLAS; Pan-STARRS1; ZTF","ZTF20achqeso","ATLAS1 - ACAM1, P48 - ZTF-Cam, PS1 - GPC1","","1","1","","20.5298","r-ZTF","2020-10-09 05:36:22.997","ALeRCE","",""
"68377","AT 2020wav","00:37:47.874","+20:19:54.84","","","SDSS J003747.73+201958.3","0.159","ALeRCE, Pan-STARRS1","ZTF, Pan-STARRS1","","Pan-STARRS1; ZTF","ZTF20aciifmf","P48 - ZTF-Cam, PS1 - GPC1","","1","1","","20.6062","r-ZTF","2020-10-09 05:37:47.004","ALeRCE","",""
"68376","AT 2020wau","21:21:23.669","+24:25:01.19","","","WISEA J212123.43+242500.5","","ALeRCE, ATLAS, ZTF","ZTF, ATLAS","","ATLAS; ZTF","ZTF20acifyxi","ATLAS1 - ACAM1, P48 - ZTF-Cam","","1","1","","20.7689","g-ZTF","2020-10-09 04:52:30.000","ALeRCE","",""
"68375","AT 2020wat","22:31:23.817","+40:08:56.80","","","WISEA J223123.77+400857.4","","ALeRCE","ZTF","","ZTF","ZTF20acihbhx","P48 - ZTF-Cam","","1","1","","20.6972","g-ZTF","2020-10-09 06:25:39.000","ALeRCE","",""
"68374","AT 2020was","03:50:38.508","+35:38:06.79","","","SDSS J035038.47+353812.6","0.065","ALeRCE","ZTF","","ZTF","ZTF20acilbtg","P48 - ZTF-Cam","","1","1","","19.9815","g-ZTF","2020-10-09 08:27:11.998","ALeRCE","",""
"68373","AT 2020war","22:52:47.090","+30:23:50.92","","","SDSS J225247.07+302350.7","0.123","ALeRCE, YSE","ZTF, Pan-STARRS1","","Pan-STARRS1; ZTF","ZTF20achqgll","P48 - ZTF-Cam, PS1 - GPC1","","1","1","","20.5842","g-ZTF","2020-10-09 06:18:24.002","ALeRCE","",""
"68372","AT 2020waq","22:35:03.994","+76:20:48.60","","","","","ALeRCE, ZTF","ZTF","","ZTF","ZTF20achzyyt","P48 - ZTF-Cam","","1","1","","20.4334","r-ZTF","2020-10-09 05:49:20.001","ALeRCE","",""
"68371","SN 2020wap","00:53:51.724","-18:18:39.19","SN Ia","0.1","WISEA J005351.74-181836.4","","ALeRCE, ZTF, ATLAS, Pan-STARRS1","ZTF, ATLAS, Pan-STARRS1","ZTF","ATLAS; Pan-STARRS1; ZTF","ZTF20achtpbn","ATLAS1 - ACAM1, P48 - ZTF-Cam, PS1 - GPC1","P60 - SEDM","1","1","","19.9205","g-ZTF","2020-10-08 08:36:49.997","ALeRCE","","TESS-active sector/s (30,31);TESS-Sector30"
"68370","AT 2020wao","01:51:57.181","+22:19:40.27","","","SDSS J015157.06+221941.9","0.099","ALeRCE","ZTF","","ZTF","ZTF20achtgpi","P48 - ZTF-Cam","","1","1","","19.999","r-ZTF","2020-10-08 07:07:00.002","ALeRCE","",""
"68369","AT 2020wan","03:23:32.268","-16:26:27.57","","","WISEA J032332.41-162627.6","","ALeRCE, Pan-STARRS1","ZTF, Pan-STARRS1","","Pan-STARRS1; ZTF","ZTF20achtyki","P48 - ZTF-Cam, PS1 - GPC1","","1","1","","19.7281","g-ZTF","2020-10-08 09:02:20.003","ALeRCE","",""
