"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Ext. catalog/s"
"5151","SN 2009kt","02:28:28.370","-04:04:44.11","SN Ia","","Anon.           ","","","","","","","","","0","1","","21.5","","2009-09-30 00:00:00.000","","[Discoverer=Pan-STARRS1 survey; DiscoveryRef=CBET 2012; PositionRef=CBET 2012; Orig Type=Ia   ]",""
"5152","SN 2009ku","03:29:53.230","-28:05:12.19","SN Ia-pec","","Anon.           ","","","","","","","","","0","1","","19.9","","2009-10-04 00:00:00.000","","[Discoverer=Pan-STARRS1 survey; DiscoveryRef=CBET 2012; PositionRef=CBET 2012; Orig Type=Ia-p ]",""
"5153","SN 2009kv","02:21:06.600","-05:01:23.81","SN Ia","","Anon.           ","","","","","","","","","0","1","","21.2","","2009-10-18 00:00:00.000","","[Discoverer=Pan-STARRS1 survey; DiscoveryRef=CBET 2012; PositionRef=CBET 2012; Orig Type=Ia   ]",""
"5154","SN 2009kw","03:38:23.390","-28:15:11.81","SN Ia","","Anon.           ","","","","","","","","","0","1","","21.3","","2009-10-18 00:00:00.000","","[Discoverer=Pan-STARRS1 survey; DiscoveryRef=CBET 2012; PositionRef=CBET 2012; Orig Type=Ia   ]",""
"5155","SN 2009kx","02:21:13.750","-03:54:35.78","SN Ia","","Anon.           ","","","","","","","","","0","1","","21","","2009-10-18 00:00:00.000","","[Discoverer=Pan-STARRS1 survey; DiscoveryRef=CBET 2012; PositionRef=CBET 2012; Orig Type=Ia   ]",""
"5156","SN 2009ky","03:34:28.800","-27:54:30.31","SN Ia","","Anon.           ","","","","","","","","","0","1","","20.8","","2009-10-18 00:00:00.000","","[Discoverer=Pan-STARRS1 survey; DiscoveryRef=CBET 2012; PositionRef=CBET 2012; Orig Type=Ia   ]",""
"5157","SN 2009kz","02:22:40.070","-04:01:38.32","SN Ia","","Anon.           ","","","","","","","","","0","1","","21","","2009-10-18 00:00:00.000","","[Discoverer=Pan-STARRS1 survey; DiscoveryRef=CBET 2012; PositionRef=CBET 2012; Orig Type=Ia   ]",""
"5158","SN 2009L","12:58:48.101","+27:40:25.61","SN Ia","","NGC 4854        ","","","","","","","","","0","1","","16.8","","2009-01-13 00:00:00.000","","[Discoverer=Yuan et al. (ROTSE); DiscoveryRef=CBET 1666; PositionRef=CBET 1666; Orig Type=Ia   ]",""
"5159","SN 2009la","04:22:45.739","-40:36:48.10","SN Ia","","NGC 1572        ","","","","","","","","","0","1","","15.7","","2009-11-12 00:00:00.000","","[Discoverer=Parker; DiscoveryRef=CBET 2013; PositionRef=CBET 2013; Orig Type=Ia   ]",""
"5160","SN 2009lb","04:04:35.971","+33:17:26.99","SN IIP","","UGC 2944        ","","","","","","","","","0","1","","17.3","","2009-11-12 00:00:00.000","","[Discoverer=Rich; DiscoveryRef=CBET 2014; PositionRef=CBET 2014; Orig Type=IIP  ]",""
"5161"," 2009lc","21:36:50.460","-46:57:33.70","","","Anon.           ","","","","","","","","","0","1","","17.7","","2009-11-14 00:00:00.000","","[Discoverer=Monard; DiscoveryRef=CBET 2018; PositionRef=CBET 2018; Orig Type=Unknown]",""
"5162","SN 2009ld","22:49:48.410","+11:38:46.79","SN IIP","","Anon.           ","","","","","","","","","0","1","","18.5","","2009-11-05 00:00:00.000","","[Discoverer=Sanders, Holtzman; LOSS; DiscoveryRef=CBET 2021; PositionRef=CBET 2021; Orig Type=IIP  ]",""
"5163","SN 2009le","02:09:17.141","-23:24:44.78","SN Ia","","ESO 478-6       ","","","","","","","","","0","1","","16.6","","2009-11-16 00:00:00.000","","[Discoverer=Pignata et al. (CHASE); DiscoveryRef=CBET 2022; PositionRef=CBET 2022; Orig Type=Ia   ]",""
"5164","SN 2009lf","02:01:39.610","+15:19:58.12","SN Ia","","Anon.           ","","","","","","","","","0","1","","18.5","","2009-11-06 00:00:00.000","","[Discoverer=Drake et al. (CRTS); DiscoveryRef=CBET 2023; PositionRef=CBET 2023; Orig Type=Ia   ]",""
"5165","SN 2009lg","23:38:49.930","+28:15:54.22","SN Ia","","Anon.           ","","","","","","","","","0","1","","18","","2009-11-10 00:00:00.000","","[Discoverer=Drake et al. (CRTS); DiscoveryRef=CBET 2023; PositionRef=CBET 2023; Orig Type=Ia   ]",""
"5166","SN 2009lh","09:53:22.519","-18:38:26.09","SN Ia","","Anon.           ","","","","","","","","","0","1","","17.7","","2009-11-16 00:00:00.000","","[Discoverer=Maza, Pignata et al. (CHASE); DiscoveryRef=CBET 2024; PositionRef=CBET 2024; Orig Type=Ia   ]",""
"5167","SN 2009li","00:22:51.401","+06:58:11.78","SN Ia","","IC 1549         ","","","","","","","","","0","1","","18","","2009-11-16 00:00:00.000","","[Discoverer=LOSS; DiscoveryRef=CBET 2026; PositionRef=CBET 2026; Orig Type=Ia   ]",""
"5168","SN 2009lj","03:12:32.491","+39:18:42.01","SN Ic","","NGC 1233        ","","","","","","","","","0","1","","19","","2009-11-13 00:00:00.000","","[Discoverer=LOSS; DiscoveryRef=CBET 2027; PositionRef=CBET 2027; Orig Type=Ic   ]",""
"5169","SN 2009lk","01:57:08.659","+04:05:07.30","SN IIP","","Anon.           ","","","","","","","","","0","1","","17.8","","2009-11-17 00:00:00.000","","[Discoverer=Pignata et al. (CHASE); DiscoveryRef=CBET 2028; PositionRef=CBET 2028; Orig Type=IIP  ]",""
"5170","SN 2009ll","06:42:12.521","-61:04:27.19","SN IIP","","ESO 122-4       ","","","","","","","","","0","1","","18.4","","2009-11-12 00:00:00.000","","[Discoverer=Maza, Pignata et al. (CHASE); DiscoveryRef=CBET 2031; PositionRef=CBET 2031; Orig Type=IIP  ]",""
"5171","SN 2009lm","09:43:12.070","-09:36:19.91","SN IIP","","NGC 2980        ","","","","","","","","","0","1","","18.5","","2009-11-17 00:00:00.000","","[Discoverer=LOSS; DiscoveryRef=CBET 2032; PositionRef=CBET 2032; Orig Type=IIP  ]",""
"5172","SN 2009ln","03:07:56.501","+16:21:45.50","SN IIP","","Anon.           ","","","","","","","","","0","1","","18.2","","2009-11-18 00:00:00.000","","[Discoverer=Kryachko, Satovskiy; DiscoveryRef=CBET 2035; PositionRef=CBET 2035; Orig Type=IIP  ]",""
"5173","SN 2009lo","01:09:21.480","+14:20:22.81","SN IIP","","UGC 717         ","","","","","","","","","0","1","","18.2","","2009-11-20 00:00:00.000","","[Discoverer=LOSS; DiscoveryRef=CBET 2036; PositionRef=CBET 2036; Orig Type=IIP  ]",""
"5174","SN 2009lp","10:37:28.450","-27:39:18.90","SN Ia","","Anon.           ","","","","","","","","","0","1","","16.5","","2009-11-17 00:00:00.000","","[Discoverer=Pignata et al. (CHASE); DiscoveryRef=CBET 2037; PositionRef=CBET 2037; Orig Type=Ia   ]",""
"5175","SN 2009lq","04:14:52.541","-62:50:14.78","SN IIP","","Anon.           ","","","","","","","","","0","1","","17.9","","2009-11-23 00:00:00.000","","[Discoverer=Maza, Pignata et al. (CHASE); DiscoveryRef=CBET 2039; PositionRef=CBET 2039; Orig Type=IIP  ]",""
"5176","SN 2009lr","23:14:14.431","-02:45:11.92","SN Ia","","Anon.           ","","","","","","","","","0","1","","17.3","","2009-11-23 00:00:00.000","","[Discoverer=LOSS; DiscoveryRef=CBET 2040; PositionRef=CBET 2040; Orig Type=Ia   ]",""
"5177","SN 2009ls","10:51:14.570","+05:50:58.88","SN II","","NGC 3423        ","","","","","","","","","0","1","","15.1","","2009-11-23 00:00:00.000","","[Discoverer=Nishiyama, Kabashima; DiscoveryRef=CBET 2041; PositionRef=CBET 2041; Orig Type=II   ]",""
