"ID","Name","RA","DEC","Type","Redshift","Host Name","Host Redshift","Source Group","Associated Group/s","Disc. Internal Name","TNS AT","Public","End Prop. Period","Discovery Mag","Discovery Mag Filter","Discovery Date (UT)","Sender"
"16270","AT 2016ieh","18:53:07.94","+06:44:08.77","","","","","GaiaAlerts","ATS, CSP, DAO_OTS, DES, GaiaAlerts, iPTF, KEGS, NUTS, OGLE, OOICLE, Padova-Asiago, Pan-STARRS1, XOSS, XTSS","Gaia16buo","1","1","","15.54","G-Gaia","2016-10-20 06:50:23","Gaia_Bot1"
"16271","AT 2016iei","13:21:45.46","+31:14:22.92","","","","","GaiaAlerts","ATS, CSP, DAO_OTS, DES, GaiaAlerts, iPTF, KEGS, NUTS, OGLE, OOICLE, Padova-Asiago, Pan-STARRS1, XOSS, XTSS","Gaia16bup","1","1","","17.49","G-Gaia","2016-11-13 14:03:50","Gaia_Bot1"
"16272","AT 2016iej","00:13:56.40","-27:43:22.33","","","","","GaiaAlerts","ATS, CSP, DAO_OTS, DES, GaiaAlerts, iPTF, KEGS, NUTS, OGLE, OOICLE, Padova-Asiago, Pan-STARRS1, XOSS, XTSS","Gaia16buq","1","1","","18.65","G-Gaia","2016-11-14 03:40:19","Gaia_Bot1"
"16273","AT 2016iek","08:03:27.94","+01:19:22.30","","","","","GaiaAlerts","ATS, CSP, DAO_OTS, DES, GaiaAlerts, iPTF, KEGS, NUTS, OGLE, OOICLE, Padova-Asiago, Pan-STARRS1, XOSS, XTSS","Gaia16bur","1","1","","18.59","G-Gaia","2016-11-14 09:31:40","Gaia_Bot1"
"16274","AT 2016iel","10:55:34.39","+23:24:51.48","","","","","GaiaAlerts","ATS, CSP, DAO_OTS, DES, GaiaAlerts, iPTF, KEGS, NUTS, OGLE, OOICLE, Padova-Asiago, Pan-STARRS1, XOSS, XTSS","Gaia16bus","1","1","","18.57","G-Gaia","2016-11-14 00:53:16","Gaia_Bot1"
"16275","AT 2016iem","12:18:18.34","+29:15:28.69","","","","","GaiaAlerts","ATS, CSP, DAO_OTS, DES, GaiaAlerts, iPTF, KEGS, NUTS, OGLE, OOICLE, Padova-Asiago, Pan-STARRS1, XOSS, XTSS","Gaia16but","1","1","","18.33","G-Gaia","2016-11-13 18:31:40","Gaia_Bot1"
"16276","AT 2016ien","18:32:05.04","+09:22:21.68","","","","","GaiaAlerts","ATS, CSP, DAO_OTS, DES, GaiaAlerts, iPTF, KEGS, NUTS, OGLE, OOICLE, Padova-Asiago, Pan-STARRS1, XOSS, XTSS","Gaia16buu","1","1","","16.55","G-Gaia","2016-11-13 18:48:57","Gaia_Bot1"
"16277","AT 2016ieo","18:08:33.20","+12:41:09.85","","","","","GaiaAlerts","ATS, CSP, DAO_OTS, DES, GaiaAlerts, iPTF, KEGS, NUTS, OGLE, OOICLE, Padova-Asiago, Pan-STARRS1, XOSS, XTSS","Gaia16buv","1","1","","18.89","G-Gaia","2016-11-13 23:09:36","Gaia_Bot1"
"16278","AT 2016iep","21:39:10.67","-16:37:56.71","","","","","GaiaAlerts","ATS, CSP, DAO_OTS, DES, GaiaAlerts, iPTF, KEGS, NUTS, OGLE, OOICLE, Padova-Asiago, Pan-STARRS1, XOSS, XTSS","Gaia16bux","1","1","","18.58","G-Gaia","2016-11-13 22:14:52","Gaia_Bot1"
"16279","SN 2016ieq","21:22:25.19","-11:56:54.82","SN IIn","0.066","","","GaiaAlerts","ATS, CSP, DAO_OTS, DES, GaiaAlerts, iPTF, KEGS, NUTS, OGLE, OOICLE, Padova-Asiago, Pan-STARRS1, XOSS, XTSS","Gaia16buy","1","1","","17.95","G-Gaia","2016-11-14 10:20:38","Gaia_Bot1"
"16280","AT 2016ier","08:39:07.47","+04:34:14.41","","","","","GaiaAlerts","ATS, CSP, DAO_OTS, DES, GaiaAlerts, iPTF, KEGS, NUTS, OGLE, OOICLE, Padova-Asiago, Pan-STARRS1, XOSS, XTSS","Gaia16buz","1","1","","18.95","G-Gaia","2016-11-14 19:35:02","Gaia_Bot1"
"16281","AT 2016ies","11:36:14.19","+21:39:57.49","","","","","GaiaAlerts","ATS, CSP, DAO_OTS, DES, GaiaAlerts, iPTF, KEGS, NUTS, OGLE, OOICLE, Padova-Asiago, Pan-STARRS1, XOSS, XTSS","Gaia16bvc","1","1","","18.63","G-Gaia","2016-11-15 06:44:38","Gaia_Bot1"
"16282","AT 2016iet","12:32:33.23","+27:07:15.49","","","","","GaiaAlerts","ATS, CSP, DAO_OTS, DES, GaiaAlerts, iPTF, KEGS, NUTS, OGLE, OOICLE, Padova-Asiago, Pan-STARRS1, XOSS, XTSS","Gaia16bvd","1","1","","18.7","G-Gaia","2016-11-14 14:16:48","Gaia_Bot1"
"16283","AT 2016ieu","19:44:33.23","+04:26:54.74","","","","","GaiaAlerts","ATS, CSP, DAO_OTS, DES, GaiaAlerts, iPTF, KEGS, NUTS, OGLE, OOICLE, Padova-Asiago, Pan-STARRS1, XOSS, XTSS","Gaia16bve","1","1","","18.09","G-Gaia","2016-11-15 04:48:00","Gaia_Bot1"
"16284","AT 2016iev","19:25:17.47","+08:39:21.78","","","","","GaiaAlerts","ATS, CSP, DAO_OTS, DES, GaiaAlerts, iPTF, KEGS, NUTS, OGLE, OOICLE, Padova-Asiago, Pan-STARRS1, XOSS, XTSS","Gaia16bvf","1","1","","18.48","G-Gaia","2016-11-15 16:53:45","Gaia_Bot1"
"16285","SN 2016iew","06:13:11.53","-24:16:19.49","SN Ia","0.058","","","ATLAS","ATLAS, ATS, CSP, DAO_OTS, DES, GaiaAlerts, iPTF, KEGS, NUTS, OGLE, OOICLE, Padova-Asiago, Pan-STARRS1, XOSS, XTSS","ATLAS16dwx","1","1","","18.18","orange-ATLAS","2016-11-11 13:22:04","ATLAS_Bot1"
"16286","AT 2016iex","21:02:42.08","-04:24:00.17","","","","","Pan-STARRS1","ATS, CSP, DAO_OTS, DES, iPTF, KEGS, NUTS, OGLE, OOICLE, Padova-Asiago, Pan-STARRS1, XOSS, XTSS","PS16fca","1","1","","19.52","i-Sloan","2016-11-14 04:53:45","PS1_Bot1"
"16287","AT 2016iey","05:37:26.35","+68:32:50.45","","","","","Pan-STARRS1","ATS, CSP, DAO_OTS, DES, iPTF, KEGS, NUTS, OGLE, OOICLE, Padova-Asiago, Pan-STARRS1, XOSS, XTSS","PS16fbz","1","1","","19.7","i-Sloan","2016-11-13 11:42:43","PS1_Bot1"
"16288","AT 2016iez","09:15:28.00","+04:04:26.71","","","","","Pan-STARRS1","ATS, CSP, DAO_OTS, DES, iPTF, KEGS, NUTS, OGLE, OOICLE, Padova-Asiago, Pan-STARRS1, XOSS, XTSS","PS16fcc","1","1","","20.63","i-Sloan","2016-11-14 15:00:00","PS1_Bot1"
"16289","AT 2016ifa","09:08:04.40","+05:28:41.70","","","","","Pan-STARRS1","ATS, CSP, DAO_OTS, DES, iPTF, KEGS, NUTS, OGLE, OOICLE, Padova-Asiago, Pan-STARRS1, XOSS, XTSS","PS16fcb","1","1","","20.37","i-Sloan","2016-11-14 14:45:36","PS1_Bot1"
"16290","AT 2016ifb","22:38:03.86","-12:14:32.21","","","","","Pan-STARRS1","ATS, CSP, DAO_OTS, DES, iPTF, KEGS, NUTS, OGLE, OOICLE, Padova-Asiago, Pan-STARRS1, XOSS, XTSS","PS16fcd","1","1","","19.26","i-Sloan","2016-11-15 05:05:16","PS1_Bot1"
"16291","AT 2016ifc","23:58:06.49","-19:47:34.22","","","","","GaiaAlerts","ATS, CSP, DAO_OTS, DES, GaiaAlerts, iPTF, KEGS, NUTS, OGLE, OOICLE, Padova-Asiago, Pan-STARRS1, XOSS, XTSS","Gaia16bvh","1","1","","18.89","G-Gaia","2016-11-16 03:48:57","Gaia_Bot1"
"16292","AT 2016ifd","12:52:29.81","+24:09:02.95","","","","","GaiaAlerts","ATS, CSP, DAO_OTS, DES, GaiaAlerts, iPTF, KEGS, NUTS, OGLE, OOICLE, Padova-Asiago, Pan-STARRS1, XOSS, XTSS","Gaia16bvj","1","1","","18.97","G-Gaia","2016-11-15 20:12:28","Gaia_Bot1"
"16293","AT 2016ife","11:39:31.36","+19:00:57.85","","","","","GaiaAlerts","ATS, CSP, DAO_OTS, DES, GaiaAlerts, iPTF, KEGS, NUTS, OGLE, OOICLE, Padova-Asiago, Pan-STARRS1, XOSS, XTSS","Gaia16bvk","1","1","","18.78","G-Gaia","2016-11-16 00:46:04","Gaia_Bot1"
"16294","AT 2016iff","18:48:55.25","+13:53:22.60","","","","","GaiaAlerts","ATS, CSP, DAO_OTS, DES, GaiaAlerts, iPTF, KEGS, NUTS, OGLE, OOICLE, Padova-Asiago, Pan-STARRS1, XOSS, XTSS","Gaia16bvm","1","1","","17.47","G-Gaia","2016-11-15 23:03:50","Gaia_Bot1"
"16295","AT 2016ifg","18:52:33.44","+14:27:51.95","","","","","GaiaAlerts","ATS, CSP, DAO_OTS, DES, GaiaAlerts, iPTF, KEGS, NUTS, OGLE, OOICLE, Padova-Asiago, Pan-STARRS1, XOSS, XTSS","Gaia16bvn","1","1","","18.26","G-Gaia","2016-11-16 05:03:50","Gaia_Bot1"
"16296","AT 2016ifh","18:49:43.49","+14:57:04.54","","","","","GaiaAlerts","ATS, CSP, DAO_OTS, DES, GaiaAlerts, iPTF, KEGS, NUTS, OGLE, OOICLE, Padova-Asiago, Pan-STARRS1, XOSS, XTSS","Gaia16bvo","1","1","","18.78","G-Gaia","2016-11-16 11:03:50","Gaia_Bot1"
"16297","AT 2016ifi","18:32:37.78","+16:19:07.64","","","","","GaiaAlerts","ATS, CSP, DAO_OTS, DES, GaiaAlerts, iPTF, KEGS, NUTS, OGLE, OOICLE, Padova-Asiago, Pan-STARRS1, XOSS, XTSS","Gaia16bvp","1","1","","18.21","G-Gaia","2016-11-16 05:08:09","Gaia_Bot1"
"16298","AT 2016ifj","02:33:53.05","-25:55:43.25","","","","","GaiaAlerts","ATS, CSP, DAO_OTS, DES, GaiaAlerts, iPTF, KEGS, NUTS, OGLE, OOICLE, Padova-Asiago, Pan-STARRS1, XOSS, XTSS","Gaia16bvr","1","1","","18.96","G-Gaia","2016-11-16 09:14:24","Gaia_Bot1"
"16299","SN 2016ifk","02:47:33.24","-26:29:21.98","SN Ia","0.058","","","GaiaAlerts","ATLAS, ATS, CSP, DAO_OTS, DES, GaiaAlerts, iPTF, KEGS, NUTS, OGLE, OOICLE, Padova-Asiago, Pan-STARRS1, XOSS, XTSS","Gaia16bvs","1","1","","17.65","G-Gaia","2016-11-16 03:11:31","Gaia_Bot1"
"16300","AT 2016ifl","01:45:35.87","+23:08:26.26","","","","","Pan-STARRS1","ATS, CSP, DAO_OTS, DES, iPTF, KEGS, NUTS, OGLE, OOICLE, Padova-Asiago, Pan-STARRS1, XOSS, XTSS","PS16fcf","1","1","","18.34","i-Sloan","2016-11-15 09:48:57","PS1_Bot1"
"16301","AT 2016ifm","00:34:36.83","-25:35:09.36","","","","","Pan-STARRS1","ATS, CSP, DAO_OTS, DES, iPTF, KEGS, NUTS, OGLE, OOICLE, Padova-Asiago, Pan-STARRS1, XOSS, XTSS","PS16fce","1","1","","19.52","i-Sloan","2016-11-15 06:27:21","PS1_Bot1"
"16302","AT 2016ifn","02:02:18.77","+19:39:30.98","","","","","Pan-STARRS1","ATS, CSP, DAO_OTS, DES, iPTF, KEGS, NUTS, OGLE, OOICLE, Padova-Asiago, Pan-STARRS1, XOSS, XTSS","PS16fcg","1","1","","19.63","i-Sloan","2016-11-15 09:54:43","PS1_Bot1"
"16303","AT 2016ifo","18:12:35.10","+18:15:47.95","","","","","GaiaAlerts","ATS, CSP, DAO_OTS, DES, GaiaAlerts, iPTF, KEGS, NUTS, OGLE, OOICLE, Padova-Asiago, Pan-STARRS1, XOSS, XTSS","Gaia16bvt","1","1","","18.67","G-Gaia","2016-11-16 05:12:28","Gaia_Bot1"
"16304","AT 2016ifp","06:42:41.80","-31:17:33.15","","","","","Pan-STARRS1","ATS, CSP, DAO_OTS, DES, iPTF, KEGS, NUTS, OGLE, OOICLE, Padova-Asiago, Pan-STARRS1, XOSS, XTSS","PS16fde","1","1","","19.66","i-Sloan","2016-11-13 13:00:28","PS1_Bot1"
"16305","AT 2016ifq","06:05:32.08","+60:26:42.64","","","","","Pan-STARRS1","ATS, CSP, DAO_OTS, DES, iPTF, KEGS, NUTS, OGLE, OOICLE, Padova-Asiago, Pan-STARRS1, XOSS, XTSS","PS16fdf","1","1","","19.36","i-Sloan","2016-11-14 13:14:52","PS1_Bot1"
"16306","AT 2016ifr","02:51:11.41","+26:47:22.34","","","","","Pan-STARRS1","ATS, CSP, DAO_OTS, DES, iPTF, KEGS, NUTS, OGLE, OOICLE, Padova-Asiago, Pan-STARRS1, XOSS, XTSS","PS16fcm","1","1","","21.45","w-PS1","2016-10-08 09:43:12","PS1_Bot1"
"16307","AT 2016ifs","02:29:40.92","+26:02:11.89","","","","","Pan-STARRS1","ATS, CSP, DAO_OTS, DES, iPTF, KEGS, NUTS, OGLE, OOICLE, Padova-Asiago, Pan-STARRS1, XOSS, XTSS","PS16fcl","1","1","","21.63","w-PS1","2016-10-08 09:38:52","PS1_Bot1"
"16308","AT 2016ift","17:57:55.14","+24:06:32.98","","","","","Pan-STARRS1","ATS, CSP, DAO_OTS, DES, iPTF, KEGS, NUTS, OGLE, OOICLE, Padova-Asiago, Pan-STARRS1, XOSS, XTSS","PS16fco","1","1","","19.66","i-Sloan","2016-10-08 05:54:14","PS1_Bot1"
"16309","AT 2016ifu","02:52:13.91","+27:07:11.55","","","","","Pan-STARRS1","ATS, CSP, DAO_OTS, DES, iPTF, KEGS, NUTS, OGLE, OOICLE, Padova-Asiago, Pan-STARRS1, XOSS, XTSS","PS16fcn","1","1","","20.63","w-PS1","2016-10-08 09:43:12","PS1_Bot1"
"16310","AT 2016ifv","18:03:00.13","+31:03:54.47","","","","","Pan-STARRS1","ATS, CSP, DAO_OTS, DES, iPTF, KEGS, NUTS, OGLE, OOICLE, Padova-Asiago, Pan-STARRS1, XOSS, XTSS","PS16fcq","1","1","","20.38","i-Sloan","2016-10-08 06:14:24","PS1_Bot1"
"16311","AT 2016ifw","17:59:33.65","+25:19:01.15","","","","","Pan-STARRS1","ATS, CSP, DAO_OTS, DES, iPTF, KEGS, NUTS, OGLE, OOICLE, Padova-Asiago, Pan-STARRS1, XOSS, XTSS","PS16fcp","1","1","","20.33","i-Sloan","2016-10-08 05:54:14","PS1_Bot1"
"16312","AT 2016ifx","18:33:24.44","+33:50:55.81","","","","","Pan-STARRS1","ATS, CSP, DAO_OTS, DES, iPTF, KEGS, NUTS, OGLE, OOICLE, Padova-Asiago, Pan-STARRS1, XOSS, XTSS","PS16fcs","1","1","","20.7","i-Sloan","2016-10-08 06:10:04","PS1_Bot1"
"16313","AT 2016ify","18:05:25.77","+30:08:51.14","","","","","Pan-STARRS1","ATS, CSP, DAO_OTS, DES, iPTF, KEGS, NUTS, OGLE, OOICLE, Padova-Asiago, Pan-STARRS1, XOSS, XTSS","PS16fcr","1","1","","20.61","i-Sloan","2016-10-08 05:55:40","PS1_Bot1"
"16314","AT 2016ifz","00:20:53.69","-17:13:29.01","","","","","Pan-STARRS1","ATS, CSP, DAO_OTS, DES, iPTF, KEGS, NUTS, OGLE, OOICLE, Padova-Asiago, Pan-STARRS1, XOSS, XTSS","PS16fcu","1","1","","19.24","i-Sloan","2016-10-09 09:43:12","PS1_Bot1"
"16315","AT 2016iga","00:42:23.41","+01:14:48.26","","","","","Pan-STARRS1","ATS, CSP, DAO_OTS, DES, iPTF, KEGS, NUTS, OGLE, OOICLE, Padova-Asiago, Pan-STARRS1, XOSS, XTSS","PS16fcw","1","1","","20.11","i-Sloan","2016-10-09 08:39:50","PS1_Bot1"
"16316","AT 2016igb","03:13:15.38","-02:28:25.07","","","","","Pan-STARRS1","ATS, CSP, DAO_OTS, DES, iPTF, KEGS, NUTS, OGLE, OOICLE, Padova-Asiago, Pan-STARRS1, XOSS, XTSS","PS16fcx","1","1","","20.95","w-PS1","2016-10-09 11:55:40","PS1_Bot1"
"16317","AT 2016igc","07:53:02.17","+27:41:58.86","","","","","Pan-STARRS1","ATS, CSP, DAO_OTS, DES, iPTF, KEGS, NUTS, OGLE, OOICLE, Padova-Asiago, Pan-STARRS1, XOSS, XTSS","PS16fda","1","1","","22.15","w-PS1","2016-11-10 12:48:57","PS1_Bot1"
"16318","AT 2016igd","07:42:08.64","+27:16:28.89","","","","","Pan-STARRS1","ATS, CSP, DAO_OTS, DES, iPTF, KEGS, NUTS, OGLE, OOICLE, Padova-Asiago, Pan-STARRS1, XOSS, XTSS","PS16fcz","1","1","","21.91","w-PS1","2016-11-10 12:50:24","PS1_Bot1"
"16319","AT 2016ige","01:05:01.59","-18:05:12.67","","","","","Pan-STARRS1","ATS, CSP, DAO_OTS, DES, iPTF, KEGS, NUTS, OGLE, OOICLE, Padova-Asiago, Pan-STARRS1, XOSS, XTSS","PS16fcj","1","1","","18.87","i-Sloan","2016-11-14 08:26:52","PS1_Bot1"
"16320","AT 2016igf","07:53:56.66","+29:29:28.13","","","","","Pan-STARRS1","ATS, CSP, DAO_OTS, DES, iPTF, KEGS, NUTS, OGLE, OOICLE, Padova-Asiago, Pan-STARRS1, XOSS, XTSS","PS16fdb","1","1","","20.59","w-PS1","2016-11-10 12:47:31","PS1_Bot1"
"16321","AT 2016igg","06:14:45.32","-24:29:55.28","","","","","Pan-STARRS1","ATS, CSP, DAO_OTS, DES, iPTF, KEGS, NUTS, OGLE, OOICLE, Padova-Asiago, Pan-STARRS1, XOSS, XTSS","PS16fdc","1","1","","19.08","i-Sloan","2016-11-13 12:53:16","PS1_Bot1"
"16322","AT 2016igh","06:13:52.25","+84:26:36.95","","","","","Pan-STARRS1","ATS, CSP, DAO_OTS, DES, iPTF, KEGS, NUTS, OGLE, OOICLE, Padova-Asiago, Pan-STARRS1, XOSS, XTSS","PS16fck","1","1","","19.46","i-Sloan","2016-11-13 11:51:21","PS1_Bot1"
"16323","AT 2016igi","23:37:25.49","+04:35:22.54","","","","","Pan-STARRS1","ATS, CSP, DAO_OTS, DES, iPTF, KEGS, NUTS, OGLE, OOICLE, Padova-Asiago, Pan-STARRS1, XOSS, XTSS","PS16fea","1","1","","20.55","w-PS1","2016-11-18 06:18:43","PS1_Bot1"
"16324","AT 2016igj","23:47:02.97","+06:12:54.47","","","","","Pan-STARRS1","ATS, CSP, DAO_OTS, DES, iPTF, KEGS, NUTS, OGLE, OOICLE, Padova-Asiago, Pan-STARRS1, XOSS, XTSS","PS16feb","1","1","","20.72","w-PS1","2016-11-18 06:20:09","PS1_Bot1"
"16325","AT 2016igk","02:34:30.41","+18:57:00.64","","","","","Pan-STARRS1","ATS, CSP, DAO_OTS, DES, iPTF, KEGS, NUTS, OGLE, OOICLE, Padova-Asiago, Pan-STARRS1, XOSS, XTSS","PS16fdh","1","1","","21.08","w-PS1","2016-10-25 12:10:04","PS1_Bot1"
"16326","AT 2016igl","02:22:34.57","+16:57:02.53","","","","","Pan-STARRS1","ATS, CSP, DAO_OTS, DES, iPTF, KEGS, NUTS, OGLE, OOICLE, Padova-Asiago, Pan-STARRS1, XOSS, XTSS","PS16fdg","1","1","","21.11","w-PS1","2016-10-25 12:08:38","PS1_Bot1"
"16327","AT 2016igm","08:24:49.38","+24:48:27.20","","","","","Pan-STARRS1","ATS, CSP, DAO_OTS, DES, iPTF, KEGS, NUTS, OGLE, OOICLE, Padova-Asiago, Pan-STARRS1, XOSS, XTSS","PS16fdi","1","1","","20.04","w-PS1","2016-11-08 13:07:40","PS1_Bot1"
"16328","AT 2016ign","07:14:15.68","+25:44:54.49","","","","","Pan-STARRS1","ATS, CSP, DAO_OTS, DES, iPTF, KEGS, NUTS, OGLE, OOICLE, Padova-Asiago, Pan-STARRS1, XOSS, XTSS","PS16fdl","1","1","","20.3","w-PS1","2016-11-10 12:40:19","PS1_Bot1"
"16329","AT 2016igo","07:12:14.52","+26:56:08.50","","","","","Pan-STARRS1","ATS, CSP, DAO_OTS, DES, iPTF, KEGS, NUTS, OGLE, OOICLE, Padova-Asiago, Pan-STARRS1, XOSS, XTSS","PS16fdk","1","1","","20.73","w-PS1","2016-11-10 12:40:19","PS1_Bot1"
"16330","AT 2016igp","07:37:53.16","+25:12:37.54","","","","","Pan-STARRS1","ATS, CSP, DAO_OTS, DES, iPTF, KEGS, NUTS, OGLE, OOICLE, Padova-Asiago, Pan-STARRS1, XOSS, XTSS","PS16fdn","1","1","","20.58","w-PS1","2016-11-10 12:51:50","PS1_Bot1"
"16331","AT 2016igq","07:18:53.66","+32:54:52.79","","","","","Pan-STARRS1","ATS, CSP, DAO_OTS, DES, iPTF, KEGS, NUTS, OGLE, OOICLE, Padova-Asiago, Pan-STARRS1, XOSS, XTSS","PS16fdm","1","1","","21.06","w-PS1","2016-11-10 12:43:12","PS1_Bot1"
"16332","AT 2016igr","01:03:26.69","-04:52:39.43","","","","","Pan-STARRS1","ATS, CSP, DAO_OTS, DES, GaiaAlerts, iPTF, KEGS, NUTS, OGLE, OOICLE, Padova-Asiago, Pan-STARRS1, XOSS, XTSS","PS16fdp","1","1","","18.8","i-Sloan","2016-11-18 08:38:24","PS1_Bot1"
"16333","AT 2016igs","00:57:31.11","-14:21:19.87","","","","","Pan-STARRS1","ATS, CSP, DAO_OTS, DES, iPTF, KEGS, NUTS, OGLE, OOICLE, Padova-Asiago, Pan-STARRS1, XOSS, XTSS","PS16fdo","1","1","","19.41","i-Sloan","2016-11-18 07:42:14","PS1_Bot1"
