"ID","Name","RA","DEC","Type","Redshift","Host Name","Host Redshift","Source Group","Associated Group/s","Disc. Internal Name","TNS AT","Public","End Prop. Period","Discovery Mag","Discovery Mag Filter","Discovery Date (UT)","Sender","Ext. catalog/s"
"17551","AT 2017tb","03:49:24.30","+00:23:58.95","","","","","Pan-STARRS1","Pan-STARRS1","PS17agc","1","1","","21.08","w-PS1","2017-01-20 06:21:36","PS1_Bot1",""
"17552","AT 2017tc","12:51:58.90","+00:24:09.50","","","","","Pan-STARRS1","Pan-STARRS1","PS17agt","1","1","","21.07","w-PS1","2017-01-26 14:13:55","PS1_Bot1",""
"17553","AT 2017td","12:54:35.43","-02:34:04.60","","","","","Pan-STARRS1","Pan-STARRS1","PS17agu","1","1","","20.64","w-PS1","2017-01-26 14:15:21","PS1_Bot1",""
"17554","AT 2017te","11:32:06.15","-00:25:10.32","","","","","Pan-STARRS1","Pan-STARRS1","PS17aht","1","1","","20.7","w-PS1","2017-01-26 13:07:40","PS1_Bot1",""
"17555","AT 2017tf","11:32:39.54","-05:35:13.49","","","","","Pan-STARRS1","Pan-STARRS1","PS17ahu","1","1","","20.21","w-PS1","2017-01-26 13:00:28","PS1_Bot1",""
"17556","AT 2017tg","11:33:24.64","-05:47:53.21","","","","","Pan-STARRS1","Pan-STARRS1","PS17ahv","1","1","","20.31","w-PS1","2017-01-26 13:00:28","PS1_Bot1",""
"17557","AT 2017th","11:33:27.01","-03:06:31.41","","","","","Pan-STARRS1","Pan-STARRS1","PS17ahw","1","1","","21.61","w-PS1","2017-01-26 13:16:19","PS1_Bot1",""
"17558","AT 2017ti","11:29:23.21","-00:29:37.14","","","","","Pan-STARRS1","Pan-STARRS1","PS17ahp","1","1","","20.65","w-PS1","2017-01-26 13:07:40","PS1_Bot1",""
"17559","AT 2017tj","11:30:19.24","-06:56:56.44","","","","","Pan-STARRS1","Pan-STARRS1","PS17ahq","1","1","","19.93","w-PS1","2017-01-26 13:00:28","PS1_Bot1",""
"17560","AT 2017tk","11:31:23.87","-04:35:29.34","","","","","Pan-STARRS1","Pan-STARRS1","PS17ahr","1","1","","20.16","w-PS1","2017-01-26 12:59:02","PS1_Bot1",""
"17561","AT 2017tl","11:31:52.16","+00:35:24.75","","","","","Pan-STARRS1","Pan-STARRS1","PS17ahs","1","1","","20.63","w-PS1","2017-01-26 13:07:40","PS1_Bot1",""
"17562","AT 2017tm","13:04:47.81","-05:13:15.03","","","","","Pan-STARRS1","Pan-STARRS1","PS17agx","1","1","","21.1","w-PS1","2017-01-26 14:18:14","PS1_Bot1",""
"17563","AT 2017tn","13:04:59.53","-05:53:54.67","","","","","Pan-STARRS1","Pan-STARRS1","PS17agy","1","1","","21.3","w-PS1","2017-01-26 14:18:14","PS1_Bot1",""
"17564","AT 2017to","13:00:07.02","-04:21:49.87","","","","","Pan-STARRS1","Pan-STARRS1","PS17agv","1","1","","20.48","w-PS1","2017-01-26 14:18:14","PS1_Bot1",""
"17565","AT 2017tp","13:00:26.76","-09:13:58.16","","","","","Pan-STARRS1","Pan-STARRS1","PS17agw","1","1","","20","w-PS1","2017-01-26 14:16:48","PS1_Bot1",""
"17566","AT 2017tq","11:33:49.83","-04:39:07.80","","","","","Pan-STARRS1","Pan-STARRS1","PS17ahx","1","1","","20.76","w-PS1","2017-01-26 12:59:02","PS1_Bot1",""
"17567","AT 2017tr","11:34:28.58","-00:41:39.38","","","","","Pan-STARRS1","Pan-STARRS1","PS17ahy","1","1","","20.4","w-PS1","2017-01-26 13:07:40","PS1_Bot1",""
"17568","AT 2017ts","12:27:30.41","-03:06:28.06","","","","","Pan-STARRS1","Pan-STARRS1","PS17aij","1","1","","19.74","w-PS1","2017-01-26 14:09:36","PS1_Bot1",""
"17569","AT 2017tt","12:45:14.85","-01:22:55.86","","","","","Pan-STARRS1","Pan-STARRS1","PS17ags","1","1","","19.28","w-PS1","2017-01-26 14:13:55","PS1_Bot1",""
"17570","AT 2017tu","02:02:27.59","-28:37:49.56","","","","","Pan-STARRS1","Pan-STARRS1","PS17agp","1","1","","20.07","i-Sloan","2017-01-08 05:24:00","PS1_Bot1",""
"17571","AT 2017tv","10:39:53.54","+01:54:20.32","","","","","Pan-STARRS1","Pan-STARRS1","PS17ago","1","1","","19.25","w-PS1","2017-01-03 14:52:48","PS1_Bot1",""
"17572","AT 2017tw","03:38:58.77","-00:30:37.82","","","","","Pan-STARRS1","Pan-STARRS1","PS17agr","1","1","","20.86","w-PS1","2017-01-20 06:20:09","PS1_Bot1",""
"17573","AT 2017tx","07:35:35.14","+53:13:25.87","","","","","Pan-STARRS1","Pan-STARRS1","PS17agq","1","1","","20.23","i-Sloan","2017-01-15 10:50:52","PS1_Bot1",""
"17574","AT 2017ty","08:43:55.78","+12:50:54.39","","","","","Pan-STARRS1","Pan-STARRS1","PS17aha","1","1","","21.74","w-PS1","2017-01-26 09:07:12","PS1_Bot1",""
"17575","AT 2017tz","08:15:09.62","+13:02:17.27","","","","","Pan-STARRS1","ATLAS; Pan-STARRS1","PS17agz","1","1","","19.25","w-PS1","2017-01-26 08:58:33","PS1_Bot1",""
"17576","AT 2017ua","10:43:00.37","+01:48:35.63","","","","","Pan-STARRS1","Pan-STARRS1","PS17ahc","1","1","","21.58","w-PS1","2017-01-26 12:00:00","PS1_Bot1",""
"17577","AT 2017ub","10:49:21.21","+06:18:15.58","","","","","Pan-STARRS1","Pan-STARRS1","PS17ahe","1","1","","19.44","w-PS1","2017-01-26 11:57:07","PS1_Bot1",""
"17578","AT 2017uc","10:47:51.70","+00:54:00.56","","","","","Pan-STARRS1","Pan-STARRS1","PS17ahd","1","1","","20.01","w-PS1","2017-01-26 12:00:00","PS1_Bot1",""
"17579","AT 2017ud","12:16:07.47","-03:34:24.74","","","","","Pan-STARRS1","Pan-STARRS1","PS17aih","1","1","","20.01","w-PS1","2017-01-26 14:08:09","PS1_Bot1",""
"17580","AT 2017ue","11:10:52.89","-04:44:45.88","","","","","Pan-STARRS1","Pan-STARRS1","PS17ahg","1","1","","21.29","w-PS1","2017-01-26 12:54:43","PS1_Bot1",""
"17581","AT 2017uf","11:04:56.27","-01:51:15.40","","","","","Pan-STARRS1","Pan-STARRS1","PS17ahf","1","1","","21.36","w-PS1","2017-01-26 12:53:16","PS1_Bot1",""
"17582","AT 2017ug","11:16:45.46","-01:47:57.79","","","","","Pan-STARRS1","Pan-STARRS1","PS17ahi","1","1","","21.19","w-PS1","2017-01-26 12:59:02","PS1_Bot1",""
"17583","AT 2017uh","11:12:58.95","-02:25:33.14","","","","","Pan-STARRS1","Pan-STARRS1","PS17ahh","1","1","","21.79","w-PS1","2017-01-26 13:10:33","PS1_Bot1",""
