# sn2000E     100.88836  14.84864 0.37193   0.004750     0.004222          309.308708   66.105639
# *************************************************************************************************
# 
Observation MJD Passband Mag MagErr_minus MagErr_plus
51568.76_AZT-24 51568.76 J 13.63 0.03 0.03
51568.76_AZT-24 51568.76 H 13.93 0.07 0.07
51569.78_AZT-24 51569.78 J 13.6 0.01 0.01
51569.78_AZT-24 51569.78 H 13.74 0.06 0.06
51569.78_AZT-24 51569.78 K 13.59 0.08 0.08
51570.73_AZT-24 51570.73 J 13.54 0.02 0.02
51570.73_AZT-24 51570.73 H 13.77 0.05 0.05
51570.73_AZT-24 51570.73 K 13.52 0.06 0.06
51573.77_AZT-24 51573.77 J 13.47 0.02 0.02
51573.77_AZT-24 51573.77 H 13.88 0.07 0.07
51573.77_AZT-24 51573.77 K 13.42 0.06 0.06
51574.77_AZT-24 51574.77 J 13.57 0.04 0.04
51574.77_AZT-24 51574.77 H 13.93 0.06 0.06
51575.72_AZT-24 51575.72 J 13.58 0.03 0.03
51575.72_AZT-24 51575.72 H 13.86 0.07 0.07
51575.72_AZT-24 51575.72 K 13.45 0.05 0.05
51584.21_AZT-24 51584.21 J 14.51 0.02 0.02
51584.21_AZT-24 51584.21 H 14.05 0.07 0.07
51585.81_AZT-24 51585.81 J 14.64 0.06 0.06
51585.81_AZT-24 51585.81 H 14.13 0.08 0.08
51585.81_AZT-24 51585.81 K 14.06 0.08 0.08
51587.75_AZT-24 51587.75 J 14.94 0.03 0.03
51587.75_AZT-24 51587.75 H 14.02 0.08 0.08
51599.19_AZT-24 51599.19 J 14.79 0.06 0.06
51599.19_AZT-24 51599.19 K 13.69 0.04 0.04
51601.14_AZT-24 51601.14 J 14.68 0.05 0.05
51601.14_AZT-24 51601.14 H 13.86 0.02 0.02
51601.14_AZT-24 51601.14 K 13.53 0.04 0.04
51623.07_AZT-24 51623.07 J 15.46 0.06 0.06
51623.07_AZT-24 51623.07 H 14.5 0.06 0.06
51623.07_AZT-24 51623.07 K 14.26 0.1 0.1
51624.02_AZT-24 51624.02 J 15.51 0.05 0.05
51636.16_AZT-24 51636.16 J 16.17 0.06 0.06
51636.16_AZT-24 51636.16 H 15.13 0.07 0.07
51636.16_AZT-24 51636.16 K 14.9 0.04 0.04
51667.11_AZT-24 51667.11 J 17.8 0.15 0.15
51667.11_AZT-24 51667.11 H 16.45 0.15 0.15
51689.12_AZT-24 51689.12 J 18.94 0.15 0.15
51691.12_TNG/ARNICA 51691.12 H 17.16 0.1 0.1
51691.12_TNG/ARNICA 51691.12 K 16.74 0.09 0.09
51703.08_AZT-24 51703.08 H 17.58 0.2 0.2
