# 99ek        ---        ---     0.5610     0.0175     0.0176             ---             ---
# *************************************************************************************************
# The values above aren't all filled in yet.
# 
# 
# 'Flux', 'Fluxerr_lo', 'Fluxerr_hi' normalized to a zeropoint of 25.
# To clarify:  Flux+Fluxerr_hi is one sigma above the nominal value and
# Flux-Fluxerr_lo is one sigma below the nominal value
# 
# 'Observation' is supposed to be the full information about a given observation,
# but is currently just the MJD with a CTIO tag.
# 
# Jha nearby SN Ia template from 99ek*
# Observation                                       MJD                      Passband         Flux   Fluxerr_lo   Fluxerr_hi
Observation MJD Passband Mag MagErr_minus MagErr_plus
51473.5 51473.5 H 16.414 0.115 0.115
51473.5 51473.5 K 16.544 0.076 0.076
51477.2 51477.2 J 16.15 0.039 0.039
51477.2 51477.2 H 16.079 0.04 0.04
51477.3 51477.3 J 16.124 0.02 0.02
51477.3 51477.3 H 16.281 0.018 0.018
51478.2 51478.2 J 16.097 0.05 0.05
51478.2 51478.2 H 16.136 0.05 0.05
51481.3 51481.3 J 16.209 0.019 0.019
51481.3 51481.3 H 16.331 0.02 0.02
51483.3 51483.3 J 16.415 0.023 0.023
51483.3 51483.3 H 16.464 0.038 0.038
51484.3 51484.3 J 16.436 0.024 0.024
51484.3 51484.3 H 16.485 0.024 0.024
51485.3 51485.3 J 16.539 0.024 0.024
51485.3 51485.3 H 16.405 0.163 0.163
51486.3 51486.3 J 16.908 0.068 0.068
51486.3 51486.3 H 16.676 0.135 0.135
51487.3 51487.3 J 16.778 0.023 0.023
51487.3 51487.3 H 16.648 0.025 0.025
51488.3 51488.3 J 16.935 0.022 0.022
51488.3 51488.3 H 16.645 0.029 0.029
51489.3 51489.3 J 17.134 0.023 0.023
51489.3 51489.3 H 16.525 0.031 0.031
51497.2 51497.2 J 17.819 0.081 0.081
51497.2 51497.2 H 16.455 0.07 0.07
51503.1 51503.1 J 17.563 0.065 0.065
51503.1 51503.1 H 16.296 0.059 0.059
51504.2 51504.2 J 17.441 0.088 0.088
51504.2 51504.2 H 16.253 0.073 0.073
