# 01cn        ---        ---     0.0590     0.0155     0.0154             ---             ---
# *************************************************************************************************
# The values above aren't all filled in yet.
# 
# 
# 'Flux', 'Fluxerr_lo', 'Fluxerr_hi' normalized to a zeropoint of 25.
# To clarify:  Flux+Fluxerr_hi is one sigma above the nominal value and
# Flux-Fluxerr_lo is one sigma below the nominal value
# 
# 'Observation' is supposed to be the full information about a given observation,
# but is currently just the MJD with a CTIO tag.
# 
# Jha nearby SN Ia template from 01cn*
# Observation                                       MJD                      Passband         Flux   Fluxerr_lo   Fluxerr_hi
Observation MJD Passband Mag MagErr_minus MagErr_plus
52075.3 52075.3 J 15.899 0.028 0.028
52075.3 52075.3 H 16.084 0.062 0.062
52075.3 52075.3 K 15.667 0.095 0.095
52076.3 52076.3 J 16.171 0.046 0.046
52076.3 52076.3 H 16.144 0.071 0.071
52076.3 52076.3 K 15.684 0.099 0.099
52079.2 52079.2 J 16.561 0.044 0.044
52079.2 52079.2 H 16.088 0.077 0.077
52079.2 52079.2 K 15.829 0.104 0.104
52082.2 52082.2 J 17.011 0.035 0.035
52082.2 52082.2 H 16.164 0.058 0.058
52085.2 52085.2 J 17.379 0.059 0.059
52085.2 52085.2 H 16.039 0.095 0.095
52088.2 52088.2 J 17.191 0.036 0.036
52088.2 52088.2 H 15.907 0.056 0.056
52091.1 52091.1 J 17.13 0.036 0.036
52091.1 52091.1 H 15.829 0.057 0.057
52094.2 52094.2 J 16.959 0.036 0.036
52094.2 52094.2 H 15.873 0.071 0.071
52096.2 52096.2 J 16.842 0.04 0.04
52096.2 52096.2 H 15.707 0.069 0.069
52097.2 52097.2 J 16.831 0.034 0.034
52097.2 52097.2 H 15.665 0.054 0.054
52101.2 52101.2 J 16.56 0.031 0.031
52101.2 52101.2 H 15.792 0.052 0.052
52104.2 52104.2 J 16.629 0.029 0.029
52104.2 52104.2 H 15.895 0.048 0.048
52106.2 52106.2 J 16.796 0.03 0.03
52106.2 52106.2 H 16.072 0.049 0.049
52114.3 52114.3 J 17.716 0.085 0.085
52114.3 52114.3 H 16.606 0.136 0.136
52117.0 52117.0 J 17.896 0.079 0.079
52117.0 52117.0 H 16.808 0.128 0.128
52122.1 52122.1 J 18.273 0.153 0.153
52122.1 52122.1 H 16.887 0.232 0.232
52123.1 52123.1 J 18.4 0.103 0.103
52123.1 52123.1 H 16.905 0.156 0.156
52127.2 52127.2 J 18.401 0.135 0.135
52127.2 52127.2 H 17.445 0.216 0.216
52130.3 52130.3 J 18.855 0.193 0.193
52130.3 52130.3 H 17.449 0.301 0.301
