# 01ba        ---        ---     0.0640     0.0294     0.0305             ---             ---
# *************************************************************************************************
# The values above aren't all filled in yet.
# 
# 
# 'Flux', 'Fluxerr_lo', 'Fluxerr_hi' normalized to a zeropoint of 25.
# To clarify:  Flux+Fluxerr_hi is one sigma above the nominal value and
# Flux-Fluxerr_lo is one sigma below the nominal value
# 
# 'Observation' is supposed to be the full information about a given observation,
# but is currently just the MJD with a CTIO tag.
# 
# Jha nearby SN Ia template from 01ba*
# Observation                                       MJD                      Passband         Flux   Fluxerr_lo   Fluxerr_hi
Observation MJD Passband Mag MagErr_minus MagErr_plus
LCO_1.0m_52028.1 52028.08 Js 17.027 0.033 0.033
LCO_1.0m_52029.1 52029.06 Js 16.998 0.023 0.023
LCO_1.0m_52029.1 52029.06 H 17.24 0.04 0.04
LCO_1.0m_52029.1 52029.06 Ks 17.187 0.062 0.062
LCO_1.0m_52030 52030.03 H 17.251 0.038 0.038
LCO_1.0m_52031 52031.04 Js 16.992 0.018 0.018
LCO_1.0m_52031 52031.04 H 17.332 0.045 0.045
LCO_1.0m_52031 52031.04 Ks 17.161 0.081 0.081
LCO_1.0m_52032.1 52032.08 Js 16.994 0.029 0.029
LCO_1.0m_52032.1 52032.08 H 17.31 0.057 0.057
LCO_1.0m_52032.1 52032.08 Ks 17.061 0.064 0.064
LCO_1.0m_52044.1 52044.07 Js 18.362 0.053 0.053
LCO_1.0m_52044.1 52044.07 H 17.92 0.056 0.056
LCO_1.0m_52045 52045.02 Js 18.671 0.045 0.045
LCO_1.0m_52045 52045.02 H 17.777 0.077 0.077
LCO_1.0m_52045 52045.02 Ks 17.441 0.029 0.029
LCO_1.0m_52047 52047.03 Js 18.977 0.082 0.082
LCO_1.0m_52047 52047.03 H 17.941 0.075 0.075
LCO_1.0m_52047 52047.03 Ks 17.525 0.087 0.087
LCO_1.0m_52048 52047.98 Js 19.115 0.136 0.136
LCO_1.0m_52049 52049.04 Js 18.742 0.095 0.095
LCO_1.0m_52049 52049.04 H 17.855 0.108 0.108
LCO_1.0m_52049 52049.04 Ks 17.422 0.093 0.093
LCO_1.0m_52052.1 52052.05 Js 18.872 0.076 0.076
LCO_1.0m_52052.1 52052.05 H 17.771 0.048 0.048
LCO_1.0m_52052.1 52052.05 Ks 17.554 0.116 0.116
LCO_1.0m_52055 52055.04 Js 18.525 0.061 0.061
LCO_1.0m_52055 52055.04 H 17.837 0.107 0.107
LCO_1.0m_52055 52055.04 Ks 17.246 0.073 0.073
LCO_1.0m_52057 52057.04 Js 18.514 0.052 0.052
LCO_1.0m_52057 52057.04 H 17.437 0.045 0.045
LCO_1.0m_52057 52057.04 Ks 17.389 0.079 0.079
LCO_2.5m_52061.1 52061.06 Js 18.314 0.031 0.031
LCO_2.5m_52061.1 52061.06 H 17.448 0.056 0.056
LCO_2.5m_52068 52067.96 Js 18.006 0.029 0.029
LCO_2.5m_52068 52067.96 H 17.485 0.029 0.029
LCO_2.5m_52069 52068.96 Js 18.021 0.035 0.035
LCO_2.5m_52069 52068.96 H 17.516 0.027 0.027
