# 01bt        ---        ---     0.0650     0.0146     0.0144             ---             ---
# *************************************************************************************************
# The values above aren't all filled in yet.
# 
# 
# 'Flux', 'Fluxerr_lo', 'Fluxerr_hi' normalized to a zeropoint of 25.
# To clarify:  Flux+Fluxerr_hi is one sigma above the nominal value and
# Flux-Fluxerr_lo is one sigma below the nominal value
# 
# 'Observation' is supposed to be the full information about a given observation,
# but is currently just the MJD with a CTIO tag.
# 
# Jha nearby SN Ia template from 01bt*
# Observation                                       MJD                      Passband         Flux   Fluxerr_lo   Fluxerr_hi
Observation MJD Passband Mag MagErr_minus MagErr_plus
52061.3 52061.3 J 15.472 0.029 0.029
52061.3 52061.3 H 15.695 0.061 0.061
52061.3 52061.3 K 15.562 0.078 0.078
52061.3 52061.3 J 15.42 0.015 0.015
52061.3 52061.3 H 15.645 0.02 0.02
52061.3 52061.3 K 15.399 0.026 0.026
52064.3 52064.3 J 15.342 0.073 0.073
52064.3 52064.3 H 15.895 0.16 0.16
52064.3 52064.3 K 15.629 0.275 0.275
52068.3 52068.3 J 16.163 0.041 0.041
52068.3 52068.3 H 16.12 0.051 0.051
52069.3 52069.3 J 16.291 0.036 0.036
52069.3 52069.3 H 16.163 0.045 0.045
52069.3 52069.3 K 15.653 0.03 0.03
52070.3 52070.3 J 16.244 0.051 0.051
52070.3 52070.3 H 16.087 0.091 0.091
52070.3 52070.3 K 15.944 0.208 0.208
52073.4 52073.4 J 17.029 0.118 0.118
52073.4 52073.4 H 16.226 0.19 0.19
52073.4 52073.4 K 15.86 0.217 0.217
52076.4 52076.4 J 17.168 0.071 0.071
52076.4 52076.4 H 16.221 0.114 0.114
52076.4 52076.4 K 15.875 0.126 0.126
52079.4 52079.4 J 17.01 0.088 0.088
52079.4 52079.4 H 16.048 0.143 0.143
52079.4 52079.4 K 15.776 0.151 0.151
52082.2 52082.2 J 17.051 0.062 0.062
52082.2 52082.2 H 15.93 0.094 0.094
52088.2 52088.2 J 16.649 0.042 0.042
52088.2 52088.2 H 15.669 0.066 0.066
52088.2 52088.2 K 15.743 0.096 0.096
52091.2 52091.2 J 16.435 0.037 0.037
52091.2 52091.2 H 15.783 0.065 0.065
52091.2 52091.2 K 15.827 0.102 0.102
52094.3 52094.3 J 16.633 0.089 0.089
52094.3 52094.3 H 15.934 0.199 0.199
52096.3 52096.3 J 16.733 0.081 0.081
52096.3 52096.3 H 16.077 0.13 0.13
52097.2 52097.2 J 16.785 0.047 0.047
52097.2 52097.2 H 16.156 0.079 0.079
52101.2 52101.2 J 17.355 0.163 0.163
52101.2 52101.2 H 16.254 0.251 0.251
52101.2 52101.2 K 17.003 0.538 0.538
52106.1 52106.1 J 17.677 0.078 0.078
52106.1 52106.1 H 16.578 0.123 0.123
52106.1 52106.1 K 17.276 0.259 0.259
52115.3 52115.3 J 18.052 0.116 0.116
52115.3 52115.3 H 16.942 0.184 0.184
52122.2 52122.2 J 18.904 0.234 0.234
52122.2 52122.2 H 17.227 0.342 0.342
52123.1 52123.1 J 18.747 0.149 0.149
52123.1 52123.1 H 17.275 0.221 0.221
52128.2 52128.2 J 19.428 0.277 0.277
52128.2 52128.2 H 17.45 0.401 0.401
