# 02bo        ---        ---     0.0250     0.0043     0.0054             ---             ---
# *************************************************************************************************
# The values above aren't all filled in yet.
# 
# 
# 'Flux', 'Fluxerr_lo', 'Fluxerr_hi' normalized to a zeropoint of 25.
# To clarify:  Flux+Fluxerr_hi is one sigma above the nominal value and
# Flux-Fluxerr_lo is one sigma below the nominal value
# 
# 'Observation' is supposed to be the full information about a given observation,
# but is currently just the MJD with a CTIO tag.
# 
# Jha nearby SN Ia template from 02bo*
# Observation                                       MJD                      Passband         Flux   Fluxerr_lo   Fluxerr_hi
Observation MJD Passband Mag MagErr_minus MagErr_plus
52346.2 52346.2 J 14.478 0.057 0.057
52346.2 52346.2 H 14.469 0.029 0.029
52346.2 52346.2 K 14.637 0.059 0.059
52350.2 52350.2 J 13.854 0.084 0.084
52350.2 52350.2 H 13.93 0.028 0.028
52350.2 52350.2 K 13.987 0.041 0.041
52354.2 52354.2 J 13.68 0.023 0.023
52354.2 52354.2 H 13.878 0.026 0.026
52354.2 52354.2 K 13.883 0.041 0.041
52358.1 52358.1 J 13.911 0.03 0.03
52358.1 52358.1 H 14.071 0.03 0.03
52358.1 52358.1 K 14.021 0.074 0.074
52362.1 52362.1 J 14.257 0.029 0.029
52362.1 52362.1 H 14.216 0.023 0.023
52362.1 52362.1 K 14.269 0.051 0.051
52366.1 52366.1 J 14.975 0.099 0.099
52366.1 52366.1 H 14.344 0.054 0.054
52366.1 52366.1 K 14.519 0.07 0.07
52370.1 52370.1 J 15.386 0.054 0.054
52370.1 52370.1 H 14.233 0.023 0.023
52370.1 52370.1 K 14.283 0.061 0.061
52376.1 52376.1 J 15.105 0.075 0.075
52376.1 52376.1 H 13.956 0.032 0.032
52376.1 52376.1 K 14.096 0.103 0.103
52381.1 52381.1 J 14.752 0.047 0.047
52381.1 52381.1 H 13.82 0.02 0.02
52381.1 52381.1 K 13.92 0.04 0.04
52385.1 52385.1 J 14.683 0.043 0.043
52385.1 52385.1 H 13.953 0.029 0.029
52385.1 52385.1 K 14.093 0.052 0.052
52389.1 52389.1 J 14.819 0.025 0.025
52389.1 52389.1 H 14.101 0.027 0.027
52389.1 52389.1 K 14.371 0.048 0.048
52390.0 52390.0 J 14.882 0.038 0.038
52390.0 52390.0 H 14.292 0.027 0.027
52390.0 52390.0 K 14.531 0.05 0.05
52397.0 52397.0 J 15.607 0.075 0.075
52397.0 52397.0 H 14.693 0.037 0.037
52397.0 52397.0 K 14.912 0.071 0.071
52400.0 52400.0 J 15.71 0.037 0.037
52400.0 52400.0 H 14.872 0.03 0.03
52400.0 52400.0 K 15.16 0.092 0.092
