# 01cz        ---        ---     0.0920     0.0154     0.0163             ---             ---
# *************************************************************************************************
# The values above aren't all filled in yet.
# 
# 
# 'Flux', 'Fluxerr_lo', 'Fluxerr_hi' normalized to a zeropoint of 25.
# To clarify:  Flux+Fluxerr_hi is one sigma above the nominal value and
# Flux-Fluxerr_lo is one sigma below the nominal value
# 
# 'Observation' is supposed to be the full information about a given observation,
# but is currently just the MJD with a CTIO tag.
# 
# Jha nearby SN Ia template from 01cz*
# Observation                                       MJD                      Passband         Flux   Fluxerr_lo   Fluxerr_hi
Observation MJD Passband Mag MagErr_minus MagErr_plus
52101 52101 J 15.404 0.061 0.061
52101 52101 H 15.73 0.126 0.126
52101 52101 K 15.397 0.132 0.132
52104 52104 J 15.499 0.061 0.061
52104 52104 H 15.879 0.121 0.121
52104 52104 K 15.607 0.13 0.13
52106 52106 J 15.623 0.064 0.064
52106 52106 H 15.996 0.121 0.121
52106 52106 K 15.685 0.148 0.148
52112 52112 J 16.58 0.12 0.12
52112 52112 H 16.023 0.216 0.216
52112 52112 K 15.759 0.258 0.258
52114 52114 J 16.806 0.085 0.085
52114 52114 H 16.153 0.155 0.155
52114 52114 K 15.805 0.172 0.172
52117 52117 J 17.163 0.099 0.099
52117 52117 H 16.155 0.168 0.168
52117 52117 K 16.062 0.187 0.187
52123 52123 J 17.477 0.125 0.125
52123 52123 H 15.882 0.198 0.198
52123 52123 K 15.785 0.208 0.208
52128 52128 J 17.029 0.091 0.091
52128 52128 H 15.646 0.155 0.155
52128 52128 K 15.642 0.177 0.177
52130 52130 J 16.833 0.079 0.079
52130 52130 H 15.646 0.14 0.14
52130 52130 K 15.704 0.161 0.161
52137 52137 J 16.54 0.102 0.102
52137 52137 H 15.722 0.188 0.188
52144 52144 J 17.02 0.078 0.078
52144 52144 H 16.22 0.143 0.143
52151 52151 J 17.664 0.098 0.098
52151 52151 H 16.574 0.173 0.173
