# sn2002dj
# 
Observation MJD Passband Mag MagErr_minus MagErr_plus
13/06/2002_ANDICAM 52439.0 J 15.64 0.05 0.05
13/06/2002_ANDICAM 52439.0 H 15.64 0.08 0.08
13/06/2002_ANDICAM 52439.0 K 15.66 0.1 0.1
14/06/2002_ANDICAM 52440.0 J 15.27 0.03 0.03
14/06/2002_ANDICAM 52440.0 H 15.31 0.05 0.05
14/06/2002_ANDICAM 52440.0 K 15.25 0.08 0.08
15/06/2002_SoFi 52441.1 J 14.98 0.03 0.03
15/06/2002_SoFi 52441.1 H 15.13 0.03 0.03
15/06/2002_SoFi 52441.1 K 15.09 0.03 0.03
19/06/2002_SoFi 52444.1 J 14.63 0.03 0.03
19/06/2002_SoFi 52444.1 H 14.85 0.03 0.03
19/06/2002_SoFi 52444.1 K 14.7 0.03 0.03
20/06/2002_ANDICAM 52446.0 J 14.56 0.09 0.09
20/06/2002_ANDICAM 52446.0 H 14.82 0.06 0.06
20/06/2002_ANDICAM 52446.0 K 14.64 0.06 0.06
24/06/2002_ANDICAM 52450.0 J 14.6 0.03 0.03
24/06/2002_ANDICAM 52450.0 H 14.85 0.05 0.05
24/06/2002_ANDICAM 52450.0 K 14.5 0.09 0.09
24/06/2002_SoFi 52450.0 J 14.62 0.03 0.03
24/06/2002_SoFi 52450.0 H 14.83 0.03 0.03
24/06/2002_SoFi 52450.0 K 14.54 0.03 0.03
27/06/2002_ANDICAM 52453.1 J 14.88 0.04 0.04
27/06/2002_ANDICAM 52453.1 H 14.93 0.04 0.04
27/06/2002_ANDICAM 52453.1 K 14.65 0.07 0.07
30/06/2002_ANDICAM 52456.0 J 15.33 0.12 0.12
30/06/2002_ANDICAM 52456.0 H 15.12 0.08 0.08
30/06/2002_ANDICAM 52456.0 K 14.85 0.16 0.16
08/07/2002_ANDICAM 52464.0 J 16.38 0.07 0.07
08/07/2002_ANDICAM 52464.0 H 15.09 0.04 0.04
08/07/2002_ANDICAM 52464.0 K 15.03 0.08 0.08
11/07/2002_ANDICAM 52467.0 J 16.36 0.05 0.05
11/07/2002_ANDICAM 52467.0 H 15.01 0.03 0.03
11/07/2002_ANDICAM 52467.0 K 14.9 0.05 0.05
11/07/2002_SoFi 52467.0 J 16.15 0.03 0.03
11/07/2002_SoFi 52467.0 H 14.9 0.03 0.03
11/07/2002_SoFi 52467.0 K 14.87 0.03 0.03
14/07/2002_ANDICAM 52470.0 J 16.19 0.1 0.1
14/07/2002_ANDICAM 52470.0 H 14.85 0.04 0.04
14/07/2002_ANDICAM 52470.0 K 14.76 0.06 0.06
17/07/2002_ANDICAM 52473.0 J 15.97 0.04 0.04
17/07/2002_ANDICAM 52473.0 H 14.79 0.03 0.03
17/07/2002_ANDICAM 52473.0 K 14.66 0.04 0.04
25/07/2002_ANDICAM 52481.0 J 15.7 0.05 0.05
25/07/2002_ANDICAM 52481.0 H 14.81 0.04 0.04
25/07/2002_ANDICAM 52481.0 K 14.83 0.08 0.08
28/07/2002_ANDICAM 52484.0 J 15.75 0.04 0.04
28/07/2002_ANDICAM 52484.0 H 15.07 0.04 0.04
28/07/2002_ANDICAM 52484.0 K 15.13 0.05 0.05
31/07/2002_ANDICAM 52487.0 J 16.01 0.03 0.03
31/07/2002_ANDICAM 52487.0 H 15.25 0.06 0.06
31/07/2002_ANDICAM 52487.0 K 15.45 0.28 0.28
07/08/2002_ANDICAM 52494.0 J 16.7 0.09 0.09
07/08/2002_ANDICAM 52494.0 H 15.62 0.07 0.07
07/08/2002_ANDICAM 52494.0 K 15.67 0.35 0.35
10/08/2002_ANDICAM 52497.0 J 16.79 0.09 0.09
10/08/2002_ANDICAM 52497.0 H 15.74 0.05 0.05
10/08/2002_ANDICAM 52497.0 K 15.94 0.12 0.12
13/08/2002_ANDICAM 52500.0 J 16.99 0.11 0.11
13/08/2002_ANDICAM 52500.0 H 15.86 0.05 0.05
13/08/2002_ANDICAM 52500.0 K 16.05 0.12 0.12
30/08/2002_SoFi 52517.0 J 18.07 0.38 0.38
30/08/2002_SoFi 52517.0 H 16.61 0.03 0.03
30/08/2002_SoFi 52517.0 K 16.87 0.03 0.03
