# sn2004S     240.786576  -14.796769  0.101   0.0093598    0.0098568   101.444500  -31.230389
# *************************************************************************************************
# 
# Krisciunas et al., 2007, AJ, 133, 58
# 
Observation MJD Passband Mag MagErr_minus MagErr_plus
53042.22_1 53042.22 J 14.945 0.021 0.021
53042.22_1 53042.22 H 15.064 0.022 0.022
53042.22_1 53042.22 K 14.874 0.059 0.059
53045.25_1 53045.25 J 15.238 0.024 0.024
53045.25_1 53045.25 H 15.09 0.021 0.021
53045.25_1 53045.25 K 14.976 0.06 0.06
53048.26_1 53048.26 J 15.641 0.029 0.029
53048.26_1 53048.26 H 15.228 0.026 0.026
53048.26_1 53048.26 K 15.116 0.066 0.066
53052.22_1 53052.22 J 16.156 0.036 0.036
53052.22_1 53052.22 H 15.16 0.021 0.021
53052.22_1 53052.22 K 15.042 0.063 0.063
53052.93_2 53052.93 J 16.124 0.01 0.01
53052.93_2 53052.93 H 15.151 0.012 0.012
53052.93_2 53052.93 K 14.946 0.019 0.019
53056.18_1 53056.18 J 16.258 0.04 0.04
53056.18_1 53056.18 H 15.107 0.021 0.021
53056.18_1 53056.18 K 14.886 0.048 0.048
53060.09_1 53060.09 J 16.227 0.04 0.04
53060.09_1 53060.09 H 15.041 0.021 0.021
53060.09_1 53060.09 K 14.957 0.054 0.054
53070.10_1 53070.1 J 15.866 0.036 0.036
53070.10_1 53070.1 H 15.05 0.024 0.024
53070.10_1 53070.1 K 15.007 0.055 0.055
53074.07_1 53074.07 J 15.932 0.035 0.035
53074.07_1 53074.07 H 15.26 0.027 0.027
53074.07_1 53074.07 K 15.204 0.06 0.06
53087.10_1 53087.1 J 17.013 0.093 0.093
53087.10_1 53087.1 H 16.017 0.046 0.046
53087.10_1 53087.1 K 16.017 0.148 0.148
53090.05_1 53090.05 J 17.233 0.099 0.099
53090.05_1 53090.05 H 16.221 0.056 0.056
53090.05_1 53090.05 K 16.065 0.153 0.153
53102.05_1 53102.05 J 18.2 0.267 0.267
53102.05_1 53102.05 H 16.779 0.085 0.085
53102.05_1 53102.05 K 16.561 0.254 0.254
53109.01_1 53109.01 J 18.587 0.259 0.259
53109.01_1 53109.01 H 16.851 0.077 0.077
53116.00_1 53116.0 J 18.652 0.231 0.231
53116.00_1 53116.0 H 17.03 0.099 0.099
53130.01_1 53130.01 H 18.407 0.32 0.32
53341.31_3 53341.31 H 20.57 0.18 0.18
53342.30_3 53342.3 J 21.35 0.06 0.06
53414.21_3 53414.21 J 21.27 0.13 0.13
53415.12_3 53415.12 H 20.63 0.18 0.18
