# 99ee        ---        ---     0.0200     0.0114     0.0106             ---             ---
# *************************************************************************************************
# The values above aren't all filled in yet.
# 
# 
# 'Flux', 'Fluxerr_lo', 'Fluxerr_hi' normalized to a zeropoint of 25.
# To clarify:  Flux+Fluxerr_hi is one sigma above the nominal value and
# Flux-Fluxerr_lo is one sigma below the nominal value
# 
# 'Observation' is supposed to be the full information about a given observation,
# but is currently just the MJD with a CTIO tag.
# 
# Jha nearby SN Ia template from 99ee*
# Observation                                       MJD                      Passband         Flux   Fluxerr_lo   Fluxerr_hi
Observation MJD Passband Mag MagErr_minus MagErr_plus
51461.1 51461.1 J 15.048 0.026 0.026
51461.1 51461.1 H 15.15 0.034 0.034
51462.1 51462.1 J 14.924 0.026 0.026
51462.1 51462.1 H 15.072 0.03 0.03
51464.1 51464.1 J 14.795 0.027 0.027
51464.1 51464.1 H 15.001 0.031 0.031
51466.1 51466.1 J 14.767 0.026 0.026
51466.1 51466.1 H 15.024 0.03 0.03
51468.1 51468.1 J 14.865 0.025 0.025
51468.1 51468.1 H 15.091 0.028 0.028
51470.1 51470.1 J 14.983 0.025 0.025
51470.1 51470.1 H 15.168 0.028 0.028
51472.2 51472.2 J 15.12 0.025 0.025
51472.2 51472.2 H 15.264 0.031 0.031
51475.1 51475.1 J 15.362 0.029 0.029
51475.1 51475.1 H 15.312 0.033 0.033
51478.2 51478.2 J 15.737 0.033 0.033
51478.2 51478.2 H 15.363 0.037 0.037
51480.2 51480.2 J 16.096 0.03 0.03
51480.2 51480.2 H 15.476 0.042 0.042
51482.1 51482.1 J 16.342 0.033 0.033
51482.1 51482.1 H 15.456 0.037 0.037
51484.1 51484.1 J 16.43 0.03 0.03
51484.1 51484.1 H 15.4 0.033 0.033
51486.1 51486.1 J 16.458 0.04 0.04
51486.1 51486.1 H 15.303 0.032 0.032
51488.1 51488.1 J 16.438 0.032 0.032
51488.1 51488.1 H 15.194 0.034 0.034
51490.2 51490.2 J 16.422 0.031 0.031
51490.2 51490.2 H 15.163 0.033 0.033
51492.1 51492.1 J 16.323 0.032 0.032
51492.1 51492.1 H 15.181 0.038 0.038
51495.1 51495.1 J 16.216 0.031 0.031
51495.1 51495.1 H 15.119 0.033 0.033
51497.1 51497.1 J 16.154 0.034 0.034
51497.1 51497.1 H 15.103 0.034 0.034
51498.1 51498.1 J 16.1 0.034 0.034
51498.1 51498.1 H 15.15 0.036 0.036
51499.1 51499.1 J 15.973 0.029 0.029
51499.1 51499.1 H 15.081 0.031 0.031
51500.1 51500.1 J 15.894 0.034 0.034
51500.1 51500.1 H 15.166 0.03 0.03
51501.0 51501.0 J 15.876 0.03 0.03
51501.0 51501.0 H 15.147 0.029 0.029
51503.0 51503.0 J 15.78 0.03 0.03
51503.0 51503.0 H 15.311 0.036 0.036
51504.0 51504.0 J 15.796 0.029 0.029
51504.0 51504.0 H 15.27 0.033 0.033
51505.0 51505.0 J 15.815 0.027 0.027
51505.0 51505.0 H 15.444 0.038 0.038
51507.1 51507.1 J 16.007 0.028 0.028
51507.1 51507.1 H 15.531 0.039 0.039
51508.1 51508.1 J 16.094 0.033 0.033
51508.1 51508.1 H 15.56 0.045 0.045
51511.1 51511.1 J 16.335 0.039 0.039
51511.1 51511.1 H 15.825 0.043 0.043
51513.1 51513.1 J 16.421 0.048 0.048
51513.1 51513.1 H 16.004 0.055 0.055
51515.1 51515.1 J 16.666 0.038 0.038
51515.1 51515.1 H 16.008 0.042 0.042
51517.0 51517.0 J 16.756 0.04 0.04
51517.0 51517.0 H 16.1 0.044 0.044
51519.0 51519.0 J 16.998 0.047 0.047
51519.0 51519.0 H 16.161 0.054 0.054
51521.1 51521.1 J 17.132 0.063 0.063
51521.1 51521.1 H 16.241 0.07 0.07
