# 00bh        ---        ---     0.0480     0.0230     0.0242             ---             ---
# *************************************************************************************************
# The values above aren't all filled in yet.
# 
# 
# 'Flux', 'Fluxerr_lo', 'Fluxerr_hi' normalized to a zeropoint of 25.
# To clarify:  Flux+Fluxerr_hi is one sigma above the nominal value and
# Flux-Fluxerr_lo is one sigma below the nominal value
# 
# 'Observation' is supposed to be the full information about a given observation,
# but is currently just the MJD with a CTIO tag.
# 
# Jha nearby SN Ia template from 00bh*
# Observation                                       MJD                      Passband         Flux   Fluxerr_lo   Fluxerr_hi
Observation MJD Passband Mag MagErr_minus MagErr_plus
51640.2 51640.2 Js 16.799 0.034 0.034
51640.2 51640.2 H 16.895 0.03 0.03
51640.2 51640.2 Ks 16.636 0.042 0.042
51641.1 51641.1 Js 17.054 0.029 0.029
51641.1 51641.1 H 17.011 0.036 0.036
51641.1 51641.1 Ks 16.679 0.046 0.046
51642.1 51642.1 Y 17.094 0.033 0.033
51642.1 51642.1 Js 17.08 0.027 0.027
51642.1 51642.1 H 16.941 0.03 0.03
51642.1 51642.1 Ks 16.831 0.055 0.055
51643.1 51643.1 Js 17.229 0.027 0.027
51643.1 51643.1 H 16.993 0.031 0.031
51643.1 51643.1 Ks 16.824 0.059 0.059
51644.1 51644.1 Y 17.143 0.032 0.032
51644.1 51644.1 Js 17.442 0.038 0.038
51644.1 51644.1 H 17.073 0.03 0.03
51644.1 51644.1 Ks 16.855 0.053 0.053
51650.1 51650.1 Js 18.374 0.044 0.044
51650.1 51650.1 H 17.245 0.033 0.033
51652.1 51652.1 Js 18.315 0.032 0.032
51653.1 51653.1 Y 17.133 0.03 0.03
51653.1 51653.1 Js 18.45 0.04 0.04
51653.1 51653.1 H 17.134 0.034 0.034
51653.1 51653.1 Ks 16.918 0.049 0.049
51654.1 51654.1 Y 17.069 0.029 0.029
51654.1 51654.1 Js 18.247 0.034 0.034
51654.1 51654.1 H 17.017 0.031 0.031
51654.1 51654.1 Ks 16.861 0.042 0.042
51658.1 51658.1 Js 17.862 0.024 0.024
51658.1 51658.1 H 16.745 0.033 0.033
51658.1 51658.1 Ks 16.744 0.029 0.029
51659.1 51659.1 Js 17.831 0.026 0.026
51659.1 51659.1 H 16.801 0.025 0.025
51659.1 51659.1 Ks 16.739 0.027 0.027
51661.1 51661.1 Js 17.78 0.028 0.028
51661.1 51661.1 H 16.832 0.025 0.025
51661.1 51661.1 Ks 16.909 0.04 0.04
51662.1 51662.1 Y 16.643 0.026 0.026
51662.1 51662.1 Js 17.83 0.032 0.032
51662.1 51662.1 H 16.875 0.031 0.031
51662.1 51662.1 Ks 16.791 0.041 0.041
51663.0 51663.0 Js 17.646 0.034 0.034
51663.0 51663.0 H 16.8 0.033 0.033
51664.0 51664.0 Js 17.649 0.031 0.031
51664.0 51664.0 Ks 16.771 0.053 0.053
51666.1 51666.1 Y 16.449 0.025 0.025
51666.1 51666.1 Js 17.473 0.025 0.025
51666.1 51666.1 H 16.777 0.028 0.028
51667.1 51667.1 H 16.851 0.036 0.036
51667.1 51667.1 Ks 17.116 0.056 0.056
51668.0 51668.0 Js 17.333 0.025 0.025
51668.0 51668.0 H 17.078 0.05 0.05
51675.2 51675.2 Js 17.967 0.023 0.023
51675.2 51675.2 H 17.366 0.031 0.031
51676.0 51676.0 H 17.302 0.024 0.024
51676.0 51676.0 Ks 17.477 0.029 0.029
51681.0 51681.0 Js 18.361 0.021 0.021
51681.0 51681.0 H 17.638 0.031 0.031
51683.0 51683.0 H 17.723 0.029 0.029
51683.0 51683.0 Ks 17.651 0.037 0.037
51684.0 51684.0 Js 18.577 0.03 0.03
51684.0 51684.0 H 17.822 0.036 0.036
