# sn2001el    251.522402  -51.393884  0.014   0.0038960    0.0036759    56.133000  -44.644833
# *************************************************************************************************
# 
# Krisciunas 2003 AJ, 125, 166
Observation MJD Passband Mag MagErr_minus MagErr_plus
52171.34_D._Gonzalez+YALO 52171.34 J 13.637 0.021 0.021
52171.34_D._Gonzalez+YALO 52171.34 H 13.672 0.036 0.036
52171.34_D._Gonzalez+YALO 52171.34 K 13.532 0.044 0.044
52174.30_Espinoza+YALO 52174.3 J 13.171 0.02 0.02
52174.30_Espinoza+YALO 52174.3 H 13.165 0.037 0.037
52174.30_Espinoza+YALO 52174.3 K 13.021 0.045 0.045
52177.32_Espinoza+YALO 52177.32 J 12.929 0.022 0.022
52177.32_Espinoza+YALO 52177.32 H 13.082 0.037 0.037
52177.32_Espinoza+YALO 52177.32 K 12.841 0.046 0.046
52183.33_D._Gonzalez+YALO 52183.33 J 13.057 0.02 0.02
52183.33_D._Gonzalez+YALO 52183.33 H 13.177 0.036 0.036
52183.33_D._Gonzalez+YALO 52183.33 K 12.951 0.043 0.043
52186.29_Espinoza+YALO 52186.29 J 13.218 0.02 0.02
52186.29_Espinoza+YALO 52186.29 H 13.215 0.036 0.036
52186.29_Espinoza+YALO 52186.29 K 13.117 0.043 0.043
52189.32_Espinoza+YALO 52189.32 J 13.552 0.02 0.02
52189.32_Espinoza+YALO 52189.32 H 13.197 0.036 0.036
52189.32_Espinoza+YALO 52189.32 K 13.17 0.043 0.043
52192.32_D._Gonzalez+YALO 52192.32 J 14.126 0.022 0.022
52192.32_D._Gonzalez+YALO 52192.32 H 13.232 0.042 0.042
52192.32_D._Gonzalez+YALO 52192.32 K 13.186 0.051 0.051
52195.24_D._Gonzalez/Pizarro+YALO 52195.24 J 14.228 0.032 0.032
52195.24_D._Gonzalez/Pizarro+YALO 52195.24 H 13.2 0.051 0.051
52195.24_D._Gonzalez/Pizarro+YALO 52195.24 K 13.118 0.063 0.063
52198.29_D._Gonzalez+YALO 52198.29 J 14.228 0.068 0.068
52198.29_D._Gonzalez+YALO 52198.29 H 13.091 0.099 0.099
52198.29_D._Gonzalez+YALO 52198.29 K 13.057 0.103 0.103
52201.31_Pizarro/Espinoza+YALO 52201.31 J 14.3 0.02 0.02
52201.31_Pizarro/Espinoza+YALO 52201.31 H 12.986 0.036 0.036
52201.31_Pizarro/Espinoza+YALO 52201.31 K 12.997 0.043 0.043
52202.25_S._Gonzalez/Krisciunas+LCO_1_m 52202.25 J 14.191 0.023 0.023
52202.25_S._Gonzalez/Krisciunas+LCO_1_m 52202.25 H 12.978 0.04 0.04
52202.25_S._Gonzalez/Krisciunas+LCO_1_m 52202.25 K 13.035 0.036 0.036
52203.24_S._Gonzalez+LCO_1_m 52203.24 J 14.167 0.022 0.022
52203.24_S._Gonzalez+LCO_1_m 52203.24 H 12.982 0.019 0.019
52203.24_S._Gonzalez+LCO_1_m 52203.24 K 12.957 0.039 0.039
52204.20_S._Gonzalez+LCO_1_m 52204.2 J 14.174 0.025 0.025
52204.20_S._Gonzalez+LCO_1_m 52204.2 H 12.966 0.026 0.026
52204.20_S._Gonzalez+LCO_1_m 52204.2 K 12.988 0.036 0.036
52204.27_Espinoza+YALO 52204.27 J 14.161 0.043 0.043
52204.27_Espinoza+YALO 52204.27 H 13.014 0.071 0.071
52204.27_Espinoza+YALO 52204.27 K 12.872 0.086 0.086
52207.34_Pizarro+YALO 52207.34 J 14.147 0.021 0.021
52207.34_Pizarro+YALO 52207.34 H 12.99 0.038 0.038
52207.34_Pizarro+YALO 52207.34 K 12.929 0.045 0.045
