# SN2003id
# File created by I.Shivvers on 2016-06-10 18:00
# 
# MJD     Mag       Err       LimMag    Passband  Telescope           
52870.50  nan       nan       19.35     clear     kait                
52884.47  nan       nan       20.04     clear     kait                
52889.40  nan       nan       19.49     clear     kait                
52898.51  16.42     0.04      19.04     clear     kait                
52899.38  16.40     0.03      19.70     clear     kait                
52903.40  16.71     0.04      19.85     clear     kait                
52908.40  16.71     0.04      19.73     clear     kait                
52914.41  16.69     0.09      18.52     clear     kait                
52919.30  16.91     0.07      19.03     clear     kait                
52934.34  18.03     0.06      19.88     clear     kait                
52940.33  18.49     0.08      20.06     clear     kait                
52967.26  nan       nan       19.41     clear     kait                
52989.25  nan       nan       19.51     clear     kait                
52902.41  16.54066  0.02668   nan       I         kait
52902.41  16.58366  0.02150   nan       R         kait
52902.41  17.13339  0.01467   nan       V         kait
52902.41  18.15129  0.03446   nan       B         kait
52903.42  16.56725  0.02695   nan       I         kait
52903.42  16.62136  0.01756   nan       R         kait
52903.42  17.17093  0.02184   nan       V         kait
52903.42  18.27188  0.04491   nan       B         kait
52905.45  16.54959  0.02012   nan       R         kait
52905.45  16.55400  0.02891   nan       I         kait
52905.45  17.21278  0.01546   nan       V         kait
52905.45  18.45600  0.05197   nan       B         kait
52907.46  16.52037  0.01433   nan       R         kait
52907.46  16.61191  0.03291   nan       I         kait
52907.46  17.18148  0.02585   nan       V         kait
52909.39  16.43918  0.01504   nan       R         kait
52909.39  16.45693  0.03389   nan       I         kait
52909.39  17.05820  0.02077   nan       V         kait
52909.39  18.44018  0.03323   nan       B         kait
52909.47  16.33009  0.02190   nan       I         nickel
52909.47  16.38401  0.01028   nan       R         nickel
52909.47  17.08494  0.01001   nan       V         nickel
52909.47  18.46445  0.02045   nan       B         nickel
52911.39  16.37400  0.02787   nan       I         kait
52911.39  16.40927  0.01673   nan       R         kait
52911.39  16.97960  0.03158   nan       V         kait
52913.43  16.33113  0.02475   nan       I         kait
52913.43  16.39573  0.01051   nan       R         kait
52913.43  17.09402  0.01957   nan       V         kait
52913.43  18.48175  0.05308   nan       B         kait
52915.40  16.38100  0.02773   nan       I         kait
52915.40  16.44010  0.01408   nan       R         kait
52915.40  17.22482  0.02655   nan       V         kait
52915.40  18.69625  0.07685   nan       B         kait
52917.39  16.47270  0.03607   nan       I         kait
52917.39  16.62552  0.02250   nan       R         kait
52917.39  17.40903  0.02274   nan       V         kait
52917.39  18.79737  0.07847   nan       B         kait
52919.33  16.58282  0.02968   nan       I         kait
52919.33  16.74780  0.01804   nan       R         kait
52919.33  17.57043  0.04589   nan       V         kait
52919.33  18.96450  0.14718   nan       B         kait
52926.43  17.12850  0.26132   nan       I         kait
52926.43  17.13626  0.12044   nan       R         kait
52926.43  18.62236  0.28311   nan       V         kait
52928.32  17.18327  0.03815   nan       I         kait
52928.32  17.49158  0.05208   nan       R         kait
52928.32  18.61547  0.09173   nan       V         kait
52928.32  20.07889  0.12933   nan       B         kait
52930.36  17.40223  0.06664   nan       I         kait
52930.36  17.63117  0.03294   nan       R         kait
52930.36  18.74843  0.05797   nan       V         kait
52933.40  17.50237  0.06381   nan       I         kait
52933.40  17.79935  0.05648   nan       R         kait
52933.40  19.01305  0.09027   nan       V         kait
52936.35  17.75537  0.08259   nan       I         kait
52936.35  18.01564  0.06736   nan       R         kait
52936.35  19.17244  0.12613   nan       V         kait
52938.41  17.63384  0.13912   nan       I         nickel
52938.41  18.13293  0.03715   nan       R         nickel
52938.41  19.61824  0.15824   nan       V         nickel
52938.41  20.70555  0.12983   nan       B         nickel
52939.29  17.94236  0.07655   nan       I         kait
52939.29  18.32789  0.08859   nan       R         kait
52939.29  19.63284  0.18229   nan       V         kait
52939.35  18.25868  0.03103   nan       R         nickel
52939.35  19.48495  0.05332   nan       V         nickel
52939.35  21.05567  0.15836   nan       B         nickel
52942.31  18.37859  0.11720   nan       I         kait
52942.31  18.50572  0.20160   nan       R         kait
52945.32  18.39688  0.09909   nan       I         kait
52945.32  18.83525  0.07505   nan       R         kait
52945.32  19.83616  0.18110   nan       V         kait
