# Photometry from KAIT and Nickel
# Date(MJD)  Magnitude  Error LimitingMag  Passband Telescope ImageName
57075.32  15.9683  0.0075  20.7091  I  Nick  None 
57079.31  16.2658  0.0221  19.3036  I  Nick  None 
57084.36  16.7364  0.0193  19.9453  I  Nick  None 
57089.29  17.9578  0.0664  19.8149  I  Nick  None 
57107.29  nan  nan  20.2864  I  Nick  None 
57111.29  nan  nan  19.9996  I  Nick  None 
57067.35  17.7117  0.1749  18.1822  B  KAIT  None 
57068.21  17.6548  0.1072  18.7297  B  KAIT  None 
57070.19  17.6547  0.0874  18.9791  B  KAIT  None 
57071.21  17.6867  0.0779  19.0030  B  KAIT  None 
57072.23  17.6771  0.0918  18.8948  B  KAIT  None 
57073.25  17.9040  0.1321  18.7740  B  KAIT  None 
57074.18  17.8597  0.1024  19.0187  B  KAIT  None 
57075.20  17.9449  0.0947  19.0903  B  KAIT  None 
57076.20  18.0733  0.1285  18.8642  B  KAIT  None 
57077.19  18.1106  0.1441  18.8085  B  KAIT  None 
57078.19  18.2235  0.1530  18.7231  B  KAIT  None 
57079.21  18.4493  0.2433  18.5927  B  KAIT  None 
57080.21  18.5313  0.2330  18.4973  B  KAIT  None 
57067.36  16.1834  0.0766  17.6213  I  KAIT  None 
57068.22  16.2318  0.0561  18.4732  I  KAIT  None 
57070.19  15.8808  0.0486  18.4572  I  KAIT  None 
57071.21  15.7717  0.0373  18.6119  I  KAIT  None 
57072.23  15.8651  0.0406  18.5178  I  KAIT  None 
57073.25  15.8771  0.0368  18.4668  I  KAIT  None 
57074.18  15.8593  0.0393  18.4046  I  KAIT  None 
57075.20  15.9706  0.0368  18.7266  I  KAIT  None 
57076.20  16.0555  0.0448  18.5037  I  KAIT  None 
57077.19  16.1347  0.0480  18.3548  I  KAIT  None 
57078.20  16.1638  0.0417  18.4427  I  KAIT  None 
57079.21  16.2618  0.0550  18.2689  I  KAIT  None 
57080.21  16.4097  0.0557  18.2797  I  KAIT  None 
