# SN2005ci
# File created by I.Shivvers on 2016-06-10 18:00
# 
# MJD     Mag       Err       LimMag    Passband  Telescope           
53439.52  nan       nan       19.28     clear     kait                
53462.46  nan       nan       19.18     clear     kait                
53471.45  nan       nan       19.27     clear     kait                
53479.43  nan       nan       19.01     clear     kait                
53493.40  nan       nan       19.15     clear     kait                
53504.36  nan       nan       19.14     clear     kait                
53512.38  nan       nan       18.75     clear     kait                
53517.36  nan       nan       19.14     clear     kait                
53523.36  nan       nan       19.19     clear     kait                
53531.31  18.33     0.08      19.75     clear     kait                
53532.35  18.75     0.12      19.88     clear     kait                
53533.33  18.56     0.08      20.08     clear     kait                
53534.26  18.69     0.11      20.06     clear     kait                
53536.30  18.45     0.12      19.45     clear     kait                
53540.33  18.07     0.07      19.27     clear     kait                
53545.29  17.97     0.07      19.39     clear     kait                
53549.28  17.60     0.05      19.71     clear     kait                
53553.29  17.69     0.05      19.74     clear     kait                
53557.28  17.48     0.04      19.75     clear     kait                
53561.26  17.33     0.07      19.27     clear     kait                
53565.25  17.36     0.05      19.49     clear     kait                
53567.18  17.29     0.07      18.44     clear     kait                
53765.54  18.82     0.16      19.07     clear     kait                
53771.51  19.05     0.07      20.85     clear     kait                
53771.57  18.71     0.06      20.40     clear     kait                
53788.51  18.74     0.13      19.90     clear     kait                
53789.55  19.27     0.14      20.33     clear     kait                
53839.39  18.87     0.32      18.15     clear     kait                
53857.38  19.61     0.28      19.94     clear     kait                
53863.38  nan       nan       18.75     clear     kait                
53868.35  nan       nan       18.85     clear     kait                
53874.35  nan       nan       18.28     clear     kait                
53885.29  nan       nan       19.52     clear     kait                
53891.32  nan       nan       19.22     clear     kait                
53906.26  nan       nan       19.38     clear     kait                
53911.24  nan       nan       19.22     clear     kait                
53917.23  nan       nan       19.51     clear     kait                
53923.23  nan       nan       19.20     clear     kait                
53928.21  nan       nan       19.25     clear     kait                
53930.22  nan       nan       19.52     clear     kait                
53933.21  nan       nan       19.13     clear     kait                
53938.19  nan       nan       18.78     clear     kait                
53942.20  nan       nan       19.01     clear     kait                
