# MJD     Mag    Err  LimMag Passband Telescope Filename
58003.30  14.843  0.021     NaN        B     kait4      unk
58004.28  14.769  0.012     NaN        B   nickel2      unk
58004.28  14.788  0.016     NaN        B     kait4      unk
58006.30  14.674  0.016     NaN        B     kait4      unk
58007.23  14.646  0.014     NaN        B   nickel2      unk
58009.26  14.662  0.010     NaN        B   nickel2      unk
58010.25  14.732  0.014     NaN        B     kait4      unk
58012.26  14.749  0.014     NaN        B     kait4      unk
58014.25  14.791  0.015     NaN        B     kait4      unk
58016.24  14.885  0.012     NaN        B     kait4      unk
58016.29  14.840  0.012     NaN        B   nickel2      unk
58018.27  15.139  0.020     NaN        B     kait4      unk
58020.26  15.193  0.015     NaN        B     kait4      unk
58021.25  15.286  0.016     NaN        B     kait4      unk
58023.22  15.480  0.018     NaN        B     kait4      unk
58025.23  15.725  0.025     NaN        B     kait4      unk
58027.22  15.885  0.019     NaN        B   nickel2      unk
58027.23  15.906  0.029     NaN        B     kait4      unk
58029.24  16.177  0.033     NaN        B     kait4      unk
58031.23  16.460  0.055     NaN        B     kait4      unk
58033.22  16.556  0.040     NaN        B     kait4      unk
58035.20  16.774  0.064     NaN        B     kait4      unk
58036.20  16.789  0.038     NaN        B   nickel2      unk
58037.21  17.135  0.192     NaN        B     kait4      unk
58042.12  17.518  0.087     NaN        B     kait4      unk
58043.20  17.289  0.052     NaN        B   nickel2      unk
58044.11  17.793  0.106     NaN        B     kait4      unk
58048.13  17.708  0.068     NaN        B     kait4      unk
58050.13  18.030  0.116     NaN        B     kait4      unk
58052.12  17.720  0.069     NaN        B     kait4      unk
58052.19  17.634  0.065     NaN        B   nickel2      unk
58054.12  18.011  0.180     NaN        B     kait4      unk
58054.18  17.659  0.071     NaN        B   nickel2      unk
58056.12  17.861  0.074     NaN        B     kait4      unk
58058.12  17.915  0.113     NaN        B     kait4      unk
58063.11  18.012  0.087     NaN        B     kait4      unk
58065.11  18.079  0.105     NaN        B     kait4      unk
58069.11  18.086  0.103     NaN        B     kait4      unk
58072.11  18.053  0.244     NaN        B     kait4      unk
58076.10  18.466  0.229     NaN        B     kait4      unk
58087.08  18.129  0.094     NaN        B   nickel2      unk
58087.10  18.562  0.291     NaN        B     kait4      unk
58089.09  18.165  0.096     NaN        B   nickel2      unk
58089.09  18.325  0.231     NaN        B     kait4      unk
58093.10  18.508  0.152     NaN        B     kait4      unk
58095.09  18.458  0.171     NaN        B     kait4      unk
58097.09  18.445  0.190     NaN        B     kait4      unk
58097.09  18.296  0.110     NaN        B   nickel2      unk
58003.30  14.821  0.016     NaN        V     kait4      unk
58004.28  14.720  0.011     NaN        V   nickel2      unk
58004.28  14.745  0.015     NaN        V     kait4      unk
58006.30  14.660  0.013     NaN        V     kait4      unk
58007.23  14.547  0.016     NaN        V   nickel2      unk
58009.26  14.580  0.009     NaN        V   nickel2      unk
58010.25  14.595  0.011     NaN        V     kait4      unk
58012.26  14.623  0.016     NaN        V     kait4      unk
58014.25  14.612  0.014     NaN        V     kait4      unk
58016.24  14.646  0.011     NaN        V     kait4      unk
58016.29  14.613  0.010     NaN        V   nickel2      unk
58018.27  14.727  0.015     NaN        V     kait4      unk
58020.26  14.796  0.013     NaN        V     kait4      unk
58021.25  14.868  0.017     NaN        V     kait4      unk
58023.22  14.990  0.015     NaN        V     kait4      unk
58025.23  15.106  0.024     NaN        V     kait4      unk
58027.22  15.184  0.020     NaN        V   nickel2      unk
58027.23  15.255  0.046     NaN        V     kait4      unk
58029.24  15.277  0.020     NaN        V     kait4      unk
58031.23  15.328  0.027     NaN        V     kait4      unk
58033.22  15.439  0.022     NaN        V     kait4      unk
58035.20  15.578  0.041     NaN        V     kait4      unk
58036.20  15.586  0.031     NaN        V   nickel2      unk
58037.21  15.611  0.029     NaN        V     kait4      unk
58042.12  15.918  0.030     NaN        V     kait4      unk
58043.20  16.016  0.038     NaN        V   nickel2      unk
58044.11  16.072  0.058     NaN        V     kait4      unk
58048.13  16.442  0.049     NaN        V     kait4      unk
58050.13  16.472  0.081     NaN        V     kait4      unk
58052.12  16.488  0.045     NaN        V     kait4      unk
58052.19  16.459  0.051     NaN        V   nickel2      unk
58054.12  16.469  0.046     NaN        V     kait4      unk
58054.18  16.545  0.056     NaN        V   nickel2      unk
58056.12  16.505  0.045     NaN        V     kait4      unk
58058.12  16.629  0.055     NaN        V     kait4      unk
58063.11  16.741  0.056     NaN        V     kait4      unk
58065.11  16.916  0.067     NaN        V     kait4      unk
58069.11  17.101  0.066     NaN        V     kait4      unk
58072.11  17.118  0.110     NaN        V     kait4      unk
58076.10  17.168  0.124     NaN        V     kait4      unk
58087.08  17.439  0.103     NaN        V   nickel2      unk
58087.10  17.296  0.115     NaN        V     kait4      unk
58089.09  17.494  0.109     NaN        V   nickel2      unk
58089.09  17.690  0.412     NaN        V     kait4      unk
58093.10  17.521  0.112     NaN        V     kait4      unk
58095.09  17.942  0.163     NaN        V     kait4      unk
58097.09  17.761  0.292     NaN        V     kait4      unk
58097.09  17.681  0.123     NaN        V   nickel2      unk
58003.30  14.793  0.022     NaN        R     kait4      unk
58004.28  14.648  0.019     NaN        R   nickel2      unk
58004.28  14.728  0.022     NaN        R     kait4      unk
58006.30  14.670  0.019     NaN        R     kait4      unk
58007.23  14.511  0.023     NaN        R   nickel2      unk
58009.26  14.456  0.016     NaN        R   nickel2      unk
58010.25  14.486  0.016     NaN        R     kait4      unk
58012.26  14.469  0.017     NaN        R     kait4      unk
58014.25  14.531  0.019     NaN        R     kait4      unk
58016.24  14.617  0.018     NaN        R     kait4      unk
58016.29  14.508  0.017     NaN        R   nickel2      unk
58018.27  14.726  0.021     NaN        R     kait4      unk
58020.26  14.862  0.020     NaN        R     kait4      unk
58021.25  14.990  0.027     NaN        R     kait4      unk
58023.22  15.070  0.038     NaN        R     kait4      unk
58025.23  15.204  0.037     NaN        R     kait4      unk
58027.22  15.132  0.027     NaN        R   nickel2      unk
58027.23  15.193  0.094     NaN        R     kait4      unk
58029.24  15.211  0.029     NaN        R     kait4      unk
58031.23  15.163  0.057     NaN        R     kait4      unk
58033.22  15.206  0.036     NaN        R     kait4      unk
58036.20  15.173  0.033     NaN        R   nickel2      unk
