#MJD,mag,mag_err,filter,instrument
56412.46,20.35,99,R,P48
56413.44,20.44,0.17,R,P48
56413.47,20.34,0.16,R,P48
56414.47,19.58,0.09,R,P48
56415.47,19.06,0.06,R,P48
56415.49,19.02,0.07,R,P48
56415.50,18.99,0.09,R,P48
56416.44,18.52,0.04,R,P48
56416.47,18.46,0.04,R,P48
56416.48,18.49,0.06,R,P48
56417.44,18.09,0.06,R,P48
56423.44,16.86,0.06,R,P48
56423.47,16.87,0.05,R,P48
56423.48,16.89,0.03,R,P48
56424.44,16.84,0.03,R,P48
56424.45,16.82,0.05,R,P48
56424.46,16.82,0.05,R,P48
56425.43,16.76,0.05,R,P48
56425.45,16.77,0.05,R,P48
56425.46,16.79,0.03,R,P48
56426.45,16.74,0.03,R,P48
56426.48,16.74,0.03,R,P48
56427.44,16.72,0.04,R,P48
56427.47,16.70,0.05,R,P48
56427.47,16.71,0.04,R,P48
56432.44,16.67,0.03,R,P48
56432.47,16.67,0.05,R,P48
56433.42,16.69,0.03,R,P48
56433.45,16.73,0.05,R,P48
56433.48,16.71,0.03,R,P48
56434.41,16.72,0.05,R,P48
56434.44,16.73,0.04,R,P48
56434.47,16.74,0.04,R,P48
56443.16,18.15,0.06,i,P60
56443.16,18.20,0.06,i,P60
56443.16,17.18,0.03,r,P60
56443.17,17.12,0.03,g,P60
56443.17,17.10,0.04,g,P60
56443.17,17.14,0.03,r,P60
56446.26,18.44,0.04,i,P60
56446.26,18.49,0.04,i,P60
56448.30,17.53,0.04,g,P60
56448.30,17.49,0.03,r,P60
56449.27,18.38,0.04,i,P60
56451.29,17.80,0.04,g,P60
56451.29,17.58,0.03,r,P60
56452.29,18.31,0.04,i,P60
56455.43,17.39,99,g,P60
56456.17,18.14,0.04,i,P60
56456.18,18.22,0.04,g,P60
56456.18,17.57,0.02,r,P60
56459.18,18.47,0.04,g,P60
56459.18,18.12,0.03,i,P60
56459.18,17.66,0.02,r,P60
56462.26,18.10,0.03,i,P60
56462.26,17.72,0.03,r,P60
56462.27,18.78,0.05,g,P60
56467.26,19.01,0.10,g,P60
56467.26,18.19,0.07,i,P60
56467.26,18.05,0.05,r,P60
56467.26,19.02,0.19,g,P60
56467.26,18.26,0.06,i,P60
56467.26,17.94,0.04,r,P60
56470.21,19.24,0.09,g,P60
56470.21,18.26,0.02,r,P60
56473.27,18.63,0.06,i,P60
56473.27,18.36,0.03,r,P60
56473.27,18.61,0.06,i,P60
56473.27,18.36,0.03,r,P60
56474.19,19.55,0.19,g,P60
56476.21,18.86,0.08,i,P60
56476.21,18.45,0.06,r,P60
56477.18,19.62,0.11,g,P60
56479.23,19.11,0.05,i,P60
56479.23,19.11,0.06,i,P60
56479.23,18.55,0.03,r,P60
56479.23,18.55,0.03,r,P60
56482.22,19.25,0.04,i,P60
56482.22,18.77,0.03,r,P60
56485.18,19.68,0.06,g,P60
56486.18,19.40,0.06,i,P60
56486.18,18.80,0.03,r,P60
56489.22,19.71,0.13,g,P60
56490.21,19.59,0.07,i,P60
56490.22,18.94,0.04,r,P60
56418.11,16.92,0.06,U,NOT
56418.11,17.78,0.08,B,NOT
56418.11,17.89,0.12,V,NOT
56425.08,15.89,0.04,U,NOT
56425.08,16.61,0.03,B,NOT
56425.08,16.65,0.04,V,NOT
56435.96,16.46,0.05,U,NOT
56435.96,16.75,0.04,B,NOT
56435.96,16.72,0.04,V,NOT
56440.08,16.89,0.05,U,NOT
56440.08,17.00,0.05,B,NOT
56440.08,16.86,0.05,V,NOT
