SNHunt des.,IAU des.,Discovery,Discoverer,Survey,Host galaxy,RA,Dec,Type,Notes
SNhunt1,,8/20/2010,Drake,SSS,ESO 352-G47,01h20m36s,-34:07:04,PSN,On reference
SNhunt2,,8/21/2010,Drake,SSS,ESO 400-G24,20h27m11.4s,-35:15:02,PSN,On reference
SNhunt3,SN 2010hc,8/24/2010,Drake,SSS,ESO 339-G6,19h55m08.2s,-39:21:59,IIb,Image date 2010-09-05
SNhunt4,SN 2010hd,8/24/2010,Drake,SSS,ESO 290-G1,22h41m51.8s,-46:05:45,IIn,Image date 2010-08-07
SNhunt5,SN 2010hj,8/24/2010,Drake,SSS,ESO 145-G16,21h48m09.8s,-59:02:23,Ia,Image date 2010-08-04
SNhunt6,,8/24/2010,Drake,SSS,MCG-03-34-004,13h09m40.8s,-16:36:10,,On reference.  Unconfirmed.
SNhunt7,,9/9/2010,Drake,MLS,IC 357,04h03m42.9s,+22:09:33,,Unconfirmed
SNhunt8,SN 2010hs,9/10/2010,Drake/Howerton,CSS,2MASX J02253767+2445579,02h25m39.1s,+24:45:54,Ia,LOSS official credit 2016-09-12
SNhunt9,,9/9/2010,Drake,SSS,IC 5262B,22h55m22.5s,-33:53:30,,Unconfirmed
SNhunt10,,10/10/2010,Drake,SSS,SDSS J015731.05-092853.3?,01h57m31.1s,-09:28:53,,Unconfirmed
SNhunt11,SN 2010iw,10/14/2010,Howerton,CSS,UGC 4570,08h45m15.0s,+27:49:22,Ia pec,
SNhunt12,SN 2008jb,10/26/2010,Drake,SSS,ESO 302-G13,03h51m44.7s,-38:27:00,II,Also on reference
SNhunt13,,10/26/2010,Drake,CSS,UGC 102,00h11m00.8s,+30:02:58,,Subtraction artifact
SNhunt14,,10/28/2010,Howerton,SSS,ESO 235-G39,21h02m43.8s,-48:21:33,AGN?,
SNhunt15,,10/28/2010,Drake,CSS,IC 2591,10h36m39.4s,+38:03:08,AGN?,
SNhunt16,,10/28/2010,Drake,CSS,NGC 3476,10h58m24.9s,+24:13:34,AGN?,
SNhunt17,SN 2010jc,10/29/2010,Howerton,CSS,NGC 1033,02h40m14.0s,-08:46:27,IIP,Puckett 2010-10-31
SNhunt18,,10/31/2010,Howerton,CSS,NGC 386,01h07m31.5s,+32:21:33,,Probable subtraction artifact
SNhunt19,,11/2/2010,Garradd,SSS,ESO 189-G19,22h00m26.0s,-56:21:25,PSN,
SNhunt20,,11/2/2010,Howerton,CSS,SDSS J085427.67+343520.6,08h54m27.7s,+34:35:21,PSN,
SNhunt21,SN 2010jt,11/6/2010,Howerton,SSS,6dFGS gJ234339.4-411917,23h43m41.2s,-41:18:47,PSN,SN designation with no spectrum
SNhunt22,,11/12/2010,Howerton,SSS,IC 5302,23h19m36.2s,-64:34:10,,Probable subtraction artifact
SNhunt23,,11/13/2010,Howerton,MLS,NGC 3016,09h49m51.0s,+12:41:59,LBV?,Might be old SN
SNhunt24,SN 2010kl,11/16/2010,Howerton,MLS,CGCG 039-184,11h27m17.5s,+03:45:33,Ia,
SNhunt25,,11/17/2010,Howerton,CSS,ESO 552-G55,05h02m41.6s,-22:13:41,AGN?,Might be subtraction artifact
SNhunt26,,11/18/2010,McNaught,SSS,ESO 246-G20,02h29m50.0s,-42:57:42,AGN?,Might be subtraction artifact
SNhunt27,,11/26/2010,McNaught,SSS,ESO 78-G23,00h23m54.0s,-62:16:22,PSN,
SNhunt28,,11/28/2010,Howerton,CSS,CGCG 391-021 NED03,03h38m13.0s,+01:09:41,AGN/PSN,
NA,SN 2010km,12/4/2010,Howerton,MLS,CGCG 484-024,02h55m12.8s,+24:38:13,PSN,
SNhunt209,,12/5/2010,Howerton,MLS,NGC 4517,12h32m42.9s,+00:07:09,LBV?,
NA,SN 2010kq,12/7/2010,Howerrton,CSS,UGC 1769,02h18m10.9s,+37:05:42,Ia,
NA,SN 2010ks,12/11/2010,Howerton,CSS,UGC 5622,10h23m42.4s,+33:46:49,PSN,SN des with no spec.
SNhunt29,,1/3/2011,Howerton,CSS,IC 1748,01h56m07.2s,+17:38:47,PSN,
SNhunt30,SN 2011D,1/5/2011,Howerton,CSS,UGC 2498,03h02m14.6s,+17:20:59,IIb,LOSS 2011-01-06
SNhunt31,,1/10/2011,Howerton,CSS,NGC 3437,10h52m34.5s,+22:56:05,LBV,Confirmed LBV
SNhunt32,,1/16/2011,Howerton,MLS,NGC 3016,09h49m50.2s,+12:41:36,PSN,
SNhunt33,,1/26/2011,Howerton,CSS,SDSS J023406.15+205720.6,02h34m06.2s,+20:57:21,AGN/PSN,
SNhunt34,,1/26/2011,Howerton,MLS,SDSS J082331.78+270928.5,08h23m31.8s,+27:09:29,AGN?,
SNhunt35,,1/27/2011,Howerton,CSS,NGC 6372,17h27m30.1s,+26:28:40,PSN,
SNhunt36,,2/2/2011,Howerton,CSS,MCG-02-12-022,04h28m07.1s,-14:46:11,PSN,
SNhunt37,SN 2011ae,2/12/2011,Howerton,CSS,MCG-03-30-019,11h54m49.3s,-16:51:44,Ia,
SNhunt38,,2/23/2011,Howerton,SSS,ESO 376-G11,10h42m12.4s,-37:10:51,PSN,On reference
SNhunt39,,2/23/2011,Howerton,CSS,SDSS J104414.45+140617.1,10h44m14.5s,+14:06:17,AGN?,
SNhunt40,SN 2011an,3/1/2011,Howerton,CSS,UGC 4139,07h59m24.4s,+16:25:08,IIn,
SNhunt41,,3/5/2011,Howerton,MLS,UGC 3753,07h13m55.2s,+23:14:09,LBV?,
SNhunt42,,3/8/2011,Howerton,CSS,UGC 3066,04h30m57.6s,+05:32:15,PSN,
SNhunt43,SN 2011bn,3/8/2011,Howerton,CSS,UGC 10306,16h16m42.4s,+00:14:30,II,
SNhunt44,,3/8/2011,Howerton,CSS,UGC 7577,12h27m41.1s,+43:29:42,LRV?,
SNhunt45,,3/14/2011,Howerton,MLS,NGC 3601,11h15m33.5s,+05:07:02,PSN,
SNhunt46,SN 2011be,3/25/2011,Howerton,CSS,UGC 4985,09h22m52.6s,+21:59:16,Ia,
SNhunt47,SN 2011bg,3/26/2011,Howerton,CSS,KUG 1153+256A,11h56m14.3s,+25:21:14,Ia,PTF 2011-03-14
SNhunt48,,3/27/2011,Howerton,SSS,ESO 486-G49,05h17m26.5s,-23:44:46,PSN,
SNhunt49,,3/29/2011,Howerton,MLS,2MASX J04090615+1530500,04h09m06.8s,+15:30:47,PSN,Unconfirmed
SNhunt50,SN 2011bz,4/24/2011,Howerton,MLS,NGC 5442,14h04m43.8s,-09:43:05,Ia,
SNhunt51,,4/24/2011,Howerton,MLS,2MFGC 11397,14h04m22.2s,-15:13:15,PSN,Unconfirmed
SNhunt52,SN 2011co,4/25/2011,Howerton,SSS,NGC 2815,09h16m21.7s,-23:37:17,IIP,
SNhunt53,SN 2011cq,4/26/2011,Howerton,CSS,MCG+00-31-044,12h16m07.2s,-03:34:31,II pec,
SNhunt54,,5/4/2011,Howerton,SSS,ESO 380-G30,12h27m24.4s,-33:31:47,,Probable subtraction artifact
SNhunt55,,5/8/2011,Howerton,CSS,VV 463,11h02m30.7s,+02:37:13,PSN,
SNhunt56,SN 2011ds,5/13/2011,Howerton,SSS,ESO 595-G8,20h02m20.9s,-20:13:13,II,
SNhunt57,,5/23/2011,Howerton,MLS,MRK 623,07h16m16.9s,+25:58:21,PSN,
SNhunt58,,5/24/2011,Howerton,SSS,UGC 8740,13h49m37.4s,+04:14:31,PSN,S. Leonini prediscovery
SNhunt59,SN 2011dr,5/25/2011,Howerton,SSS,ESO 284-G16,20h06m20.3s,-42:45:58,IIP,
SNhunt60,,5/27/2011,Howerton,CSS,UGC 5623,10h23m48.7s,+33:48:24,,Probable subtraction artifact
SNhunt61,SN 2011ki,6/1/2011,Howerton,CSS,UGC 10246,16h10m30.6s,+27:30:01,II,PTF 2011-06-03
SNhunt62,,6/2/2011,Howerton,MLS,NGC 6379,17h30m36.1s,+16:17:11,PSN,
SNhunt63,,6/3/2011,Howerton,SSS,ESO 263-G6,10h07m01.8s,-43:03:31,PSN,
SNhunt64,,6/6/2011,Howerton,CSS,UGC 8668,13h41m57.5s,+18:08:38,PSN,
