Title: Precursors prior to Type IIn supernova explosions are common: 
       precursor rates, properties, and correlations 
Authors: Ofek E.O., Sullivan M., Shaviv N.J., Steinbok A., Arcavi I., 
         Gal-Yam A., Tal D., Kulkarni S.R., Nugent P.E., Ben-Ami S., 
         Kasliwal M.M., Cenko S.B., Laher R., Surace J., Bloom J.S., 
         Filippenko A.V., Silverman J.M., Yaron O. 
Table: SN Observations
================================================================================
Byte-by-byte Description of file: apj496516t2_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units   Label   Explanations
--------------------------------------------------------------------------------
   1-  9 A9     ---     SN      Supernova identifier
  11- 11 A1     ---     Filter  Filter used in the observation
  13- 22 F10.5  d       Time    Time relative to t_rise
  24- 34 F11.5  d       MJD     Modified Julian Date
  36- 41 F6.3   mag     mag     Observed luptitude in Filter (1)
  43- 50 F8.3   mag    emag     Error in mag
  52- 57 F6.3   mag     lmag    Limiting magnitude
  59- 66 F8.1   ct      Flux    Flux residual
  68- 74 F7.1   ct    e_Flux    Error in Flux
--------------------------------------------------------------------------------
Note (1): Magnitude are calculated in luptitudesa, and they have meaning only 
          when smaller than the limiting magnitude. A magnitude measure in 
          which the logarithm is replaced with a hyperbolic sine. Unlike normal
          magnitudes, luptitudes are defined for negative fluxes 
          (Lupton, Gunn, & Szalay 1999).
--------------------------------------------------------------------------------
PTF10aaxf R -232.84900 55241.15100 81.555   -0.913 21.441    -66.4    55.8 
PTF10aaxf R -232.49900 55241.50100 82.323   -0.985 20.590   -134.7   122.2 
PTF10aaxf R -229.61100 55244.38900 21.890    0.392 21.802    110.7    40.0 
PTF10aaxf R -229.56800 55244.43200 82.112   -0.653 21.247   -110.9    66.7 
PTF10aaxf R -223.68700 55250.31300 81.913   -1.045 20.936    -92.3    88.8 
PTF10aaxf R -223.64300 55250.35700 81.642   -2.273 20.363    -71.9   150.5 
PTF10aaxf R -203.84900 55270.15100 82.107   -0.504 21.534   -110.4    51.2 
PTF10aaxf R -203.80500 55270.19500 81.367   -0.880 21.669    -55.8    45.2 
PTF10aaxf R -194.86500 55279.13500 82.722   -0.620 20.694   -194.5   111.0 
PTF10aaxf R -194.82100 55279.17900 23.184    1.813 21.435     33.6    56.1 
PTF10aaxf R -189.83300 55284.16700 78.747  -20.330 20.879     -5.0    93.6 
PTF10aaxf R -189.79000 55284.21000 83.495   -0.328 20.613   -396.1   119.6 
PTF10aaxf R -180.74600 55293.25400 82.188   -0.709 21.083   -118.9    77.6 
PTF10aaxf R -180.70200 55293.29800 81.751   -1.035 21.108    -79.5    75.8 
