g	57539.921	19.10	0.06
g	57546.978	19.20	0.02
g	57547.908	19.41	0.02
g	57551.980	19.43	0.05
g	57555.085	19.63	0.23
g	57555.089	19.57	0.05
g	57556.042	19.82	0.21
g	57556.046	19.77	0.10
g	57563.045	20.01	0.16
g	57574.002	20.84	0.12
g	57575.954	20.81	0.08
g	57575.958	20.78	0.07
g	57578.008	21.04	0.11
g	57578.013	20.98	0.17
g	57579.785	21.23	0.06
g	57580.988	21.23	0.12
g	57580.993	21.10	0.10
g	57592.789	21.94	0.10
g	57596.846	21.91	0.19
g	57598.787	22.10	0.15
g	57601.855	22.40	0.22
r	57539.964	19.46	0.08
r	57547.021	19.46	0.04
r	57547.903	19.41	0.02
r	57550.961	19.56	0.07
r	57551.974	19.56	0.03
r	57556.050	19.76	0.12
r	57556.052	19.78	0.09
r	57563.049	19.84	0.14
r	57563.051	19.71	0.09
r	57573.779	20.31	0.04
r	57574.007	20.25	0.15
r	57574.011	20.33	0.06
r	57575.959	20.37	0.06
r	57579.781	20.65	0.06
r	57580.998	20.61	0.08
r	57581.001	20.66	0.11
r	57586.977	20.85	0.18
r	57592.777	21.03	0.05
r	57596.851	21.32	0.1
r	57596.855	21.08	0.1
r	57598.775	21.38	0.12
r	57600.920	21.33	0.23
r	57601.865	21.41	0.10
r	57601.869	21.33	0.13
r	57618.741	21.85	0.21
r	57630.659	22.17	0.22
i	57547.058	19.87	0.08
i	57547.060	19.81	0.07
i	57547.905	19.8	0.05
i	57551.977	19.88	0.08
i	57574.014	20.42	0.15
i	57574.018	20.53	0.16
i	57575.957	20.71	0.13
i	57575.960	20.69	0.12
i	57579.783	20.57	0.07
i	57581.009	20.58	0.21
i	57589.740	20.99	0.18
i	57592.783	20.96	0.07
i	57596.859	21.23	0.19
i	57598.781	21.01	0.09
i	57601.872	21.2	0.12
i	57630.662	21.87	0.17
