Date (MJD)	Filter	Mag	Facility	
55295.2	Mould-R	>20.94	Palomar 48 inch	
55296.5	Mould-R	>19.28	Palomar 48 inch	
55302.4	Mould-R	19.99 +or- 0.19	Palomar 48 inch	
55313.2	Mould-R	19.27 +or- 0.11	Palomar 48 inch	
55316.3	Mould-R	19.28 +or- 0.11	Palomar 48 inch	
55317.3	Mould-R	19.30 +or- 0.13	Palomar 48 inch	
55319.2	Mould-R	19.20 +or- 0.10	Palomar 48 inch	
55320.2	Mould-R	19.42 +or- 0.12	Palomar 48 inch	
55321.3	Mould-R	19.41 +or- 0.12	Palomar 48 inch	
55323.2	Mould-R	19.39 +or- 0.13	Palomar 48 inch	
55324.2	Mould-R	19.53 +or- 0.15	Palomar 48 inch	
55329.2	Mould-R	19.55 +or- 0.18	Palomar 48 inch	
55330.2	Mould-R	19.67 +or- 0.20	Palomar 48 inch	
55331.2	Mould-R	19.74 +or- 0.16	Palomar 48 inch	
55332.2	Mould-R	19.68 +or- 0.11	Palomar 48 inch	
55333.2	Mould-R	19.65 +or- 0.15	Palomar 48 inch	
55336.3	Mould-R	19.60 +or- 0.12	Palomar 48 inch	
55337.3	Mould-R	19.61 +or- 0.17	Palomar 48 inch	
55343.2	Mould-R	19.81 +or- 0.12	Palomar 48 inch	
55346.2	Mould-R	19.66 +or- 0.13	Palomar 48 inch	
55347.2	Mould-R	19.79 +or- 0.17	Palomar 48 inch	
55348.2	Mould-R	19.66 +or- 0.13	Palomar 48 inch	
55349.3	Mould-R	19.90 +or- 0.19	Palomar 48 inch	
55351.2	Mould-R	19.78 +or- 0.16	Palomar 48 inch	
55352.2	Mould-R	19.63 +or- 0.12	Palomar 48 inch	
55353.2	Mould-R	19.83 +or- 0.21	Palomar 48 inch	
55355.2	Mould-R	19.76 +or- 0.16	Palomar 48 inch	
55356.2	Mould-R	19.69 +or- 0.16	Palomar 48 inch	
55361.2	Mould-R	19.82 +or- 0.16	Palomar 48 inch	
55362.2	Mould-R	19.80 +or- 0.16	Palomar 48 inch	
55363.2	Mould-R	19.66 +or- 0.16	Palomar 48 inch	
55364.2	Mould-R	19.84 +or- 0.15	Palomar 48 inch	
55368.2	Mould-R	19.95 +or- 0.14	Palomar 48 inch	
55371.2	Mould-R	19.93 +or- 0.23	Palomar 48 inch	
55372.2	Mould-R	20.10 +or- 0.16	Palomar 48 inch	
55373.2	Mould-R	20.15 +or- 0.19	Palomar 48 inch	
55375.2	Mould-R	19.97 +or- 0.17	Palomar 48 inch	
55377.2	Mould-R	20.00 +or- 0.24	Palomar 48 inch	
55379.2	Mould-R	19.87 +or- 0.10	Palomar 48 inch	
55304.4	r	19.85 +or- 0.12	Palomar 60 inch	
55306.3	r	19.40 +or- 0.05	Palomar 60 inch	
55310.3	r	19.29 +or- 0.03	Palomar 60 inch	
55312.1	r	19.41 +or- 0.03	Palomar 60 inch	
55313.2	r	18.87 +or- 0.05	Palomar 60 inch	
55314.2	r	18.94 +or- 0.17	Palomar 60 inch	
55316.3	r	19.16 +or- 0.05	Palomar 60 inch	
55317.3	r	19.30 +or- 0.05	Palomar 60 inch	
55319.2	r	19.32 +or- 0.04	Palomar 60 inch	
55320.2	r	19.25 +or- 0.01	Palomar 60 inch	
55321.2	r	19.33 +or- 0.02	Palomar 60 inch	
55322.3	r	19.40 +or- 0.02	Palomar 60 inch	
55323.3	r	19.55 +or- 0.04	Palomar 60 inch	
55324.3	r	19.47 +or- 0.02	Palomar 60 inch	
55341.3	r	19.61 +or- 0.11	Palomar 60 inch	
55343.2	r	19.69 +or- 0.06	Palomar 60 inch	
55347.3	r	19.80 +or- 0.04	Palomar 60 inch	
55348.2	r	19.71 +or- 0.01	Palomar 60 inch	
55350.2	r	19.76 +or- 0.03	Palomar 60 inch	
55352.3	r	19.65 +or- 0.03	Palomar 60 inch	
55354.2	r	19.80 +or- 0.06	Palomar 60 inch	
55356.3	r	19.75 +or- 0.08	Palomar 60 inch	
55357.3	r	19.68 +or- 0.08	Palomar 60 inch	
55363.2	r	19.81 +or- 0.03	Palomar 60 inch	
55368.3	r	20.01 +or- 0.12	Palomar 60 inch	
55372.2	r	19.92 +or- 0.03	Palomar 60 inch	
55381.2	r	19.90 +or- 0.08	Palomar 60 inch	
55391.2	r	20.35 +or- 0.05	Palomar 60 inch	
55406.2	r	21.26 +or- 0.13	Palomar 60 inch	
55407.2	r	21.22 +or- 0.14	Palomar 60 inch	
55306.3	g	20.32 +or- 0.18	Palomar 60 inch	
55310.3	g	20.09 +or- 0.05	Palomar 60 inch	
55313.2	g	19.91 +or- 0.09	Palomar 60 inch	
55317.3	g	20.08 +or- 0.06	Palomar 60 inch	
55319.2	g	20.00 +or- 0.06	Palomar 60 inch	
55320.2	g	20.25 +or- 0.10	Palomar 60 inch	
55321.2	g	20.19 +or- 0.03	Palomar 60 inch	
55322.3	g	20.16 +or- 0.08	Palomar 60 inch	
55323.3	g	20.23 +or- 0.04	Palomar 60 inch	
55324.3	g	20.20 +or- 0.02	Palomar 60 inch	
55341.3	g	20.52 +or- 0.11	Palomar 60 inch	
55348.2	g	20.70 +or- 0.07	Palomar 60 inch	
55350.2	g	20.66 +or- 0.07	Palomar 60 inch	
55351.3	g	20.78 +or- 0.11	Palomar 60 inch	
55352.3	g	20.80 +or- 0.11	Palomar 60 inch	
55353.2	g	20.88 +or- 0.09	Palomar 60 inch	
55354.2	g	21.01 +or- 0.14	Palomar 60 inch	
55356.3	g	21.25 +or- 0.25	Palomar 60 inch	
55304.4	i	19.32 +or- 0.11	Palomar 60 inch	
55306.3	i	18.94 +or- 0.07	Palomar 60 inch	
55310.3	i	18.98 +or- 0.03	Palomar 60 inch	
55312.2	i	19.06 +or- 0.04	Palomar 60 inch	
55313.2	i	18.98 +or- 0.09	Palomar 60 inch	
55317.3	i	19.03 +or- 0.06	Palomar 60 inch	
55319.2	i	19.02 +or- 0.07	Palomar 60 inch	
55320.2	i	19.04 +or- 0.03	Palomar 60 inch	
55321.2	i	19.13 +or- 0.03	Palomar 60 inch	
55322.3	i	19.02 +or- 0.04	Palomar 60 inch	
55323.3	i	19.14 +or- 0.03	Palomar 60 inch	
55324.2	i	19.21 +or- 0.04	Palomar 60 inch	
55341.3	i	19.21 +or- 0.09	Palomar 60 inch	
55343.2	i	19.20 +or- 0.02	Palomar 60 inch	
55349.2	i	19.33 +or- 0.02	Palomar 60 inch	
55351.3	i	19.30 +or- 0.03	Palomar 60 inch	
