JD	Y	J	H	Instrument
2453807.87	16.630	.020	16.398	.025	16.257	.046	RetroCam
2453808.85	16.704	.024	16.375	.027	16.224	.042	RetroCam
2453810.87	16.711	.022	16.377	.020	-	-	RetroCam
2453813.87	16.645	.021	16.380	.019	-	-	RetroCam
2453820.87	16.632	.022	16.371	.018	16.201	.044	RetroCam
2453826.83	16.623	.020	16.366	.022	16.160	.051	RetroCam
2453834.87	16.554	.009	16.248	.009	16.050	.014	WIRC
2453839.83	16.456	.019	16.188	.020	16.050	.040	RetroCam
2453845.83	16.353	.008	16.093	.009	15.838	.013	WIRC
2453848.83	16.314	.016	16.052	.016	15.838	.032	RetroCam
2453868.80	16.073	.015	15.794	.011	15.615	.027	RetroCam
