g	57371.732	20.05	0.06
g	57373.663	20.07	0.08
g	57375.658	20.06	0.06
g	57377.652	20.09	0.18
g	57386.748	19.71	0.05
g	57403.879	20.52	0.06
g	57405.993	20.60	0.07
g	57412.618	20.63	0.14
g	57414.632	20.61	0.09
g	57422.622	20.61	0.08
g	57424.605	20.57	0.08
g	57430.603	20.63	0.13
g	57444.706	21.51	0.18
g	57446.656	21.70	0.09
g	57448.671	22.00	0.14
g	57452.814	22.11	0.16
g	57452.854	22.06	0.13
g	57403.800	20.39	0.04
g	57433.830	20.82	0.03
g	57464.770	22.33	0.06
g	57494.650	22.59	0.08
g	57357.326	20.00	0.07
g	57357.357	20.12	0.09
g	57360.337	19.70	0.06
g	57360.378	19.71	0.04
g	57363.340	19.67	0.05
g	57363.380	19.62	0.07
g	57366.347	19.87	0.06
g	57366.387	19.79	0.07
g	57369.306	20.02	0.08
g	57369.343	20.05	0.06
g	57372.293	19.91	0.11
g	57372.329	19.98	0.13
g	57375.287	20.16	0.10
g	57375.327	19.94	0.06
g	57387.335	19.63	0.04
g	57387.375	19.80	0.05
g	57390.412	19.88	0.12
g	57402.318	20.755	0.20
g	57422.377	20.50	0.12
g	57422.407	20.47	0.12
g	57425.399	20.34	0.13
g	57425.429	20.66	0.17
g	57428.371	20.67	0.13
g	57428.402	20.80	0.18
g	57431.337	20.89	0.09
g	57431.368	21.14	0.14
g	57434.313	20.89	0.23
g	57394.483	19.88	0.20
g	57395.421	19.90	0.20
g	57395.426	19.87	0.16
g	57396.334	20.08	0.10
g	57396.339	19.99	0.09
g	57398.422	20.22	0.1
g	57398.426	20.13	0.07
g	57403.534	20.48	0.1
g	57403.538	20.5	0.09
g	57407.419	20.52	0.14
g	57407.423	20.65	0.14
g	57415.316	20.44	0.09
g	57415.320	20.43	0.11
g	57419.416	20.26	0.1
g	57419.419	20.25	0.1
g	57423.314	20.48	0.11
g	57423.318	20.42	0.11
g	57429.302	20.61	0.11
g	57429.307	20.62	0.11
g	57448.311	21.56	0.13
r	57371.733	19.90	0.06
r	57373.664	19.84	0.05
r	57375.659	19.84	0.06
r	57377.653	19.69	0.08
r	57386.749	19.55	0.04
r	57403.880	19.83	0.05
r	57405.995	19.84	0.06
r	57408.604	19.74	0.15
r	57412.619	19.86	0.08
r	57414.634	19.79	0.06
r	57416.650	19.80	0.04
r	57422.623	19.82	0.06
r	57430.604	19.84	0.06
r	57444.707	20.56	0.08
r	57446.657	20.63	0.06
r	57448.672	20.69	0.06
r	57452.846	20.80	0.05
r	57464.623	21.09	0.10
r	57472.637	21.83	0.18
r	57472.667	21.74	0.11
r	57473.711	21.71	0.10
r	57473.768	21.85	0.17
r	57475.723	21.93	0.19
r	57475.729	21.90	0.21
r	57479.655	21.74	0.20
r	57480.727	22.16	0.16
r	57483.707	22.12	0.15
r	57403.800	19.72	0.03
r	57433.830	19.98	0.03
r	57464.770	21.08	0.02
r	57494.650	21.70	0.05
r	57394.988	19.31	0.17
r	57395.931	19.70	0.10
r	57395.935	19.61	0.13
r	57396.844	20.0	0.09
r	57396.847	19.74	0.06
r	57398.929	19.69	0.04
r	57398.932	19.69	0.04
r	57404.042	19.83	0.04
r	57404.044	19.76	0.03
r	57407.927	19.89	0.07
r	57407.930	19.81	0.05
r	57411.983	19.66	0.11
r	57411.985	19.74	0.16
r	57415.824	19.89	0.03
r	57415.826	19.79	0.03
r	57419.923	19.78	0.04
r	57419.926	19.82	0.04
r	57423.822	19.81	0.04
r	57423.824	19.96	0.04
r	57429.812	19.96	0.03
r	57429.816	20.01	0.02
r	57436.952	20.18	0.15
r	57442.909	20.41	0.13
r	57448.816	20.62	0.05
r	57448.819	20.66	0.05
r	57455.830	20.92	0.10
r	57455.834	20.92	0.11
r	57462.894	21.26	0.15
r	57463.850	21.47	0.14
r	57463.854	21.23	0.19
i	57371.734	19.83	0.07
i	57373.665	20.00	0.06
i	57375.661	19.75	0.07
i	57377.654	19.95	0.11
i	57386.750	19.70	0.05
i	57403.882	19.90	0.07
i	57405.996	19.87	0.07
i	57408.606	19.87	0.11
i	57410.711	20.11	0.16
i	57412.620	19.96	0.08
i	57414.635	19.8	0.07
i	57416.651	19.85	0.06
i	57422.625	19.91	0.04
i	57424.608	19.74	0.09
i	57430.606	20.17	0.11
i	57444.709	20.33	0.1
i	57446.658	20.59	0.1
i	57448.673	20.58	0.09
i	57452.811	20.33	0.14
i	57452.850	20.45	0.08
i	57458.699	20.84	0.11
i	57463.622	20.91	0.12
i	57464.6258	20.9	0.13
i	57472.670	21.18	0.11
i	57480.733	21.88	0.19
i	57483.713	21.92	0.18
i	57403.800	19.70	0.03
i	57433.830	19.85	0.03
i	57464.77	20.77	0.02
i	57494.65	21.32	0.04
i	57396.851	19.80	0.17
i	57396.855	20.06	0.19
i	57398.934	19.84	0.07
i	57398.937	19.74	0.05
i	57404.0468	19.97	0.06
i	57404.0493	19.9	0.05
i	57407.932	19.91	0.08
i	57407.934	19.84	0.08
i	57411.988	19.62	0.12
i	57411.990	19.69	0.09
i	57415.829	19.8	0.09
i	57415.831	19.86	0.08
i	57419.928	19.79	0.06
i	57419.931	19.78	0.07
i	57423.827	19.95	0.07
i	57423.829	19.84	0.07
i	57429.820	19.94	0.05
i	57429.823	19.94	0.05
i	57436.956	11.77	0.71
i	57442.913	20.16	0.11
i	57442.917	20.14	0.14
i	57448.823	20.3	0.08
i	57448.827	20.32	0.07
i	57455.749	20.68	0.10
i	57455.753	20.56	0.12
i	57455.838	20.32	0.11
i	57455.841	20.76	0.17
