#MJD Date	Mag	Abs. Mag	Lim. Mag	Filter	Tel.
55273.219	-	-	21.11	g	P48
55294.162	-	-	20.62	R	P48
55431.514	-	-	18.99	R	P48
55477.402	-	-	20.67	R	P48
55596.889	-	-	18.90	g	P48
55641.304	-	-	21.40	z	PS1
55847.588	18.52 ± 0.08	−18.92	-	y	PS1
55875.515	18.00 ± 0.02	−19.45	-	i	PS1
55937.502	18.17 ± 0.04	−19.27	-	z	PS1
55948.816	18.82 ± 0.05	−18.62	-	g	PS1
55948.841	18.66 ± 0.02	−18.79	-	r	PS1
55957.475	19.00 ± 0.02	−18.44	-	g	PS1
55967.269	18.23 ± 0.01	−19.22	-	i	PS1
55997.366	18.80 ± 0.08	−18.64	-	y	PS1
56022.981	18.61 ± 0.08	−18.84	18.23	R	P48
56026.246	19.01 ± 0.08	−18.43	-	z	PS1
56034.841	19.47 ± 0.04	−17.98	-	r	P60
56034.844	18.99 ± 0.08	−18.46	-	z	P60
56035.177	18.64 ± 0.04	−18.80	-	R	P48
56035.922	18.68 ± 0.03	−18.76	-	i	P60
56035.925	20.15 ± 0.06	−17.30	-	B	P60
56035.928	19.69 ± 0.05	−17.75	-	g	P60
56036.581	18.66 ± 0.04	−18.78	20.97	i	FTN
56036.585	19.54 ± 0.06	−17.90	21.12	r	FTN
56036.590	19.73 ± 0.07	−17.72	21.23	g	FTN
56037.150	-	-	19.13	v	UVOT
56037.150	20.60 ± 0.35	−16.84	20.79	u	UVOT
56037.150	22.21 ± 0.28	−15.23	22.76	uvm2	UVOT
56037.150	22.52 ± 0.36	−14.92	22.71	uvw2	UVOT
56037.150	-	-	21.84	uvw1	UVOT
56037.150	19.46 ± 0.27	−17.98	19.95	b	UVOT
56039.175	18.74 ± 0.03	−18.70	-	i	P60
56039.177	19.55 ± 0.04	−17.89	-	r	P60
56039.178	20.17 ± 0.06	−17.28	-	B	P60
56039.181	19.73 ± 0.04	−17.71	-	g	P60
56040.285	18.60 ± 0.07	−18.85	20.98	i	FTN
56043.178	18.70 ± 0.05	−18.74	-	R	P48
56158.504	19.40 ± 0.12	−18.05	-	i	P60
56161.496	20.58 ± 0.12	−16.86	-	r	P60
56163.490	19.69 ± 0.13	−17.76	-	i	P60
56165.486	21.01 ± 0.15	−16.44	-	g	P60
56176.465	20.73 ± 0.26	−16.72	-	g	P60
56177.453	20.07 ± 0.26	−17.37	-	r	P60
56185.431	19.72 ± 0.11	−17.73	-	i	P60
56185.432	20.77 ± 0.17	−16.68	-	r	P60
56185.436	20.92 ± 0.15	−16.53	-	g	P60
56200.887	19.81 ± 0.30	−17.63	-	i	P60
56202.385	21.09 ± 0.25	−16.35	-	r	P60
56215.381	21.23 ± 0.39	−16.21	-	r	P60
56215.429	20.11 ± 0.10	−17.33	-	i	P60
56215.435	21.25 ± 0.17	−16.19	-	g	P60
56219.344	21.16 ± 0.13	−16.28	-	g	P60
56219.837	20.97 ± 0.13	−16.47	-	r	P60
56224.988	20.01 ± 0.17	−17.44	-	i	P60
56229.808	20.20 ± 0.45	−17.24	-	i	P60
56246.320	22.71 ± 0.26	−14.73	23.34	uvw2	UVOT
56246.320	22.55 ± 0.35	−14.89	22.79	uvw1	UVOT
56246.320	-	-	23.05	uvm2	UVOT
